,pos,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff,
19494,C,2012,jamychal green,105.5,27.5,55,58.5,10.5,19.1,14.9,21.2,0.69,134,239,0.561,2,10,0.2,6,1.6,51.8,3.44988,120.04,4.3,97.4,82.8538,29.2308,3.91347,3.66617,2.4231,4.9615,7.3846,1.7692,0.7308,1.5,13.9615,0.832916,0.65713327,0.7172,0.45,88.3598,4.36969,155.633,7.14856,1.84528,5.30328,7.57965,31.78,36.50837175,4.72837175,
40344,C,2012,tarik black,119.7,18.4,68.9,67.35,10.7,12,1.3,16.2,0.594,144,209,0.689,0,0,0,6.2,1.5,68.4,3.13396,121.398,5.1,87.8,91.6055,25.5714,2.85811,2.15352,2.0571,2.8,4.8571,0.1714,0.6286,1.5143,10.6571,0,0.13331259,0.7564,0.4906,94.278,3.05018,162.086,5.61055,3.03669,2.57385,5.01162,27.38,32.09469963,4.71469963,
8314,C,2012,cody zeller,127,24.2,62.3,66.45,11.3,16.8,9.5,14.4,0.755,200,321,0.623,0,0,0,4.3,2.9,67.3,5.39068,140.263,3.8,98.2,89.7389,28.4722,7.89301,3.05051,2.4167,4.1389,6.5556,1.25,1.3611,1.1667,15.6389,0,0.749985,0.7087,0.4066,94.7906,3.61699,222.304,11.0667,7.50783,3.55883,10.9435,38.74,42.89300092,4.153000921,
41619,C,2017,tony bradley,123.3,21.4,56.4,58.21,18.2,19,7.4,11.5,0.616,97,172,0.564,0,0,0,4.6,1,57.6,2.2608,132.834,5,95.2,89.8191,14.6053,5.13508,1.73424,2.5789,2.5526,5.1316,0.6053,0.2632,0.5789,7.0789,0,0.92004869,0.75,0.3099,96.9021,1.96324,112.527,8.31686,5.25593,3.06093,6.86932,41.14,45.1131648,3.973164795,
16121,C,2012,gorgui dieng,104.3,16.3,52.7,55.61,11.7,18.5,6.6,22.2,0.676,144,274,0.526,1,2,0.5,10.4,2.1,39.1,2.01259,103.605,4,91.6,79.3551,32.8,0.940436,5.93672,3.45,5.625,9.075,1.05,1.175,3.2,9.1,0.0903589,0.52499998,0.7339,0.3533,84.6546,5.28259,310.302,10.093,0.434521,9.6585,6.87716,36.98,40.88966425,3.909664247,
24597,C,2012,justin hamilton,110,22.6,49.8,55.31,11.8,15.3,7,15.4,0.781,155,308,0.503,3,12,0.25,4.7,1.5,42.8,3.21694,117.071,3.4,61.4,91.6276,30,3.53487,1.85584,3.303,3.9091,7.2121,0.9091,0.7576,1.303,12.9091,0.729903,0.52631273,0.621,0.4239,94.9102,3.56051,187.441,5.57075,2.12634,3.44442,5.3907,28.01,31.88891063,3.878910633,
37072,C,2012,robert sacre,111.7,22.9,51.1,59.52,9.9,18.1,5.7,18.1,0.761,117,227,0.515,0,2,0,5.8,0.8,86,2.81627,116.709,3.3,65.2,91.1277,26.2727,2.24699,1.77144,2.0303,4.2727,6.303,0.7273,0.3636,1.4242,11.6364,0.138079,0.400011,0.6625,0.4354,93.459,3.19885,171.815,4.18106,1.17504,3.00602,4.01842,21.93,25.31647591,3.386475906,
40345,C,2011,tarik black,106,20.9,52.8,54.67,14.4,11.3,3.2,16.3,0.587,122,231,0.528,0,0,0,7.3,2,54.5,1.75354,108.833,5.7,87.8,95.2126,22.6286,0.289426,1.23929,2.7429,2.2857,5.0286,0.3429,0.7714,1.6,9.0857,0,0.25534291,0.6325,0.2615,97.7187,2.46385,150.266,2.89374,0.274618,2.61912,1.52872,27.38,30.26604611,2.886046113,
19115,C,2011,james anderson,76.1,13,32.5,31.52,7.2,11.5,4.1,13,0.269,13,40,0.325,0,0,0,7.3,1.2,65,-0.412191,70.7093,9.3,6.2,91.3192,7.7333,-6.21937,2.16974,0.5,0.8333,1.3333,0.2,0.1667,0.5667,1.1,0,0.85726533,0.5714,0.2727,94.6968,0.943727,46.6915,-0.389612,-3.91701,3.5274,-4.04963,21.29,23.81409946,2.524099459,
32428,C,2011,miles plumlee,107.2,16.4,51.8,53.45,14.3,17.2,3.5,19.3,0.593,72,139,0.518,0,0,0,2.4,2,38.8,1.22401,107.044,5.6,89.8,85.4979,16.973,0.3459,2.14304,2.0811,2.8108,4.8919,0.3514,0.5946,0.4595,4.7568,0,0.37149802,0.6429,0.3273,89.9131,2.44002,136.535,4.21001,1.50016,2.70984,2.48894,28.89,31.25770376,2.367703762,
