,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
13533,2012,dwight powell,93.4,20.7,45.7,51.0,7.6,23.1,8.4,24.5,72,144,0.5,1,17,0.059,3.8,2.7,48.4,So,0.662124,96.772,93.4,83.6211,17.5429,-1.83481,3.68878,1.1429,3.4571,4.6,0.7429,0.8,0.6,5.7714,1.62932,0.6949,85.7868,2.55535,148.517,3.27145,-1.80407,5.07552,1.85397,46.86
13729,2010,ed davis,112.0,21.5,57.8,60.66,10.8,24.2,6.8,18.3,111,192,0.578,0,0,0.0,9.5,0.9,68.8,So,3.0751,117.694,98.2,87.8784,27.8696,3.62077,3.19261,2.8696,6.6957,9.5652,0.9565,0.4348,2.7826,13.4348,0.0,0.84,92.5656,3.71526,160.882,7.56537,1.89527,5.6701,6.81338,40.34
14528,2017,eric paschall,109.7,18.1,56.2,58.29,8.6,12.8,5.2,18.5,81,127,0.638,19,68,0.279,2.7,1.5,30.3,So,1.80773,111.805,58.2,92.2096,21.6944,0.285465,1.79199,1.3611,2.3889,3.75,0.6111,0.5278,0.5,7.2222,5.32355,0.7021,97.4473,2.76456,136.084,4.17211,2.01628,2.15583,2.07745,23.29
15260,2013,frank kaminsky,122.4,21.3,51.0,56.15,7.3,12.6,17.6,8.4,29,53,0.547,14,45,0.311,5.2,2.8,43.9,So,1.57691,130.136,51.8,81.2694,10.2812,4.72018,6.2768,0.6562,1.0938,1.75,0.8125,0.4375,0.5312,4.1562,8.89446,0.6875,86.7192,1.56787,65.7477,11.2662,5.57218,5.69402,10.997,33.47
15675,2016,gary clark,121.7,18.4,54.5,57.79,12.7,19.6,13.9,13.9,113,218,0.518,13,25,0.52,5.4,2.5,47.3,So,3.54274,122.436,82.2,87.6802,30.3636,4.26228,3.812,3.4242,5.3636,8.7879,2.1212,1.2424,1.4848,10.4242,1.52913,0.6598,89.9145,4.23672,221.04,9.66905,3.81398,5.85507,8.07428,13.8
15693,2014,gary harris,114.4,25.3,51.8,56.08,4.0,10.2,16.8,12.7,114,225,0.507,81,230,0.352,1.6,3.4,31.2,So,4.64387,130.168,96.4,92.577,32.3143,6.39277,2.94881,1.0571,2.9429,4.0,2.6857,1.8,0.4286,16.7429,12.2629,0.625,98.3044,4.11667,208.288,8.43181,6.41981,2.012,9.34158,40.66
15898,2014,georges niang,106.1,27.6,52.6,54.79,3.7,11.9,23.6,16.1,174,321,0.542,48,147,0.327,2.0,1.1,22.2,So,3.37845,121.199,86.0,97.7048,30.1471,3.51554,0.929231,1.0,3.4706,4.4706,3.6176,0.6176,0.6176,16.6765,7.94659,0.6471,104.089,3.28491,180.415,4.03873,3.26576,0.772969,4.44477,36.79
16074,2014,glenn robinson iii,113.7,21.2,53.2,56.59,6.0,11.5,7.6,11.6,149,265,0.562,33,108,0.306,1.0,1.9,30.8,So,3.82377,122.688,96.8,99.1859,32.2703,3.80246,0.633079,1.4595,2.973,4.4324,1.1892,0.9459,0.2973,13.0811,5.78926,0.7667,104.582,3.39214,186.272,5.6466,4.52562,1.12098,4.43553,24.74
16125,2012,gorgui dieng,104.3,16.3,52.7,55.61,11.7,18.5,6.6,22.2,144,274,0.526,1,2,0.5,10.4,2.1,39.1,So,2.01259,103.605,91.6,79.3551,32.8,0.940436,5.93672,3.45,5.625,9.075,1.05,1.175,3.2,9.1,0.0903589,0.7339,84.6546,5.28259,310.302,10.093,0.434521,9.6585,6.87716,36.98
16210,2018,grant williams,108.3,28.0,47.7,54.44,9.4,14.6,14.7,15.6,180,362,0.497,3,25,0.12,5.1,1.2,54.8,So,3.66301,124.714,62.0,91.4556,28.8,2.61454,2.49258,2.3143,3.7143,6.0286,1.8857,0.6,1.2571,15.1714,1.4749,0.6531,97.4059,3.76987,187.946,6.09737,2.08808,4.00929,5.10712,36.95
