,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff
23667,2016,josh hart,117.7,23.5,57.5,60.23,7.6,17.1,12.4,13.3,0.752,175,294,0.595,55,154,0.357,0.9,2.2,30.6,4.50345,129.415,2.8,84.4,88.0208,31.375,6.00986,2.62252,1.85,4.9,6.75,1.925,1.15,0.25,15.45,7.29359,2,1.16666665,0.7419,0.4317,93.4074,4.44295,251.388,8.9696,6.01374,2.95586,8.63239,47.53,40.21094656796136,-7.319053432038643
23835,2014,josh richardson,118.9,16.3,53.1,56.84,3.0,8.1,9.9,13.0,0.788,101,188,0.537,34,98,0.347,2.8,1.6,29.7,3.14981,118.169,2.8,51.0,96.3391,30.6111,2.77055,2.78456,0.7778,2.1111,2.8889,1.5,0.75,0.8333,10.3056,5.61123,2,1.45942796,0.6163,0.4706,100.726,3.51743,168.124,6.92366,3.75252,3.17114,5.55511,42.31,32.690617701236036,-9.619382298763966
23879,2015,josh smith,101.6,16.5,52.0,55.49,11.7,20.8,2.9,22.2,0.622,26,50,0.52,0,0,0.0,2.2,1.5,74.0,0.424566,100.291,3.9,57.2,90.5919,9.5484,-0.348933,1.71179,0.9677,1.7419,2.7097,0.129,0.2258,0.1935,2.4194,0.0,2,0.23522975,0.5806,0.4211,95.3781,1.20989,57.3555,-0.0602894,-1.62079,1.5605,1.36285,36.73,24.051301611362717,-12.67869838863728
24430,2015,justin anderson,120.5,22.0,57.2,60.97,3.1,14.5,14.0,13.2,0.78,56,117,0.479,47,104,0.452,2.5,1.6,37.1,3.97668,128.925,1.7,90.2,84.0094,27.8462,7.23767,4.34501,0.6538,3.3846,4.0385,1.7308,0.6538,0.5385,12.1923,9.77045,2,1.45164815,0.6667,0.2353,88.5752,4.15299,121.798,9.76844,5.49031,4.27813,11.5827,30.61,36.45007148701639,5.840071487016388
24597,2012,justin hamilton,110.0,22.6,49.8,55.31,11.8,15.3,7.0,15.4,0.781,155,308,0.503,3,12,0.25,4.7,1.5,42.8,3.21694,117.071,3.4,61.4,91.6276,30.0,3.53487,1.85584,3.303,3.9091,7.2121,0.9091,0.7576,1.303,12.9091,0.729903,2,0.52631273,0.621,0.4239,94.9102,3.56051,187.441,5.57075,2.12634,3.44442,5.3907,28.01,28.583400715863675,0.5734007158636736
24620,2010,justin holiday,109.8,15.1,44.9,48.54,8.6,13.7,13.9,15.0,0.8,69,157,0.439,10,30,0.333,2.6,2.5,21.4,1.55458,105.972,3.1,81.8,89.9549,22.2059,2.58727,3.36702,1.7059,2.7647,4.4706,1.8235,1.0,0.5882,5.8824,2.18944,2,1.99989031,0.6212,0.3077,94.7799,2.80601,157.436,7.29567,2.91487,4.3808,5.95429,43.2,41.642492371575784,-1.5575076284242186
24630,2017,justin jackson,119.2,23.9,53.0,55.46,4.9,10.8,16.0,12.3,0.748,156,306,0.51,103,280,0.368,0.8,1.4,22.4,4.95423,132.301,1.7,98.4,93.9603,32.0,7.38876,1.50303,1.45,3.2,4.65,2.825,0.775,0.225,18.275,12.2983,2,1.63768116,0.6385,0.4148,101.543,3.89272,215.962,8.26311,6.7892,1.47391,8.89179,20.83,34.2776253017591,13.447625301759103
24635,2013,justin jackson,82.5,18.2,42.3,44.09,9.5,20.4,15.8,32.3,0.512,45,99,0.455,1,11,0.091,7.8,3.2,39.1,-0.0789536,84.0245,5.5,68.8,79.6071,18.8,-2.69307,5.76329,1.6333,3.4333,5.0667,1.4667,0.9667,1.3667,3.8333,1.19778,2,0.81483333,0.5893,0.2791,82.306,2.99525,138.974,5.69448,-2.7268,8.42128,3.07022,20.83,32.27206866218417,11.44206866218417
25622,2018,keita bates diop,114.5,27.5,54.4,57.73,5.7,24.5,10.5,11.8,0.794,181,331,0.547,66,184,0.359,5.9,1.6,27.4,4.95326,131.415,2.0,94.4,88.7301,33.0882,7.46267,2.83435,1.5294,7.1765,8.7059,1.6471,0.9118,1.6471,19.7647,9.61523,2,0.90326292,0.6715,0.4588,93.7832,4.62406,254.42,8.21587,4.15602,4.05985,10.297,33.11,36.066205341508024,2.9562053415080243
25832,2011,kemba walker,117.8,31.5,47.8,54.3,3.9,11.5,28.0,11.8,0.819,241,512,0.471,75,227,0.33,0.5,3.1,42.6,7.24909,142.787,1.5,97.8,91.1048,37.6341,9.21951,3.12896,1.2927,4.1463,5.439,4.4878,1.878,0.1707,23.5366,9.04886,2,1.9784861,0.5867,0.3987,97.6871,4.59401,280.051,11.104,9.07703,2.02696,12.3485,63.31,46.7269387418864,-16.583061258113602
26114,2011,kent bazemore,108.7,23.1,53.1,55.87,6.0,13.4,20.9,22.2,0.662,118,234,0.504,31,76,0.408,3.5,4.8,42.9,2.91167,113.562,2.7,21.6,88.1813,30.7353,4.17132,5.11606,1.5588,3.5,5.0588,2.8824,2.2353,0.8824,12.2647,4.75589,2,1.19512403,0.6393,0.3604,90.2383,4.13229,222.995,8.72862,3.64668,5.08194,9.28738,39.84,42.56710761380323,2.727107613803227
26725,2014,khem birch,117.8,19.6,51.0,56.9,13.9,20.3,7.6,12.8,0.693,125,245,0.51,0,0,0.0,10.9,1.2,77.1,3.29549,118.76,2.9,97.4,89.0476,31.4242,3.71298,4.33677,3.9697,6.2424,10.2121,1.2121,0.6364,3.7576,11.5455,0.0,2,0.90909775,0.6228,0.2727,90.5787,4.39771,246.245,9.55192,2.34033,7.2116,8.04974,33.04,36.013581256055616,2.973581256055617
26736,2012,khris middleton,96.0,28.6,45.1,48.32,5.7,15.8,19.0,16.5,0.75,77,160,0.481,19,74,0.257,1.1,2.1,22.2,2.4448,110.111,2.7,79.8,90.5318,29.0526,3.89037,1.53836,1.3684,3.7368,5.1053,2.1579,0.9474,0.2632,13.1579,8.49013,2,1.0,0.6154,0.438,96.8178,3.58719,98.5027,3.92283,2.03078,1.89205,5.42874,57.49,43.11186260254995,-14.378137397450054
26966,2011,klay thompson,107.6,31.9,52.5,57.37,2.6,14.0,25.0,17.8,0.838,142,305,0.466,98,246,0.398,3.1,2.8,33.6,4.88233,127.285,3.4,91.8,90.4682,34.6765,6.69188,2.5696,0.7353,4.5,5.2353,3.7353,1.6471,0.9412,21.5588,12.1474,2,1.10433421,0.6,0.3897,94.8348,4.33914,247.877,8.20607,5.45202,2.75405,9.26148,56.43,44.991636010142386,-11.438363989857613
27160,2016,kris dunn,103.6,29.3,49.9,54.06,3.5,14.8,41.8,20.9,0.695,142,298,0.477,42,113,0.372,1.9,4.3,46.2,3.76517,121.205,3.4,97.0,88.3916,32.9697,4.58362,4.94557,1.0909,4.2424,5.3333,6.2424,2.4848,0.6061,16.4242,5.95801,2,1.77583078,0.6306,0.3043,93.8582,4.5888,255.725,9.73839,4.74338,4.99501,9.52919,40.8,53.30098085922596,12.500980859225962
27446,2017,kyle kuzma,112.8,26.7,53.9,56.34,11.2,22.7,15.0,14.7,0.669,142,255,0.557,25,78,0.321,1.6,1.1,36.3,3.99948,125.093,2.1,62.8,96.7197,30.8276,5.16579,0.303122,2.7931,6.5517,9.3448,2.4483,0.6207,0.4828,16.4138,5.28202,2,1.14518909,0.6928,0.3564,98.7643,3.45396,163.806,5.35021,4.00991,1.3403,5.46892,26.59,31.384023046609357,4.794023046609357
27513,2010,kyle singler,117.4,24.0,49.2,54.49,7.0,14.6,13.4,13.8,0.798,143,337,0.424,85,213,0.399,2.2,1.7,37.8,5.68914,131.328,2.4,99.0,86.7343,35.95,7.24822,2.69598,2.25,4.75,7.0,2.4,1.025,0.8,17.675,8.90271,2,1.21518991,0.6634,0.322,91.8459,4.96123,269.529,9.43424,6.00785,3.42639,9.9442,29.49,29.334220818732277,-0.1557791812677216
27861,2013,langston galloway,110.9,19.8,52.5,55.19,2.4,8.9,14.1,13.1,0.772,70,159,0.44,80,203,0.394,1.0,2.4,21.8,3.47228,113.503,2.6,66.4,98.6503,35.6875,2.74729,1.13817,0.6875,2.9062,3.5938,2.25,1.375,0.3438,13.7812,11.1825,2,1.5318628,0.7636,0.2667,102.155,3.34879,180.745,4.20619,3.89552,0.31067,3.88546,37.46,36.16868944785615,-1.2913105521438482
27958,2010,larry sanders,112.8,26.1,54.0,56.35,13.1,25.2,7.7,13.8,0.641,192,351,0.547,4,16,0.25,9.1,1.6,45.5,3.51395,123.657,4.4,29.4,88.9952,26.8857,4.31436,2.02299,3.0286,6.0857,9.1143,0.9714,0.7429,2.5714,14.3714,0.997726,2,0.58620484,0.6884,0.3618,89.8001,3.47458,228.258,6.40892,2.22981,4.17911,6.33735,36.02,28.05485819503606,-7.965141804963942
