,player_name,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe, midmade,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,year,test_score
6303,demarcus cousins,38,58.2,113.5,30.8,56.0,57.93,19.9,24.9,9.2,16.0,162,268,0.604,205,363,0.565,1,6,0.167,7.5,2.4,72.6,3.90491,134.082,57,79.3387,23.5,6.16153,3.4411,4.0526,5.7895,9.8421,1.0,0.9737,1.7632,15.1316,0.377922,0.487187,144,189,57,163,0.7619,0.3497,83.3244,3.80857,242.468,9.60971,4.65779,4.95191,9.60263,58.71,2010,53.23339336433594
6414,dennis smith jr,32,86.4,109.5,28.2,52.0,56.31,2.7,11.5,34.2,19.0,143,200,0.715,136,267,0.509,55,153,0.359,1.2,3.1,47.6,4.58556,126.048,33,102.69,34.8125,5.32612,0.677925,0.8125,3.75,4.5625,6.1562,1.9375,0.4375,18.125,7.59832,1.82405924,103,161,33,107,0.6398,0.3084,107.928,3.14567,219.89,6.39739,5.8068,0.590582,6.00404,25.01,2017,39.92862358804007
6566,derrick favors,35,69.2,109.0,21.8,61.5,62.31,12.5,20.2,7.3,22.9,86,137,0.628,177,287,0.617,0,1,0.0,7.8,1.8,47.6,3.13216,118.341,40,84.2157,27.7714,3.82367,3.68395,3.0571,5.5714,8.6286,0.9429,0.8857,2.0571,12.5714,0.0579349,0.38374508,137,175,40,112,0.7829,0.3571,88.5618,4.06076,235.754,8.92075,2.8466,6.07414,7.50762,47.17,2010,54.47271966862638
6729,devin booker,38,51.9,121.0,20.5,57.1,60.02,2.6,7.8,10.9,13.8,53,64,0.828,77,146,0.527,58,141,0.411,0.3,1.3,22.3,3.01039,128.123,35,86.245,21.5,5.91621,2.31563,0.4474,1.5526,2.0,1.1053,0.4474,0.0526,10.0263,10.7706,1.13515453,42,59,35,88,0.7119,0.3977,91.0701,3.04056,117.322,6.83479,5.679,1.15579,8.23184,49.86,2015,38.371842342178866
8070,eric bledsoe,37,73.1,100.4,20.2,54.0,56.56,2.0,8.6,16.8,27.7,82,123,0.667,95,184,0.516,49,128,0.383,1.1,2.6,39.4,2.00502,104.97,21,90.0148,30.3243,0.921529,2.70493,0.5135,2.5676,3.0811,2.8919,1.4054,0.3243,11.3243,6.41899,0.95536839,72,110,21,68,0.6545,0.3088,94.8649,3.80115,201.434,4.2837,1.79336,2.49034,3.62646,54.21,2010,42.884829771920636
8519,frank jackson,36,60.5,116.4,20.4,56.4,59.8,3.1,8.2,12.6,15.4,77,102,0.755,82,152,0.539,51,129,0.395,0.2,1.3,36.3,3.14817,124.244,22,97.4997,24.8889,3.37386,0.632511,0.6389,1.8611,2.5,1.6944,0.5556,0.0556,10.9444,8.25089,1.24487547,60,90,22,62,0.6667,0.3548,105.15,2.71476,132.144,4.07002,4.53684,-0.466824,4.00637,28.28,2017,31.19261488153745
8772,gary trent jr,37,83.8,122.3,17.3,52.8,56.65,2.9,10.3,6.8,9.9,85,97,0.876,80,186,0.43,97,241,0.402,0.4,2.0,22.7,4.20346,123.926,40,96.3665,33.7568,3.98383,1.86363,0.8378,3.4054,4.2432,1.4054,1.1622,0.1351,14.4865,10.8888,1.3684519,40,63,40,124,0.6349,0.3226,101.732,3.84901,210.866,6.50756,4.92641,1.58114,5.84746,45.28,2018,46.01787198403065
9223,hamidou diallo,37,61.8,101.1,21.3,47.0,49.75,4.2,11.5,9.5,14.8,77,126,0.611,108,236,0.458,26,77,0.338,1.6,1.8,40.3,1.8012,108.791,30,95.8859,24.8108,0.309039,1.49573,0.8649,2.7568,3.6216,1.2432,0.7568,0.3514,10.027,4.77257,0.90191524,78,124,30,112,0.629,0.2679,102.116,2.87974,163.536,2.72071,1.43527,1.28545,1.80476,36.2,2018,39.86867714822904
9297,hassan whiteside,31,65.6,101.7,24.9,51.0,53.55,12.0,24.0,1.8,16.4,101,170,0.594,143,284,0.504,3,5,0.6,18.3,1.2,58.8,2.15312,109.378,66,86.6474,26.5484,2.06156,4.68207,2.7742,6.129,8.9032,0.2258,0.5484,5.2581,12.7742,0.345292,0.11864228,77,107,66,177,0.7196,0.3729,88.111,3.62789,231.982,4.99274,-2.30069,7.29344,6.74362,49.06,2010,44.048484781507
9872,jabari parker,35,76.4,111.7,31.6,51.1,55.77,11.4,23.1,8.7,14.5,160,214,0.748,198,393,0.504,38,106,0.358,4.0,2.1,42.9,4.91923,134.716,74,93.1302,30.6571,6.33399,0.513063,3.0,5.7429,8.7429,1.1714,1.0571,1.2286,19.1429,5.99369,0.50615734,124,199,74,193,0.6231,0.3834,98.2252,3.87471,217.143,6.22828,4.13547,2.09281,6.84705,32.82,2014,40.66221973554377
10209,jahlil okafor,38,72.8,116.4,27.6,66.4,64.14,14.8,18.2,9.4,18.2,99,194,0.51,279,420,0.664,0,0,0.0,4.5,1.5,46.2,4.86364,134.278,66,87.7919,30.0789,7.26684,2.26927,3.5263,4.9474,8.4737,1.2895,0.7632,1.4211,17.2895,0.0,0.5158,213,270,66,150,0.7889,0.44,94.5347,4.1073,226.642,9.34057,5.72749,3.61308,9.53611,25.32,2015,17.996622452262386
10582,jamal murray,36,87.1,118.0,25.4,55.9,59.0,4.9,11.1,12.1,15.3,119,152,0.783,131,261,0.502,113,277,0.408,0.9,1.6,28.3,5.41928,132.758,54,96.6981,35.1944,8.14081,0.829595,1.4722,3.6944,5.1667,2.1944,0.9722,0.3056,20.0,12.7837,0.94047056,77,111,54,150,0.6937,0.36,101.145,3.89906,209.711,8.14115,7.25949,0.88166,8.97041,56.65,2016,42.28802031533007
10764,james jones,12,5.0,102.9,16.8,50.0,51.41,0.0,5.1,12.0,16.2,2,3,0.667,2,7,0.286,5,12,0.417,0.0,0.0,15.8,0.174237,97.8339,1,110.552,5.9286,-0.683915,-2.46598,0.0714,0.2857,0.3571,0.2857,0.0,0.0,2.0,10.793,1.33317772,1,2,1,5,0.5,0.2,110.494,0.318926,7.55625,-5.80928,-1.84196,-3.96732,-3.1499,29.96,2017,28.548057530058145
11014,jaren jackson jr,35,54.4,116.8,22.8,59.5,64.71,8.7,19.7,9.3,20.8,106,133,0.797,81,136,0.596,38,96,0.396,14.2,1.6,57.3,2.85891,125.628,20,82.3774,21.8571,3.90199,6.66517,1.4857,4.3143,5.8,1.1143,0.6,3.0,10.9143,7.36253,0.62905048,61,93,20,43,0.6559,0.4651,85.8569,3.55732,203.113,12.7801,3.42652,9.35353,10.5672,52.48,2018,52.3459728683639
11074,jarrett allen,33,80.4,101.9,22.9,56.6,57.14,11.0,18.8,5.5,20.1,84,149,0.564,179,309,0.579,0,7,0.0,5.0,1.0,47.2,2.65605,111.598,81,91.3054,32.1515,2.13467,2.01551,3.0303,5.3939,8.4242,0.7879,0.5758,1.5455,13.3939,0.382352,0.3095266,98,138,81,170,0.7101,0.4765,99.0269,4.198,209.689,3.4387,-0.15881,3.59751,4.15017,55.65,2017,51.64851716275473
11383,jaylen brown,34,68.3,95.4,30.9,47.1,51.76,4.5,16.5,15.1,21.0,142,217,0.654,133,276,0.482,30,102,0.294,2.2,1.7,57.4,2.2008,111.139,35,91.4564,27.6176,0.728962,1.94263,1.0588,4.2941,5.3529,1.9706,0.7941,0.6471,14.6471,6.30595,0.63810632,98,160,35,116,0.6125,0.3017,96.1781,3.55465,185.694,2.64996,0.00518571,2.64478,2.67159,49.96,2016,44.46910183153261
11447,jayson tatum,29,65.3,108.9,25.4,50.7,56.61,4.9,19.7,12.4,17.7,118,139,0.849,125,248,0.504,40,117,0.342,3.2,2.3,38.1,4.16553,123.83,46,89.1819,33.3103,4.14057,2.5717,1.3448,6.0,7.3448,2.1379,1.3448,1.1379,16.8276,6.93329,0.81577449,79,126,46,122,0.627,0.377,96.6201,4.59476,209.644,6.47515,3.17569,3.29946,6.71227,74.34,2017,65.45380839727034
12137,joel embiid,28,45.9,112.0,24.4,62.9,65.5,12.7,27.3,11.5,24.1,98,143,0.685,106,166,0.639,1,5,0.2,11.7,2.3,83.6,2.92867,124.998,25,83.519,23.1071,4.24577,6.35075,2.3214,5.7857,8.1071,1.3571,0.8929,2.5714,11.1786,0.444178,0.57574986,80,99,25,65,0.8081,0.3846,90.0859,3.6851,176.276,12.7402,3.37781,9.36236,10.5965,76.47,2014,74.49978230309819
12386,john wall,37,83.9,108.7,26.9,50.3,56.18,2.7,10.1,34.8,24.2,175,232,0.754,165,324,0.509,37,114,0.325,1.5,2.9,53.0,4.41717,122.661,40,88.793,34.8108,4.82966,2.89544,0.8108,3.4865,4.2973,6.5135,1.7838,0.5135,16.6486,4.98101,1.61745724,116,182,40,127,0.6374,0.315,93.3072,4.50963,247.229,7.09124,4.39997,2.69126,7.72509,52.54,2010,58.62229251277779
12575,jonathan isaac,32,59.9,118.8,20.0,56.8,61.37,7.7,25.0,7.5,15.7,92,118,0.78,99,167,0.593,31,89,0.348,6.2,2.4,46.1,3.31379,124.259,26,85.7333,26.1875,5.44522,3.71742,1.75,6.0938,7.8438,1.1562,1.1562,1.5312,11.9688,5.82381,0.77080003,73,107,26,60,0.6822,0.4333,92.6767,3.92563,213.687,8.94668,3.5937,5.35299,9.16264,58.59,2017,51.08921694637422
13121,josh jackson,35,74.0,108.2,27.3,55.2,55.95,8.7,17.4,18.2,18.4,98,173,0.566,186,339,0.549,34,90,0.378,3.5,3.1,40.3,3.96351,125.309,55,89.032,30.7714,5.1048,3.50141,2.3143,5.0571,7.3714,2.9714,1.6857,1.0571,16.3429,4.65208,1.07216571,131,190,55,149,0.6895,0.3691,95.418,4.21538,249.205,9.08058,4.44679,4.63379,8.60621,29.94,2017,48.50670953163092
13475,julius randle,40,76.3,111.2,26.2,50.4,56.59,13.4,24.7,10.0,18.7,204,289,0.706,193,374,0.516,3,18,0.167,2.6,1.0,73.7,4.08221,126.832,61,91.0035,30.825,4.90839,1.37976,3.5,6.925,10.425,1.425,0.5,0.775,14.975,0.875006,0.5643564,132,197,61,176,0.6701,0.3466,96.732,4.09889,249.652,5.23199,3.14857,2.08342,6.28816,36.72,2014,43.64698492198397
13722,justise winslow,39,72.3,112.2,22.4,55.1,57.2,5.4,19.8,13.2,16.8,100,156,0.641,127,246,0.516,46,110,0.418,2.9,2.8,43.8,3.46074,121.863,15,85.5702,29.1026,4.83748,4.19282,1.2564,5.2051,6.4615,2.1026,1.3333,0.8718,12.6154,5.83216,1.15495747,112,163,15,85,0.6871,0.1765,92.0154,4.19758,246.908,9.53879,4.7201,4.8187,9.03031,37.11,2015,42.33604838115309
13958,karl anthony towns,39,52.3,122.7,24.2,57.0,62.72,14.1,22.2,11.5,16.6,109,134,0.813,143,248,0.577,2,8,0.25,11.4,1.4,52.3,3.50076,135.582,56,73.2127,21.1282,6.31975,6.80643,2.359,4.3333,6.6923,1.1282,0.4615,2.2564,10.2821,0.606421,0.8301693,87,121,56,128,0.719,0.4375,77.2779,3.93509,202.777,14.8828,5.63939,9.24336,13.1262,61.98,2015,53.270779207098826
