player_name,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,multiplier,pt_rating,raptor_rating,war_rating,total_score
cj mccollum,2018.5,5258.25,2544.5,2.69,-0.45,2.24,2.43,-0.18,2.25,2.76,-0.41,2.35,6.56,5.76,0.8,2.73,-0.14,2.6,-0.13,1.0,0.63,0.63,0.39,56.89
coby white,2022.0,3681.0,1773.0,0.19,-2.61,-2.42,0.6,-0.71,-0.11,0.28,-2.35,-2.07,0.61,0.69,-0.07,-0.11,-1.79,-1.9,-0.69,1.0,0.42,0.41,0.17,35.48
cody martin,2022.0,3908.0,1866.0,0.07,1.52,1.59,1.34,-1.77,-0.43,0.32,0.95,1.27,3.79,3.79,0.0,0.7,1.42,2.12,-0.78,1.0,0.57,0.53,0.26,47.79
cody zeller,2017.5,2749.0,1351.0,-1.0,0.86,-0.14,0.79,0.46,1.24,-0.68,0.85,0.17,1.96,1.99,-0.04,-0.97,0.78,-0.19,0.25,1.0,0.45,0.47,0.19,39.05
cole aldrich,2016.0,1591.0,794.67,-1.78,1.49,-0.29,-2.72,0.48,-2.25,-2.06,1.39,-0.67,0.93,0.79,0.14,-1.88,1.85,-0.03,0.06,1.0,0.45,0.42,0.15,36.63
collin sexton,2021.0,4374.0,2115.0,0.6,-2.67,-2.07,-1.29,-3.06,-4.36,0.4,-2.89,-2.48,0.29,0.29,0.0,0.14,-2.35,-2.21,0.01,1.0,0.4,0.38,0.16,33.31
cory joseph,2018.0,3730.33,1834.22,-0.44,0.4,-0.04,-1.34,0.78,-0.56,-0.66,0.49,-0.17,2.36,2.24,0.12,-1.11,0.82,-0.29,-1.17,1.0,0.45,0.46,0.21,39.7
d'angelo russell,2020.0,3761.6,1750.2,1.99,-2.31,-0.32,0.34,-2.25,-1.91,1.82,-2.43,-0.6,2.46,2.52,-0.06,2.28,-2.08,0.2,1.22,1.0,0.52,0.47,0.24,43.31
damian jones,2022.0,2130.0,1017.0,-0.78,-1.49,-2.26,-1.88,-1.6,-3.48,-1.02,-1.51,-2.54,0.11,0.11,0.0,-1.42,-1.57,-2.99,0.1,1.0,0.29,0.31,0.12,25.9
damian lillard,2018.0,5746.89,2791.78,5.86,-1.72,4.13,3.8,-0.38,3.42,5.74,-1.54,4.2,10.1,9.25,0.85,6.0,-1.22,4.78,0.85,1.0,0.74,0.72,0.51,67.54
damion lee,2022.0,2879.0,1380.0,-2.18,0.33,-1.85,-2.34,-0.67,-3.02,-2.36,0.08,-2.28,0.33,0.39,-0.06,-2.01,0.28,-1.73,-0.59,1.0,0.36,0.33,0.13,29.18
damyean dotson,2021.0,1884.0,907.0,-2.48,-3.18,-5.66,-5.59,1.44,-4.15,-3.21,-2.37,-5.58,-1.3,-1.3,0.0,-3.25,-3.57,-6.83,-0.63,1.0,0.1,0.17,0.08,12.38
daniel gafford,2022.0,2986.0,1444.0,0.22,-0.19,0.03,0.79,-2.66,-1.87,0.37,-0.68,-0.31,1.8,1.8,0.0,0.08,-0.44,-0.36,-0.19,1.0,0.44,0.44,0.19,37.54
darius miller,2017.0,3249.0,1528.67,-0.29,-1.09,-1.38,0.11,1.13,1.24,-0.22,-0.68,-0.89,1.37,1.34,0.04,-0.43,-1.19,-1.61,-0.13,1.0,0.41,0.45,0.19,36.77
david nwaba,2021.5,1382.5,644.0,0.23,1.97,2.2,-0.93,-0.0,-0.94,0.05,1.76,1.8,1.52,1.52,0.0,-0.63,1.21,0.58,0.27,1.0,0.56,0.65,0.2,50.56
de'aaron fox,2021.0,4073.67,1917.67,2.55,-2.01,0.54,1.66,-3.62,-1.96,2.5,-2.43,0.07,2.76,2.76,0.0,2.24,-1.52,0.71,0.96,1.0,0.49,0.46,0.22,41.43
de'andre hunter,2022.0,3637.0,1752.0,-1.76,0.07,-1.69,-1.66,-1.58,-3.24,-1.89,-0.24,-2.13,0.55,0.56,-0.01,-1.47,-0.0,-1.47,0.29,1.0,0.41,0.37,0.15,33.26
de'anthony melton,2021.5,3184.0,1477.5,0.29,1.47,1.76,-0.22,3.84,3.62,0.18,2.02,2.2,3.76,3.68,0.08,0.98,2.33,3.31,0.85,1.0,0.63,0.58,0.26,52.16
deandre ayton,2021.5,5143.0,2513.0,-0.83,2.17,1.34,2.83,-1.79,1.03,-0.17,1.42,1.26,5.26,3.39,1.87,-0.13,1.28,1.16,-0.53,1.0,0.52,0.53,0.32,47.2
