,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,test_score
19893,Wing G,2014,jarvis ray,91.1,45.7,48.99,104,0.764898,96.4635,101.218,-2.04628,1.2333,9.1333,0.68516667,0.563,-1.01391,40.62528537661528
19895,Scoring PG,2013,jarvis summers,103.1,43.6,49.56,85,1.89214,105.663,97.9428,0.172046,3.7647,9.0882,2.16948081,0.5303,0.580921,57.381481848142975
19896,Scoring PG,2012,jarvis summers,96.5,45.1,50.5,73,1.78565,103.81,99.7036,0.490187,3.4118,10.4118,1.30340768,0.4386,0.0929032,52.11510896363809
19897,Scoring PG,2014,jarvis summers,115.6,54.6,59.4,143,4.43461,130.498,105.809,5.38035,3.8182,17.2727,1.65792451,0.6769,5.80789,53.93251037104011
19899,Scoring PG,2014,jarvis threatt,106.6,42.8,50.93,128,3.55419,116.068,101.906,2.58757,5.4231,17.9615,2.1363403,0.4974,3.89344,62.93558559064775
19911,Wing G,2020,jase febres,104.4,51.6,53.39,15,1.80742,102.455,95.9833,1.12024,0.913,9.3043,0.87494014,0.4667,2.32574,37.74026720002332
19915,Wing G,2019,jase febres,108.6,54.7,54.93,25,1.89636,107.843,97.1065,2.55536,0.4324,8.8649,0.63992894,0.6364,3.33692,35.09151221062204
19916,Wing G,2020,jase townsend,99.8,50.9,54.43,119,2.19539,104.365,106.738,1.25634,2.1613,16.7742,0.9178274,0.5474,-0.195419,41.32116599233596
19921,Scoring PG,2020,jashaun agosto,104.4,54.3,56.41,69,1.04961,94.9957,109.062,-1.70807,3.5769,9.1923,1.89796239,0.5976,-2.99837,49.46976941151427
19923,Scoring PG,2017,jashaun agosto,105.3,46.6,51.88,88,1.44071,100.192,112.831,-1.31818,3.2258,11.2258,1.66664944,0.5091,-2.96713,51.94858878369045
19924,Scoring PG,2019,jashaun agosto,92.4,42.1,45.91,87,0.325498,90.1676,110.619,-3.53113,4.8065,10.6774,1.53611379,0.4861,-5.61506,53.658204015045285
19925,Wing G,2019,jashaun smith,99.7,58.6,58.63,84,0.634966,93.8979,109.312,-0.803566,0.6765,10.6176,0.34849578,0.6897,-1.65952,32.749165610212316
19927,Wing G,2018,jashaun smith,86.0,47.4,48.65,36,-0.796666,78.1385,115.161,-3.26522,0.3333,6.2121,0.28944854,0.6,-4.5796,34.68883114706726
19940,Wing G,2016,jason boswell,97.1,47.3,49.75,30,-0.392995,83.4632,112.515,-3.92788,1.5667,4.8,1.42427268,0.45,-4.95002,42.45865999062026
19961,Wing G,2011,jason clark,108.4,57.2,59.79,87,3.02979,114.942,94.7621,3.30918,1.75,12.0,0.81161305,0.7531,5.05977,43.95303552313264
19971,Scoring PG,2019,jason dunne,99.1,48.8,51.99,41,1.3906,98.5478,112.24,-0.00243945,3.5455,12.8788,1.36046197,0.403,-1.9787,46.92215560836836
19973,Wing G,2010,jason flagler,115.3,55.4,58.68,189,2.99828,110.887,109.767,1.56548,1.0,15.8929,0.65116886,0.7113,0.0734382,39.99132769029649
19975,Scoring PG,2020,jason gibson,106.3,48.0,54.11,34,1.49869,102.265,107.188,-0.0797602,2.129,8.5161,1.49992954,0.425,-0.83966,50.02200041140616
19988,Wing G,2011,jason jones,101.7,49.7,54.1,137,1.86866,104.554,100.586,1.24046,1.5806,13.3548,0.6447218,0.65,1.28752,43.06264269953167
20000,Wing G,2016,jason mcmanamen,117.5,62.2,64.69,41,3.61112,117.685,110.82,3.47972,1.5667,14.6333,1.17505437,0.6591,1.70049,42.21582435928386
20003,Wing G,2012,jason morris,85.0,40.2,43.82,57,0.403744,90.4409,98.7589,-2.42881,1.129,7.7742,0.60342059,0.5593,-2.92984,41.52888454275514
20010,Scoring PG,2021,jason preston,112.7,56.9,57.41,87,4.1824,120.112,97.7068,5.46963,7.25,15.7,2.41666667,0.686,7.67788,61.100674379318754
