,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,test_score
9975,Wing G,2022,darius lee,115.1,54.9,59.6,145,3.79266,119.124,105.901,5.13994,3.2222,18.2222,1.40321387,0.6321,6.04605,49.663720046395895
9985,Wing G,2020,darius mcghee,111.0,57.1,59.62,40,1.63743,99.2711,95.3701,0.352728,1.6765,9.5,1.50008949,0.65,1.68793,43.476445982116225
9986,Wing G,2019,darius mcghee,106.5,51.1,52.54,32,1.11829,102.849,97.9891,1.51861,1.0556,7.75,2.0,0.5116,2.43844,39.35376033542266
9987,Wing G,2021,darius mcghee,114.6,57.4,59.62,57,3.63621,117.962,99.1234,5.57307,2.1034,15.5172,1.60528124,0.5,6.02307,41.922243637987656
9995,Wing G,2010,darius miller,114.2,50.0,52.67,43,1.77453,110.132,92.1621,2.23143,1.5263,6.4737,1.65704041,0.6316,4.89411,45.65539888939392
9998,Scoring PG,2017,darius moore,90.6,50.0,51.43,25,0.0606423,88.4916,120.318,-2.19778,2.5517,7.8276,1.15623737,0.2895,-5.03734,40.86240925165185
10001,Scoring PG,2010,darius morris,87.5,41.7,45.3,40,-0.0441811,85.193,97.0787,-3.08534,2.5484,4.1613,1.64582786,0.6667,-1.78784,50.71736185910904
10004,Scoring PG,2015,darius perkins,99.0,53.6,54.98,34,1.39925,101.261,105.236,1.03008,3.2581,9.4839,1.5538439,0.4737,-0.562645,45.53561081730157
10008,Scoring PG,2022,darius perry,102.6,49.0,52.06,64,2.7831,112.546,97.3049,2.45353,4.4,11.8,1.73686505,0.4773,3.94495,52.99432260605708
10009,Scoring PG,2021,darius perry,105.1,50.5,55.5,45,3.69471,119.082,100.719,3.28653,3.4211,14.6842,1.30000761,0.4483,3.65643,51.162464954822134
10012,Scoring PG,2020,darius quisenberry,105.3,47.2,52.84,122,3.07642,113.102,107.059,2.21847,4.1818,16.6364,1.48385484,0.625,1.56253,55.099795117002415
10013,Scoring PG,2019,darius quisneberry,109.8,48.5,53.85,86,2.77298,117.123,112.5,2.42733,3.75,13.7812,1.84619935,0.5323,1.33889,54.137671684897064
10017,Scoring PG,2019,darius roy,102.1,50.7,55.13,118,2.40721,107.307,109.357,0.965858,4.069,15.8276,1.26882657,0.547,0.46882,51.094729556315855
10028,Scoring PG,2018,darius thompson,117.2,53.2,56.92,122,3.97124,119.889,100.187,3.98128,4.7632,13.6053,2.74251493,0.6449,5.83267,58.7615786784023
10043,Wing G,2019,darnell dunn,105.6,55.4,56.15,66,1.2638,102.084,108.339,-0.193156,1.2941,8.3529,1.0,0.6049,-1.4477,38.77829169880423
10045,Wing G,2017,darnell edge,116.0,58.0,62.35,65,1.79915,106.32,114.975,0.787678,1.3333,8.9667,1.11108328,0.6885,-0.419484,46.307576895888005
10052,Scoring PG,2017,darnell foreman,99.7,46.1,49.46,60,1.02656,98.179,103.801,-1.79274,3.4286,8.25,2.0,0.4805,-1.63802,50.678692073134215
10060,Wing G,2010,darnell porter,104.8,49.8,57.72,55,2.08107,109.688,104.098,2.24082,1.8276,12.8621,0.68830973,0.5263,2.0919,49.188653326020614
10061,Wing G,2011,darnell porter,100.1,48.7,54.11,53,1.18179,99.1159,113.061,-0.288962,1.12,11.36,0.46666665,0.5217,-2.36491,42.63631431311643
10062,Scoring PG,2021,darnell rogers,103.2,50.7,56.16,20,1.38382,99.4985,101.335,-0.943989,1.75,9.8,1.02941174,0.3514,0.115763,44.804333103150356
10063,Scoring PG,2022,darnell rogers,102.4,44.6,50.93,54,1.82281,103.209,111.401,0.210297,3.6333,11.7333,1.94637594,0.4235,-2.08193,54.824179240547465
10087,Scoring PG,2019,darrell brown,102.1,49.1,53.45,80,2.52451,109.028,104.895,1.37964,3.1714,14.7714,1.32141664,0.4872,0.700165,48.083813179859646
10088,Scoring PG,2017,darrell brown,93.2,45.5,52.04,75,1.37306,100.715,107.1,-0.894495,2.7188,12.5625,0.92554896,0.4754,-2.75277,49.35503590262681
10089,Scoring PG,2020,darrell brown,103.2,42.1,49.45,96,3.30431,112.869,102.767,1.80687,4.7188,15.4688,1.96110057,0.5147,0.853149,60.64760845711153
10094,Wing G,2018,darrell davis,106.3,53.9,59.33,78,2.9413,112.339,108.885,1.61634,2.7419,15.3871,1.01188318,0.5876,-0.101053,48.92871998260556
10099,Wing G,2014,darren goodson,90.1,42.7,45.66,77,0.860427,99.7891,106.255,-1.54857,2.3226,9.0,1.05885564,0.5,-3.21973,44.394182094838875
10101,Wing G,2011,darren moore,111.4,57.1,61.98,124,3.41575,119.057,101.692,4.57388,1.6774,17.1935,0.66666668,0.687,5.26728,43.67598878673943
10102,Wing G,2010,darren moore,113.3,52.5,57.29,65,2.42994,107.766,108.334,1.80685,1.9667,11.2,1.37214814,0.6129,0.90442,48.45515378263483
10108,Wing G,2012,darren white,107.4,57.2,58.98,144,2.72694,110.383,108.618,3.60694,2.129,16.2258,0.80485405,0.7402,1.88945,41.08965983812317
10109,Wing G,2010,darren white,99.5,49.6,51.85,69,1.0551,96.8843,106.606,0.0540917,0.9394,8.8485,0.60782918,0.6829,-1.73227,40.03749957944764
10111,Wing G,2017,darreon reddick,97.2,43.6,47.13,39,0.177802,89.5572,105.091,-2.27861,1.2069,9.0,0.97220879,0.5294,-2.66036,40.92803606016979
10113,Wing G,2015,darreon reddick,83.4,42.6,47.44,47,-0.53074,81.7304,109.222,-4.57292,1.3548,7.6774,0.68851958,0.42,-5.80142,41.94592735960795
10114,Wing G,2014,darrian gray,105.6,51.5,53.05,41,0.517099,95.4558,117.293,-0.0130567,1.2,6.5333,1.16132778,0.7353,-2.70296,42.254241114676205
10129,Wing G,2016,darrion allen,108.3,54.4,57.72,54,1.0617,97.4818,113.057,0.000211577,1.2333,10.1667,0.78719601,0.4935,-0.761688,40.3122261459031
10132,Wing G,2017,darrion allen,90.9,42.8,49.0,77,0.441842,91.2834,120.167,-2.15354,1.5484,14.4839,0.6486532,0.5455,-5.71107,43.11052284003479
10134,Wing G,2011,darrion pellum,93.2,45.0,49.04,113,1.2574,96.345,97.831,-0.13438,1.9677,16.9355,0.70112241,0.6957,0.381892,41.14427637637441
10135,Wing G,2010,darrion pellum,93.9,45.6,47.7,90,0.731482,92.8648,101.61,-0.847901,1.5484,11.4839,0.77420002,0.6105,-1.20852,39.09007106746547
10136,Wing G,2012,darrion pellum,92.5,42.8,47.9,124,1.37954,96.093,103.938,-0.53059,1.6667,18.2727,0.52382301,0.6667,-1.94572,40.94902375299069
10163,Scoring PG,2011,darryl bryant,102.3,40.3,49.42,58,2.66826,115.21,95.1421,1.64635,2.9688,11.25,1.37686678,0.4483,2.30912,57.43584360437151
10165,Scoring PG,2010,darryl bryant,103.4,42.4,50.25,49,2.27184,113.163,94.0378,1.42323,3.0857,9.3429,1.52109833,0.5,2.21115,57.07013887083252
10166,Wing G,2010,darryl crawford,100.6,44.1,49.96,136,2.5237,107.637,100.364,2.67955,2.2258,14.7742,1.02984319,0.5956,2.44659,48.103625306631386
10167,Scoring PG,2011,darryl evans,105.8,53.3,56.41,49,1.46779,100.045,102.702,0.00608571,3.4516,8.3871,1.6461274,0.6032,0.560887,51.41354428478479
10168,Scoring PG,2010,darryl evans,96.4,50.4,52.23,41,0.237533,88.0851,106.545,-1.94297,3.1429,6.5714,1.60001015,0.5556,-2.55264,47.52202065169071
10171,Scoring PG,2015,darryl gaynor ii,73.5,36.6,41.34,52,-0.444657,82.247,112.034,-4.16013,2.0,8.9655,0.70731362,0.4085,-7.50958,43.56085156848073
10173,Scoring PG,2013,darryl marshall,91.3,42.9,47.95,29,0.229509,87.7088,114.451,-1.93711,2.8214,7.8571,1.29505179,0.4583,-5.12441,50.122238884527384
10177,Wing G,2021,darryl morsell,96.4,51.1,52.43,92,1.95773,104.215,94.548,0.386485,2.8333,8.9667,1.39344918,0.7284,2.55087,47.059948846760676
10178,Wing G,2020,darryl morsell,97.8,47.0,51.95,79,1.69248,102.943,91.344,-0.278411,2.0968,8.6452,1.0,0.5179,1.90193,47.73502754385655
10179,Wing G,2019,darryl morsell,101.8,49.6,51.75,93,1.72002,106.025,95.8288,0.34523,1.8485,8.4545,1.12961381,0.6016,2.47874,43.48367366141526
10180,Wing G,2018,darryl morsell,96.3,43.1,48.81,95,1.39878,101.896,98.7668,-0.604541,2.0312,8.6875,0.92854854,0.5315,-0.0244449,48.83984362105777
10184,Wing G,2011,darryl partin,96.8,48.1,52.15,106,1.91869,103.634,105.513,0.318997,1.4,14.3429,0.49000734,0.5412,-0.884594,40.23808412287659
10185,Wing G,2012,darryl partin,95.7,47.1,50.87,149,2.72485,109.08,103.405,2.37546,1.0938,19.625,0.34655598,0.6571,0.656202,37.04784423452731
10196,Scoring PG,2010,darryl shazier,108.5,49.0,53.26,61,1.70862,99.9527,107.052,0.248731,3.8065,10.129,2.36003467,0.5882,0.305371,54.977280991413636
10197,Wing G,2016,darryl smith,130.5,71.6,72.07,73,2.70656,118.859,108.216,2.19682,1.2222,9.037,1.37495788,0.7246,2.84455,40.31777317949957
10219,Scoring PG,2018,daryl macon,123.3,55.7,62.1,89,5.13397,136.17,102.33,7.26118,3.9429,16.7714,2.19050003,0.5619,7.62001,57.82450827275213
10228,Wing G,2011,daryus quarles,82.8,36.4,38.17,46,-0.178058,83.734,109.586,-3.22717,1.0303,5.1212,1.35995249,0.35,-6.06448,38.927720808697366
10229,Wing G,2010,da'sean butler,117.8,48.3,54.12,138,5.42139,130.16,90.296,6.60763,3.1316,17.2105,1.74998598,0.6333,8.952,54.65583574499918
10230,Scoring PG,2010,dash harris,91.1,44.5,46.67,23,0.177219,87.6504,88.9539,-0.355092,3.4194,4.7419,1.8596834,0.5294,3.63863,49.992125975336464
10231,Scoring PG,2011,dash harris,77.1,30.8,36.08,30,-1.07591,74.8365,93.1533,-3.61901,3.125,4.1875,1.53849946,0.4615,-1.29526,52.46608592445871
10232,Scoring PG,2012,dash harris,88.1,39.9,41.56,34,0.157962,87.199,95.2331,-1.43495,4.0833,5.875,2.08512492,0.48,0.944256,51.02812666319965
10234,Wing G,2015,dashaun wiggins,104.4,50.0,55.59,64,2.1564,109.068,108.588,2.1551,1.6207,15.6552,0.79660855,0.5,0.978456,42.91983267727064
10235,Wing G,2014,dashaun wiggins,110.3,48.6,56.44,79,2.25069,117.37,110.101,2.18675,1.4828,13.1379,1.1026175,0.7333,0.968562,50.47365649876519
10243,Wing G,2020,da'shawn phillip,76.3,35.8,38.1,44,-0.581019,77.68,103.72,-3.08989,0.9688,7.375,0.68894892,0.6,-2.6879,38.86757500562303
10250,Scoring PG,2011,dathan lyles,88.6,38.5,44.23,30,-0.129567,84.6119,104.576,-2.66191,2.9667,5.3,1.64816675,0.7059,-2.36327,55.72530169239343
10255,Wing G,2010,d'aundray brown,110.2,52.0,55.49,88,2.09853,104.012,96.9281,1.70819,1.6,8.3667,1.14285718,0.7571,3.96085,47.31563200041985
10272,Wing G,2011,dave barnett,93.9,49.7,50.41,66,0.14056,87.7352,99.1795,-0.567566,1.4242,6.7576,0.73435088,0.625,-0.552854,38.72532404647697
10273,Wing G,2012,dave barnett,101.3,48.4,49.25,32,0.632288,92.6141,99.226,0.158611,1.8333,5.7667,1.41023082,0.5918,0.357885,42.58522556463228
10277,Wing G,2013,dave coley,94.7,43.7,49.68,92,1.3178,99.1336,91.8837,-0.821599,1.4688,11.0312,0.71214543,0.5342,0.329591,44.945255023949485
10279,Wing G,2014,dave coley,97.0,40.8,46.78,64,0.87808,96.1365,106.013,-1.36624,2.4848,10.6364,1.17141241,0.525,-1.92126,49.612284064753666
10280,Wing G,2012,dave coley,95.5,42.6,47.41,101,1.07366,97.7237,102.262,-1.73547,1.3226,9.9355,0.67215531,0.5897,-2.56875,44.0138280276698
10287,Scoring PG,2012,dave johnson,96.5,39.7,47.08,64,0.812546,93.502,102.576,-1.38682,3.7097,8.7419,1.47438504,0.2754,-0.95466,55.45230178223504
10288,Scoring PG,2011,dave johnson,101.8,39.7,47.54,37,0.767151,96.3538,104.496,-1.25041,3.4688,5.6562,2.26541272,0.45,-0.992994,60.12460049968276
10299,Scoring PG,2013,dave sobolewski,97.9,47.5,50.3,52,2.00931,101.928,99.7817,-0.245592,3.9688,9.8438,2.11669337,0.5467,0.0273672,52.673798136112225
10301,Scoring PG,2012,dave sobolewski,111.8,50.0,55.1,40,2.73523,108.321,106.005,0.621023,3.6667,8.3333,2.63053289,0.4643,-0.100003,57.580401686305734
10307,Scoring PG,2017,davell roby,100.3,49.7,54.15,64,1.77365,103.69,106.601,0.357591,3.4545,11.697,1.51999817,0.5663,-0.176911,51.31966258329861
10322,Wing G,2019,david azore,81.7,33.9,45.07,63,0.0129159,87.6213,99.6684,-4.83625,1.5938,8.4062,0.61446523,0.3733,-5.22149,52.70634595776097
10323,Wing G,2022,david azore,98.6,44.8,52.57,124,3.26485,113.189,104.961,2.03334,1.7692,19.8462,0.58973332,0.5526,0.485906,46.02530267058519
10324,Wing G,2019,david beatty,92.7,43.6,47.58,50,0.301753,90.8238,105.836,-2.32386,1.5161,7.7419,1.09299983,0.5072,-2.22872,43.588311212679244
10327,Wing G,2022,david beatty,83.1,39.8,42.6,51,-0.241618,82.5171,108.165,-4.42771,1.1613,7.6452,0.81816258,0.5088,-5.69269,39.73400597188626
10332,Scoring PG,2016,david blanks,95.9,43.4,48.2,84,0.878545,95.6565,109.641,-1.94147,4.4545,10.1212,1.53122963,0.4898,-2.78727,55.123125442387696
10333,Wing G,2015,david blanks,110.6,56.4,59.81,52,1.13436,101.938,109.264,0.95629,1.6176,6.5294,1.27903842,0.597,0.25963,45.64859742701644
10358,Scoring PG,2010,david burrell,82.4,40.9,42.73,29,-1.31046,69.534,100.503,-4.5362,2.1613,2.8387,1.42556551,0.5333,-1.87702,44.50717306034869
10371,Scoring PG,2016,david cohn,117.2,51.0,58.25,60,3.04668,117.406,107.223,2.42613,4.5862,10.0,2.77078312,0.5479,1.69937,64.32471916212336
10372,Scoring PG,2017,david cohn,106.0,48.0,51.97,38,0.873413,96.2539,112.48,-0.964475,4.4839,6.1613,2.72544373,0.4773,-2.24427,58.00371634001077
10378,Wing G,2022,david collins,105.4,55.6,57.2,96,2.41514,109.743,91.9293,1.34235,2.3438,10.25,1.2500267,0.6147,4.36946,43.88053348366458
10380,Scoring PG,2019,david collins,100.3,45.6,52.68,120,2.38081,108.365,93.0495,0.410507,3.1081,15.8649,0.98289165,0.4725,3.28851,50.316543511508996
10381,Scoring PG,2021,david collins,88.7,45.4,47.82,71,1.53543,99.7706,101.012,-1.05261,3.4091,12.4545,1.07143761,0.4828,-0.520923,45.57069665101321
10382,Scoring PG,2018,david collins,100.3,55.6,60.4,64,1.57474,106.141,106.94,-0.28428,2.4074,9.963,0.92856584,0.5534,-0.184866,47.53726607861649
10384,Scoring PG,2013,david copeland,69.8,39.7,41.62,25,-2.11255,62.7345,123.599,-7.76603,3.2273,3.4545,1.26784517,0.5,-12.1813,47.0056253868639
10389,Scoring PG,2010,david cubillan,120.2,59.5,60.66,33,2.54296,109.463,98.4881,1.97195,2.7353,6.7941,2.73530006,0.6563,3.44232,49.84147614503661
10393,Wing G,2020,david dejulius,108.4,50.0,53.13,45,1.69478,108.953,93.9803,1.48955,1.5161,7.0,2.34981404,0.6563,3.25814,46.695486861702456
10415,Wing G,2011,david golladay,82.2,38.4,44.01,60,-0.555582,79.2442,103.917,-3.91641,1.2903,5.2581,0.76922619,0.4219,-4.22384,45.00565358473614
10420,Wing G,2011,david hanson,110.7,50.9,51.94,90,3.26178,113.05,96.6762,4.85768,1.8621,15.069,1.68760197,0.6436,5.57373,40.87759138809877
10421,Wing G,2012,david hanson,108.4,48.7,51.58,96,2.45861,108.895,101.881,3.15897,1.7419,11.6452,1.19998624,0.5846,3.29721,43.757080435478656
10423,Wing G,2011,david hicks,109.2,48.4,53.12,68,1.60797,104.074,104.733,0.928852,1.0303,10.8788,0.79071377,0.5313,0.445269,42.51885789480748
10424,Wing G,2010,david hicks,106.3,47.4,51.29,68,1.3651,98.4701,112.281,-0.299382,1.0968,9.9355,0.82927564,0.5208,-1.81279,42.201277536739255
10429,Wing G,2015,david humphries,97.5,48.0,50.69,37,0.791611,96.2438,107.574,0.35106,1.8387,6.6129,1.2127828,0.5,-0.594813,44.150427862227076
10441,Wing G,2018,david jenkins jr,107.1,51.6,56.17,90,2.60393,112.819,106.459,1.07774,1.6286,16.1429,0.9661268,0.5556,-0.14683,42.08476701238273
10454,Wing G,2021,david johnson,93.7,48.4,50.42,58,2.05899,102.27,93.0915,0.454109,3.2105,12.6316,1.0,0.5962,2.14969,45.592409368112264
10458,Scoring PG,2016,david joseph,91.8,44.1,46.67,39,-0.0178336,87.6745,104.426,-2.50747,2.8438,5.0312,1.85723614,0.4364,-1.3988,47.671794595674754
10459,Scoring PG,2015,david joseph,85.0,33.3,38.63,39,-0.297911,83.3995,98.8899,-3.55817,3.303,4.2424,1.94637591,0.4483,-3.01338,54.66332357851152
10461,Scoring PG,2021,david kachelries,116.1,63.8,65.7,54,2.63883,113.579,103.479,4.05082,4.381,11.381,1.70374122,0.7705,4.37574,53.38935879103183
10467,Wing G,2019,david knudsen,112.8,56.1,57.9,33,1.28838,105.905,110.048,1.98759,0.9677,7.3226,1.42855036,0.7037,1.20254,41.64309207347427
10479,Wing G,2012,david kyles,112.9,52.6,55.37,40,2.24386,113.39,89.9123,4.67383,2.0312,8.5625,1.75678935,0.7436,7.60639,47.750257182022104
10480,Wing G,2011,david kyles,113.9,54.6,56.15,39,2.21204,115.827,94.6415,4.88796,1.3333,9.0278,1.45445619,0.625,6.26657,41.353477733940906
10490,Wing G,2010,david lighty,108.9,55.9,57.75,120,3.51078,113.764,91.1571,3.01329,2.973,12.6486,1.29412785,0.7288,5.22652,47.88013012524502
10503,Wing G,2018,david mcfarland,98.7,45.4,48.97,46,0.790627,97.4446,111.424,-0.719188,1.5172,8.5172,1.22216851,0.6939,-0.846282,45.230385786079424
10504,Wing G,2019,david mcfarland,105.5,49.4,53.51,90,1.87272,106.047,110.957,1.70182,1.6129,13.5806,1.0,0.5984,1.21789,43.02283365479879
10505,Wing G,2011,david minaya,100.5,44.4,47.91,94,1.12439,98.2854,105.564,-1.93384,1.2414,10.3793,0.97296026,0.5556,-3.14964,41.53475171377498
10506,Wing G,2012,david minaya,94.9,42.9,46.78,123,1.08516,95.5611,112.372,-1.93631,1.1429,12.8571,0.74422089,0.5658,-4.87149,40.13265901565746
10527,Wing G,2015,david nwaba,96.8,42.8,46.88,95,1.79083,106.853,95.7135,2.08967,1.4583,11.4167,0.9722,0.5789,4.23467,43.20889879168006
10528,Wing G,2016,david nwaba,103.3,45.8,50.68,120,2.53564,114.654,107.066,3.70478,3.3929,12.4643,1.61022257,0.5658,3.80412,52.6538690857329
10564,Wing G,2012,david rufful,80.3,41.9,42.91,46,-0.674258,77.5461,102.258,-3.8371,1.1034,5.6897,0.71109106,0.525,-3.4777,37.135427122629274
10565,Wing G,2010,david rufful,79.1,39.7,41.74,65,-0.40876,80.9472,103.795,-3.58547,1.2222,7.5926,0.63461241,0.4098,-3.69847,37.1187114357351
10566,Wing G,2011,david rufful,91.3,46.0,47.86,62,0.315321,89.6647,104.258,-1.54318,1.1429,8.3214,0.76193333,0.6579,-1.57014,39.38355135500825
10602,Wing G,2011,david tairu,112.4,50.6,55.13,72,2.31797,113.123,105.462,2.27551,0.9375,10.0312,1.0,0.6774,1.6615,44.92526021600524
10619,Scoring PG,2016,david walker,121.8,57.7,62.98,81,5.0163,126.168,103.981,6.33001,4.0312,18.25,2.08061932,0.5484,7.11183,55.229056553749274
10630,Wing G,2012,david williams,87.0,54.7,52.89,61,-0.360663,81.3873,102.704,-3.09098,1.3226,5.5484,0.59421331,0.6914,-1.97532,34.53980938088467
10631,Wing G,2013,david williams,89.4,48.4,48.49,56,-0.382403,80.593,103.087,-3.6047,1.0345,5.2759,0.65218762,0.5974,-2.30465,36.49869444754111
10633,Wing G,2020,david wingett,101.1,48.9,50.05,31,0.774885,94.0484,103.1,0.528862,1.0938,8.3438,1.09379995,0.4483,-0.207344,37.107083128575404
10649,Scoring PG,2014,davion berry,118.0,55.5,63.69,93,4.49461,127.22,106.914,5.49846,3.8966,19.6897,1.34523234,0.6452,5.24122,57.61128760344167
10663,Scoring PG,2020,davion mitchell,100.5,47.5,50.34,71,2.20936,105.074,89.2827,0.225084,3.8,9.9,1.70151793,0.6042,3.55192,52.03899037557204
10668,Wing G,2021,davion warren,100.5,51.3,55.33,139,3.19892,111.655,105.321,3.14334,3.0,21.2,0.81521738,0.6934,2.51548,44.69113133124827
10670,Wing G,2022,davion warren,99.5,50.0,53.34,99,1.90003,108.601,84.2598,-0.0780033,1.6486,9.4324,0.87139914,0.6339,4.06711,43.52368885388598
10671,Wing G,2010,davis baker,102.5,49.3,55.05,138,2.45736,106.237,108.637,1.4305,0.8889,17.2222,0.35294816,0.6102,-0.541951,40.62311257093553
10680,Wing G,2015,daviyon draper,90.7,46.1,50.3,89,0.316866,90.7141,98.1442,-2.08402,1.129,8.7742,0.5555282,0.6,-0.544164,41.51877509039585
10693,Wing G,2017,davon hayes,97.6,46.8,50.74,72,1.07896,99.766,104.477,-0.0280862,1.7188,12.0938,0.74326484,0.5616,-0.803863,42.10314193323275
10700,Scoring PG,2013,davon marshall,114.4,59.3,62.75,42,2.96532,111.678,114.7,4.63087,2.4242,14.0303,1.19401082,0.551,1.88574,45.76850014731026
10702,Wing G,2015,davon reed,118.9,58.2,61.57,40,2.8909,118.337,93.4576,3.53408,1.9,8.2333,1.78119435,0.6296,6.66658,48.06975756042574
10703,Wing G,2017,davon reed,113.8,53.9,58.0,82,3.98444,120.44,92.8742,4.87762,2.4242,14.8788,1.19401082,0.618,7.53091,47.69674581797428
10704,Wing G,2016,davon reed,115.4,55.3,59.89,83,3.07968,118.878,95.8056,3.79015,1.2,11.0857,0.95457805,0.5976,5.55885,44.764342480271694
10706,Wing G,2014,davon usher,114.5,54.0,58.28,131,3.96517,119.618,104.203,4.82711,1.7714,19.4,0.87321305,0.6242,5.29488,42.554856252465584
10707,Wing G,2013,davon usher,109.4,49.7,55.99,97,3.48536,116.119,107.778,5.9805,1.4286,18.7857,0.63493331,0.5385,5.22205,43.63350639934651
10708,Scoring PG,2019,davonta jordan,96.6,55.6,53.3,79,0.720882,95.3386,93.923,-1.0226,3.6111,7.3889,1.49422772,0.616,2.07174,42.027565572025
10709,Scoring PG,2020,davonta jordan,100.0,52.5,52.54,85,1.79666,101.635,97.0846,1.40784,5.25,11.5312,1.68,0.557,3.59967,50.53571269540038
10710,Scoring PG,2018,davonta jordan,96.8,51.2,51.21,77,0.520173,93.7838,102.705,-1.8832,4.0,6.5278,1.75608036,0.5522,-0.634641,47.823982161161176
10714,Wing G,2014,davonté lacy,112.7,54.5,60.17,51,4.63276,127.279,102.537,6.3944,1.4545,19.2727,0.68081819,0.5753,7.08086,43.78155701227824
10716,Wing G,2021,davonte davis,101.6,48.0,50.72,107,1.57801,104.416,89.5397,-0.100941,2.1333,8.4667,1.33331252,0.5825,3.07919,45.09342844344961
10730,Wing G,2022,dawson baker,96.8,47.2,51.56,56,1.45788,100.863,100.774,-0.334631,1.1579,11.2105,0.61112574,0.5313,-0.62412,41.35417871745528
10741,Scoring PG,2018,daxter miles jr,119.4,53.2,56.36,99,3.95751,127.149,97.4524,4.90941,3.0556,12.8889,2.15684331,0.5897,6.59862,50.6488558176026
10745,Wing G,2010,daye kaba,90.9,45.4,47.83,60,0.782163,94.0644,109.833,0.141658,1.6071,8.7143,0.86538151,0.5385,-1.66155,41.582674486933655
10748,Wing G,2014,daylen harrison,100.3,44.4,49.1,54,0.342141,92.5408,92.7077,-1.31061,1.0,5.3235,1.09673171,0.5385,2.49301,44.55952703466862
10749,Wing G,2013,daylen harrison,89.0,42.3,47.54,67,0.420146,89.5274,97.4513,-1.37085,1.2581,8.3226,0.58210339,0.4318,-0.889497,42.90758185616997
10754,Wing G,2021,daylen kountz,98.2,48.2,52.38,69,1.91184,103.146,106.497,0.217543,1.5,14.1364,0.68750576,0.5595,-0.913019,41.47189976944255
10758,Scoring PG,2011,daylon guy,100.5,46.6,51.13,42,0.961379,99.3617,104.884,0.350425,1.7647,7.5294,1.46338844,0.44,0.355889,46.04672941871445
10764,Wing G,2016,dayon griffin,107.0,56.3,56.53,79,1.31753,101.101,102.403,0.577012,1.7097,11.2258,1.17780383,0.6383,1.49146,37.7891122288445
10766,Wing G,2018,dayon griffin,92.8,45.4,46.76,39,0.546653,93.5692,92.9798,0.208206,1.1875,8.6562,0.9047619,0.4789,2.49585,36.83081822093417
10772,Scoring PG,2021,dayvion mcknight,95.2,39.7,47.08,54,0.825128,95.0108,98.4805,-1.90855,3.8276,5.8276,1.81972046,0.5147,-0.665214,60.383527258200026
10773,Scoring PG,2022,dayvion mcknight,103.6,48.5,53.47,175,3.58859,113.68,102.597,1.68123,5.4688,16.1875,1.6355045,0.5513,1.34513,58.902369321665375
10776,Wing G,2018,dazon ingram,99.6,46.6,53.44,81,1.77128,105.54,93.9836,-0.165088,2.6286,9.7429,1.16459163,0.5591,1.73131,52.64022661860329
10777,Wing G,2019,dazon ingram,102.1,50.7,56.83,51,1.52452,107.337,96.9924,-0.491362,2.5625,7.0625,1.28125,0.5077,1.2414,52.13016943243197
10778,Wing G,2020,dazon ingram,103.8,44.5,53.51,59,2.06889,106.714,93.9148,1.11191,3.7241,8.2759,1.74194299,0.5464,3.88255,62.46328998901334
10782,Scoring PG,2017,de'aaron fox,110.7,49.7,54.81,197,4.05821,127.361,90.564,3.96048,4.5833,16.6944,1.89651191,0.6453,7.17309,56.521910946230186
10800,Wing G,2015,deandre bembry,100.2,48.6,51.21,149,3.20394,111.672,94.1272,4.4911,3.5806,17.7419,1.24716125,0.6779,7.04598,47.145468618245275
10801,Wing G,2014,deandre bembry,99.2,51.6,53.48,107,2.0436,106.464,100.12,0.889297,2.7059,12.1471,1.06977933,0.6422,1.99251,44.322074532718446
10802,Wing G,2016,deandre' bembry,110.7,51.3,53.91,204,4.22179,120.696,93.9216,4.77418,4.4722,17.4167,2.20544419,0.7202,7.89142,53.42493645366813
10806,Scoring PG,2017,deandre burnett,107.0,44.9,54.9,66,3.39307,120.666,103.824,3.51748,3.1515,16.4545,1.10637176,0.4098,2.54819,56.29464229306747
10807,Scoring PG,2018,deandre burnett,108.0,46.6,54.28,61,3.19496,120.869,108.874,4.20607,3.9032,13.5484,1.83334899,0.5238,2.23647,59.07165024377609
10819,Wing G,2021,deandre dishman,83.7,40.6,43.12,58,-0.0757459,84.3375,99.8049,-2.71596,1.0,6.3478,0.67645269,0.493,-1.51333,39.20138854999181
10820,Wing G,2021,deandre gholston,104.4,51.9,55.93,81,2.37589,106.388,106.139,2.76854,1.3636,16.7727,0.69767206,0.5897,1.68915,39.78776320932731
10821,Wing G,2022,deandre gholston,92.6,42.9,46.99,93,1.25621,96.4802,110.871,-0.795985,2.129,14.3226,1.0,0.4333,-3.26049,42.1411811714855
10822,Wing G,2010,deandre hall,98.8,50.8,53.01,192,2.13529,103.916,101.914,1.26441,2.6129,16.3226,0.78640225,0.6452,0.923744,41.61453089089676
10825,Scoring PG,2016,deandre haywood,95.6,50.4,51.54,103,1.14293,100.502,112.093,-0.0454485,2.3929,11.6429,1.11666433,0.629,-0.885285,41.45746997282705
10839,Scoring PG,2014,deandre kane,110.4,53.2,56.13,165,4.3801,125.592,94.9381,5.25188,5.9167,17.0556,2.04808052,0.6481,7.39452,58.466746461077115
