,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff
23834,2015,josh richardson,110.7,25.3,51.9,56.02,2.9,13.2,24.4,18.9,0.798,138,271,0.509,46,128,0.359,2.0,3.8,31.1,4.56405,123.737,2.7,51.0,97.3721,36.3125,5.35188,2.13202,0.875,3.5938,4.4688,3.5938,2.0938,0.5,16.0312,7.20117,1,1.35298553,0.6901,0.445,101.953,3.76925,210.401,5.88059,4.44294,1.43766,7.4839,42.31,31.177050346929235,-11.132949653070767
23878,2016,josh smith,87.3,13.7,39.7,42.61,10.5,17.6,1.9,23.9,0.8,9,23,0.391,3,11,0.273,1.2,1.3,14.7,-0.164794,81.4245,4.6,57.2,97.0776,7.3462,-3.88429,0.217543,0.6538,1.1154,1.7692,0.0769,0.1538,0.0769,1.1923,3.59983,1,0.19994799,0.5,0.2727,100.75,0.808767,32.7663,-3.81071,-3.22047,-0.590247,-3.66675,36.73,35.778814447227404,-0.9511855527725928
24619,2011,justin holiday,116.9,17.5,54.4,56.62,7.0,13.0,12.4,16.6,0.772,91,166,0.548,47,131,0.359,2.7,2.3,19.2,3.08697,117.969,2.9,81.8,92.3493,28.2571,4.47741,2.74797,1.8286,3.3714,5.2,2.1429,1.1714,0.8,10.4857,7.35515,1,1.44235039,0.6628,0.425,96.8788,3.36638,197.669,8.19967,4.8716,3.32807,7.22538,43.2,35.774098396430844,-7.425901603569159
24634,2014,justin jackson,104.2,24.4,53.2,52.38,13.6,17.4,14.8,18.3,0.46,160,301,0.532,0,0,0.0,12.1,3.7,41.9,2.40134,113.234,4.4,68.8,81.1917,27.7647,2.7021,6.29519,3.2353,4.0294,7.2647,1.7353,1.6176,2.9118,11.1176,0.0,1,0.88059471,0.6503,0.3504,83.5631,4.67187,230.53,11.6096,1.40187,10.2077,8.99728,20.83,17.6201717772187,-3.2098282227812973
26113,2012,kent bazemore,97.7,29.3,46.3,49.5,6.2,15.7,23.9,21.0,0.632,135,298,0.453,51,159,0.321,1.3,4.1,39.8,2.57596,109.762,3.5,21.6,88.9042,31.5143,3.50944,3.01355,1.8571,4.2286,6.0857,3.0571,2.1143,0.3429,15.3714,8.76971,1,0.95534375,0.6198,0.339,89.6959,4.00882,235.267,5.16354,2.53779,2.62574,6.52298,39.84,49.44150791117724,9.601507911177237
27512,2011,kyle singler,112.3,23.5,49.1,53.64,8.0,13.3,8.8,13.2,0.806,157,316,0.497,62,193,0.321,0.8,1.5,30.5,4.48224,123.426,3.0,99.0,89.4209,34.7568,4.29121,1.06129,2.3784,4.4595,6.8378,1.6216,0.9189,0.3243,16.8919,8.51622,1,0.8571278,0.708,0.3793,94.0388,4.52346,235.792,5.95265,4.57615,1.3765,5.3525,29.49,24.842485723506314,-4.647514276493684
27820,2010,lance thomas,99.1,13.5,43.9,50.22,10.4,11.0,6.1,26.9,0.743,68,155,0.439,0,0,0.0,0.8,1.4,47.7,0.856023,95.4928,4.8,94.8,89.3258,25.25,-0.837577,2.36188,2.35,2.5,4.85,0.9,0.6,0.2,4.775,0.0,1,0.59016393,0.6026,0.2692,94.5901,3.25753,167.533,4.64729,1.30009,3.3472,1.52431,18.86,28.97126923746552,10.111269237465521
27860,2014,langston galloway,125.3,20.3,57.0,60.99,2.8,10.5,9.3,6.7,0.826,82,184,0.446,108,244,0.443,1.5,1.8,32.2,5.34162,130.983,2.6,66.4,100.79,36.2059,6.17963,1.36532,0.8235,3.4412,4.2647,1.5588,1.0588,0.5,17.7059,11.8583,1,1.8928962,0.5882,0.359,103.489,3.61669,204.296,7.15204,6.47683,0.675204,7.54495,37.46,32.53643219337252,-4.9235678066274815
28062,2011,lavoy allen,107.7,20.1,48.8,51.9,9.3,20.2,13.6,14.7,0.697,149,304,0.49,5,17,0.294,5.4,1.3,30.8,2.78221,110.154,2.7,78.8,89.5171,33.9394,2.33665,2.66789,2.6667,5.9091,8.5758,2.2727,0.697,1.8485,11.5758,0.92556,1,1.38884142,0.7623,0.3077,92.0014,4.35626,227.605,5.87426,1.2803,4.59396,5.00454,34.42,36.62085612559028,2.2008561255902777
29135,2016,malcolm brogdon,120.0,26.8,53.2,58.48,2.1,13.3,19.5,10.0,0.897,155,311,0.498,75,192,0.391,0.9,1.8,31.0,5.83481,137.347,2.4,80.6,92.0084,34.1351,7.60734,2.66417,0.5135,3.5405,4.0541,3.1081,0.9459,0.2432,18.2432,9.86277,1,2.21154109,0.6496,0.3793,98.9573,4.36185,203.837,9.49229,7.27731,2.21498,10.2715,54.39,32.923731768604256,-21.466268231395745
29836,2015,marcus thornton,111.7,27.2,55.6,59.66,1.0,7.5,17.9,14.5,0.824,111,211,0.526,94,242,0.388,0.4,1.1,31.3,4.46183,121.865,1.2,19.2,111.551,36.6667,4.77995,-3.48152,0.2727,2.5152,2.7879,2.8788,0.6364,0.1212,19.9697,12.8921,1,1.23378896,0.6667,0.4018,110.674,2.05055,149.321,-0.602706,4.08968,-4.69238,1.29843,33.81,33.5478082222057,-0.2621917777942997
29837,2015,marcus thornton,106.8,22.5,49.6,54.3,7.1,20.5,8.7,13.8,0.691,126,251,0.502,9,30,0.3,4.3,1.6,53.0,2.7023,114.695,4.2,76.0,88.7619,29.1935,1.95055,2.59808,1.7097,5.5806,7.2903,1.0323,0.7419,1.129,12.3226,2.03162,1,0.69566684,0.6742,0.3025,93.1585,3.8219,189.622,4.72743,1.25072,3.47671,4.54863,33.81,36.901215908989315,3.0912159089893123
30558,2013,mason plumlee,113.1,25.1,59.9,62.8,9.8,23.3,11.5,19.2,0.681,221,369,0.599,0,0,0.0,4.0,1.7,68.8,4.94503,126.353,2.9,94.8,84.9855,34.6667,5.39624,3.0227,2.75,7.2222,9.9722,1.9444,1.0,1.4444,17.0833,0.0,1,0.67959875,0.7412,0.3688,90.9172,4.9222,282.551,8.66358,3.98273,4.68084,8.41895,36.05,40.562247716427436,4.512247716427439
31074,2013,matthew dellavedova,116.2,25.0,49.6,55.43,2.1,9.2,34.3,19.0,0.85,81,192,0.422,82,219,0.374,0.3,1.7,35.8,5.14646,125.799,1.9,21.0,97.8639,36.7059,5.98592,0.183138,0.6176,2.7941,3.4118,6.4118,1.0294,0.1176,15.6765,10.8495,1,2.27086952,0.4138,0.4254,100.844,3.55834,189.668,5.97696,5.86949,0.107475,6.16906,34.33,37.555596882737944,3.225596882737946
32198,2013,mike muscala,116.8,31.7,51.0,57.21,12.0,29.0,18.6,10.9,0.788,218,423,0.515,4,16,0.25,7.7,1.0,50.6,5.30295,132.867,2.7,9.2,83.7836,32.0909,8.51832,3.9947,2.9697,8.3333,11.303,2.3333,0.5152,2.3333,18.8788,0.966799,1,1.35083659,0.6597,0.3966,83.836,4.69031,257.626,10.9448,4.83395,6.11084,12.513,37.58,38.32973172167701,0.7497317216770085
32255,2012,mike scott,115.0,29.8,57.1,62.0,9.7,24.0,10.7,14.8,0.808,209,362,0.577,6,20,0.3,1.8,1.4,45.0,5.07223,132.706,2.2,26.8,83.8789,31.2188,7.31393,2.37285,2.1875,6.0938,8.2812,1.1562,0.6562,0.4688,17.9688,1.31329,1,0.55220175,0.7228,0.5231,86.3756,4.58281,193.92,5.98597,3.33859,2.64738,9.68678,25.0,19.684803945200173,-5.315196054799827
32427,2012,miles plumlee,117.3,17.6,61.0,62.05,16.6,22.7,5.1,20.0,0.632,89,146,0.61,0,0,0.0,4.2,1.5,52.1,2.35136,118.999,4.5,89.8,89.8214,20.5,3.67006,1.67681,2.9118,4.2059,7.1176,0.5294,0.5294,0.9412,6.6471,0.0,1,0.42855988,0.7143,0.4364,94.9681,2.5794,152.76,6.31222,3.27953,3.03269,5.34687,28.89,26.40763225989801,-2.482367740101992
32683,2017,monte morris,124.2,23.8,52.3,55.53,3.7,11.3,32.0,8.1,0.802,162,322,0.503,54,143,0.378,0.8,2.4,23.9,6.00174,137.603,1.6,83.6,94.6366,35.3429,7.19907,2.2778,1.1429,3.6857,4.8286,6.2,1.5143,0.2857,16.4286,6.56176,1,5.1666663,0.625,0.4227,101.974,4.13237,225.734,9.78239,8.06251,1.71988,9.47688,38.18,37.927847736004395,-0.25215226399560464
34166,2015,norman powell,104.9,24.0,49.7,53.99,1.9,13.3,12.8,15.8,0.751,175,348,0.503,38,119,0.319,1.5,3.2,36.2,3.40922,116.026,2.9,89.6,94.5606,34.5278,2.76967,2.69594,0.5833,4.1111,4.6944,2.0833,1.8333,0.4444,16.4167,5.638,1,0.93749446,0.6083,0.3282,98.9771,3.90771,244.879,5.02166,2.84666,2.17499,5.46561,33.45,37.66756600186497,4.2175660018649666
34720,2015,pat connaughton,120.4,16.7,59.7,61.46,4.2,20.4,7.6,12.2,0.781,73,136,0.537,93,220,0.423,2.7,1.3,18.0,3.9944,120.284,2.2,80.8,95.5844,35.5526,5.83473,1.05884,1.0789,6.3421,7.4211,1.5,0.7105,0.9474,12.5,10.1701,1,1.29544868,0.5604,0.4889,99.958,3.86183,246.333,7.63175,5.68762,1.94413,6.89357,42.13,41.88600858750439,-0.2439914124956104
