,pos,year,player_name,Ortg,eFG,TS_per,AST_per,porpag,adjoe,ogbpm,ast,season,dporpag,test_score
3495,Scoring PG,2011,bakari lewis,97.6,48.2,52.84,24.1,1.40872,101.369,0.0565127,2.8889,1,1.61701,35.67974073719651
3504,Combo G,2019,balint mocsan,111.2,58.2,60.94,15.4,1.94694,107.729,1.98984,2.1,2,0.879701,42.87535386580054
3523,Scoring PG,2016,barrington stevens iii,87.3,42.5,46.88,17.0,-0.842841,79.2013,-4.29558,2.4839,1,1.90186,30.029121762537322
3525,Scoring PG,2014,barrington stevens iii,99.6,46.5,49.66,20.9,0.558522,93.9449,-1.73833,2.8571,3,1.80182,35.683292928906845
3526,Scoring PG,2015,barrington stevens iii,96.5,44.9,46.86,18.5,0.161139,88.7508,-1.91125,3.1515,2,1.38178,30.822884352531762
3527,Combo G,2017,barry brown,98.5,47.5,49.81,14.9,1.89531,104.518,0.429,2.4,3,4.10162,37.465580849061915
3528,Combo G,2016,barry brown,93.1,42.7,44.96,12.2,0.834491,97.4114,-0.557776,1.5152,4,3.04926,37.546849833935106
3529,Combo G,2019,barry brown jr,101.8,48.3,51.56,18.4,2.99985,112.179,1.70766,2.8235,1,5.23665,33.872510144713466
3530,Combo G,2018,barry brown jr,103.6,49.6,54.69,19.7,3.29729,115.23,1.5854,3.2432,2,4.07512,40.34096413456047
3538,Combo G,2010,barry stewart,109.4,48.0,51.02,15.6,2.83536,110.046,1.83802,2.6667,1,3.61846,32.94522870174205
3605,Combo G,2011,ben botts,120.3,57.2,60.84,14.6,3.10235,115.448,4.13732,2.1379,1,2.2538,42.19011322279178
3606,Combo G,2010,ben botts,108.7,52.7,56.31,11.1,1.68144,101.843,1.0578,1.5517,2,1.9399,41.253120107802054
3610,Combo G,2013,ben brust,114.6,54.4,55.36,14.2,3.55852,115.583,3.66531,2.2571,2,4.70336,38.072606907847806
3611,Combo G,2012,ben brust,107.6,52.2,53.82,7.9,1.85318,110.909,2.64897,0.7222,3,2.84885,40.81641271668253
3619,Combo G,2014,ben cherry,125.5,61.9,64.84,6.0,1.70358,111.106,0.24682,0.7097,1,1.52088,36.32210321516243
3635,Combo G,2014,ben dillard,110.0,52.8,61.89,6.4,1.08287,101.14,-1.33742,0.8148,2,1.69682,47.7311145320011
3638,Combo G,2015,ben dillard,102.0,42.8,49.53,11.9,0.921821,98.223,-0.612268,1.4839,1,1.21586,35.719363709246174
