,player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,multiplier,pt_rating,raptor_rating,war_rating,total_score
567,mikal bridges,bridgmi01,2022,6950,3354,0.283241088,1.130026838,1.413267926,7.527878624,0.084136117,7.612014741,1.790096472,0.942666776,2.732763248,9.382802883,7.836241975,1.546560908,1.603022712,1.505710594,3.108733306,-0.54932621,1.0,0.6523656686381519,0.6622037435715166,0.518167031657075,62.25
570,miles bridges,bridgmi02,2021,4056,1932,-0.319691673,0.007930255,-0.311761418,1.67055556,0.979200798,2.649756359,0.087895735,0.216716471,0.304612206,3.021381937,3.021381937,0.0,0.114403492,-0.014559415,0.099844077,0.349822199,1.0,0.417534588494834,0.46627758301876066,0.23221385323321975,38.95
571,miles bridges,bridgmi02,2022,5968,2837,1.055824908,-0.00691809,1.048906818,4.15453472,-0.35024414,3.804290579,1.736542251,-0.049728888,1.686813363,6.431182834,6.431182834,0.0,2.715743288,0.272178907,2.987922195,0.142844686,1.0,0.5860121200822931,0.5435381745178359,0.3602388668825147,51.36
581,malcolm brogdon,brogdma01,2019,4412,2030,2.41603502,1.016900338,3.432935358,2.93440979,1.631120374,4.565530164,2.619533592,1.137777918,3.75731151,6.769914198,5.770711037,0.999203161,2.466574395,1.097407642,3.563982037,-0.313511679,1.0,0.6196168690750354,0.6592723502019033,0.3729569371773811,57.28
582,malcolm brogdon,brogdma01,2020,3760,1826,1.816659836,-1.016453199,0.800206637,-1.647339128,2.768816264,1.121477136,1.193023236,-0.314080548,0.878942687,3.369102846,3.027236735,0.341866111,0.359274156,-0.302071599,0.057202556,-0.679928439,1.0,0.4150470733004078,0.49838080652807826,0.24526944664339131,40.39
583,malcolm brogdon,brogdma01,2021,4062,1930,2.026364311,-2.055178108,-0.028813797,-0.87314229,2.106854901,1.233712611,1.52699551,-1.301319177,0.225676333,2.89876404,2.89876404,0.0,1.738892465,-0.785764623,0.953127843,-1.080123808,1.0,0.46731133855687335,0.46186532203374403,0.22761001904721662,40.53
584,malcolm brogdon,brogdma01,2022,2475,1206,2.748499048,-1.023239111,1.725259936,0.15341171,0.839295319,0.992707028,2.356553988,-0.66015958,1.696394409,2.727875359,2.727875359,0.0,2.277638247,-0.738833509,1.538804738,-0.292290218,1.0,0.501477103313174,0.5440737241210113,0.2211938010983083,44.74
595,dillon brooks,brookdi01,2021,4611,2172,-0.791496385,0.481235561,-0.310260824,4.503970482,0.863146733,5.367117215,0.258821902,0.58183802,0.840659922,4.072346014,3.022372891,1.049973122,1.095413757,1.409716752,2.505130509,1.142886819,1.0,0.5578482172358716,0.49624092330403313,0.271673544390326,46.32
596,dillon brooks,brookdi01,2022,2586,1220,-0.169668701,2.763724274,2.594055573,1.460548498,4.021893291,5.482441788,0.112986616,3.143497444,3.256484059,3.784399996,3.120465354,0.663934641,0.152263694,3.616865922,3.769129616,0.654018049,1.0,0.6315842592594111,0.631277709257442,0.2608622700671993,53.88
607,bruce brown,brownbr01,2021,3587,1728,0.391503494,0.65689817,1.048401664,1.47078989,-0.888542709,0.58224718,0.581524093,0.373995817,0.95551991,3.25042783,2.83975837,0.41066946,0.765132322,0.582218012,1.347350334,-0.766545209,1.0,0.4903085115786106,0.502661226577196,0.2408136525949477,43.26
608,bruce brown,brownbr01,2022,3981,1913,0.510753802,0.566368886,1.077122688,-0.320678022,-0.863574003,-1.184252025,0.339233627,0.318831667,0.658065294,3.301152856,3.228526369,0.072626487,0.561878102,0.789229679,1.351107781,-0.594126006,1.0,0.49052770419382596,0.48603447188240867,0.2427181837808373,42.69
617,jaylen brown,brownja02,2019,4659,2187,-1.203740615,0.325273727,-0.878466888,-3.100248491,-0.042542035,-3.142790527,-1.702549513,0.231335142,-1.471214371,1.430802791,1.544474711,-0.11367192,-1.117149152,0.735692617,-0.381456535,0.525157208,1.0,0.38945766822183,0.36701459872450126,0.17249367512660527,32.68
618,jaylen brown,brownja02,2020,5365,2606,1.182520246,1.213937085,2.396457331,0.953995166,-1.759726057,-0.805730891,1.173477149,0.61501887,1.788496019,6.141704142,3.765030742,2.3766734,1.823363699,1.229387866,3.052751565,0.140669253,1.0,0.5897939749302963,0.5492219073869418,0.3493700464985777,51.45
619,jaylen brown,brownja02,2021,4172,1999,2.259914465,0.181290803,2.441205269,-0.232119463,-0.814934512,-1.047053975,1.865295843,-0.012901326,1.852394516,4.74162673,4.74162673,0.0,2.271417214,0.50751581,2.778933024,1.025943297,1.0,0.5738206286405823,0.552793627500993,0.296802481647776,49.67
620,jaylen brown,brownja02,2022,6398,3140,1.890186726,0.735730918,2.625917644,0.772674196,2.15800067,2.930674866,1.719575058,1.00791076,2.727485818,8.905490132,6.297404598,2.608085534,2.306776077,1.372283631,3.679059708,0.596996114,1.0,0.6263299845652563,0.6017084119126631,0.45313966524810334,57.38
636,sterling brown,brownst02,2020,1716,771,-2.274072412,1.09758411,-1.176488302,-3.768962452,1.318262467,-2.450699985,-2.761110935,1.108895011,-1.652215924,0.437610919,0.485322573,-0.047711654,-2.180832516,0.193905511,-1.986927005,0.222944791,1.0,0.29580171752702333,0.356897195062806,0.13520310983845588,27.86
637,sterling brown,brownst02,2021,2615,1229,-1.109073997,-1.119360103,-2.2284341,-2.344066183,0.733728694,-1.610337489,-1.410434189,-0.751143152,-2.161577341,0.368330226,0.368330226,0.0,-2.119403404,-0.571833083,-2.691236487,-0.172921657,1.0,0.25471545941598084,0.3284255329136857,0.13260188415552487,25.18
638,sterling brown,brownst02,2022,1374,654,-2.765717138,1.097441221,-1.668275917,-4.500434727,2.663427866,-1.837006861,-3.318176241,1.462859538,-1.855316703,0.292489092,0.203138549,0.089350542,-3.238410641,0.5652659,-2.673144741,0.013717278,1.0,0.25577085078132866,0.3455445158670216,0.1297543389442867,25.79
645,jalen brunson,brunsja01,2021,3716,1811,2.104669895,-0.594374069,1.510295826,-1.432972612,1.979258496,0.546285885,1.457274386,-0.097654298,1.359620087,3.741497325,3.866594789,-0.125097463,1.355524997,-0.415991123,0.939533875,-1.017580304,1.0,0.4665183273987455,0.5252491245410964,0.25925143846550713,43.67
646,jalen brunson,brunsja01,2022,6254,3153,2.32589856,-0.171072471,2.154826089,3.410763428,-1.806886709,1.603876719,2.659996012,-0.544413578,2.115582434,7.78818218,5.698372528,2.089809652,2.5772267,0.035419042,2.612645742,-1.488697628,1.0,0.5641201739918179,0.5675049841780662,0.4111890147185906,52.72
666,reggie bullock,bullore01,2018,3551,1732,0.65056204,-0.324648963,0.325913077,0.242454785,0.228061203,0.470515988,0.616557372,-0.243605956,0.372951416,2.761715946,2.761715946,0.0,-0.254543487,-0.404141436,-0.658684922,0.074360478,1.0,0.44794248816134197,0.5641170296189014,0.2669572632264199,44.63
667,reggie bullock,bullore01,2019,3957,1879,-1.153496097,-0.975924608,-2.129420705,-0.570984206,-1.580539723,-2.151523929,-1.085647962,-1.15629016,-2.241938121,0.498168681,0.498168681,0.0,-1.316426398,-1.134327032,-2.45075343,-0.124871129,1.0,0.2956185792950686,0.3563269866399497,0.15122450501897292,28.23
668,reggie bullock,bullore01,2020,1425,684,-1.565701882,0.039920514,-1.525781368,-2.056861527,1.407431078,-0.649430449,-1.707149397,0.360725424,-1.346423973,0.488083226,0.488083226,0.0,-2.090182671,0.237910313,-1.852272358,-0.361093591,1.0,0.30365686604324527,0.3739899799228582,0.13709815239014023,28.84
669,reggie bullock,bullore01,2021,4269,2111,-0.397265111,-0.129890267,-0.527155378,-0.487326551,0.14723596,-0.340090591,-0.417409454,-0.1156449,-0.533054354,2.385430469,2.168378429,0.21705204,-0.820080641,0.465649231,-0.35443141,-0.393144687,1.0,0.4692410314489756,0.5033456653317782,0.2500035624852391,42.72
670,reggie bullock,bullore01,2022,5182,2609,-0.604866887,-0.750504537,-1.355371424,1.578301123,2.474413574,4.052714698,-0.21231413,-0.147103445,-0.359417575,3.184023024,2.369458925,0.814564099,-0.173954436,0.473569895,0.299615459,-0.654459536,1.0,0.47210719098954923,0.4720765033960223,0.2621524460455696,41.96
671,trey burke,burketr01,2014,4384,2262,-0.693449559,-1.89342505,-2.586874609,4.654880531,-2.902472064,1.752408467,0.426341353,-2.176439305,-1.750097952,1.138932109,1.138932109,0.0,0.59934511,-1.927518201,-1.328173091,-1.249036275,1.0,0.33423046800388195,0.35142590505403265,0.16153504464476248,29.75
672,trey burke,burketr01,2015,4408,2288,0.043613882,-1.567880384,-1.524266502,-0.051701389,-3.289515099,-3.341216487,0.042666264,-2.045011596,-2.002345332,0.864371322,0.864371322,0.0,0.14616276,-1.312134365,-1.165971605,-0.922294467,1.0,0.34369257562859606,0.33732608920292206,0.15122633467458144,29.32
673,trey burke,burketr01,2016,2661,1366,1.192153767,-2.438847243,-1.246693476,-2.101641206,0.209764291,-1.891876915,0.583198253,-2.06707829,-1.483880037,0.872903792,0.872903792,0.0,0.386189429,-2.000697083,-1.614507654,-1.051642878,1.0,0.38103239171254166,0.43956795456162967,0.18185603564111757,35.32
