,pos,year,player_name,Ortg,eFG,TS_per,ORB_per,DRB_per,twoP_per,blk_per,stl_per,porpag,adjoe,mp,ogbpm,dgbpm,pts,season,ast/tov,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,gbpm,score,test_score,diff
12232,C,2013,dewayne dedmon,96.5,50.0,52.44,11.7,24.2,0.509,10.0,2.9,1.14207,100.248,22.2903,-0.0909662,4.94535,6.7097,2,0.38776415,0.6667,88.5165,3.1758,183.119,4.85438,46.16915422885573,35.1051996776949,-11.063954551160833
12233,C,2012,dewayne dedmon,98.5,55.1,55.28,12.6,17.6,0.556,4.7,2.0,1.44005,103.773,23.25,-1.31719,2.15542,7.6,3,0.20689655,0.8462,93.3454,2.92177,91.0182,0.838229,46.16915422885573,29.03843918199263,-17.130715046863102
12689,C,2015,domantas sabonis,118.4,65.6,66.38,13.2,24.2,0.656,1.5,1.2,2.77039,124.285,21.6316,3.34384,1.48338,9.7105,4,0.55931983,0.7315,90.7303,3.01955,171.557,4.82722,68.08813077469794,57.62982088609657,-10.458309888601377
13713,C,2010,ed davis,112.0,57.8,60.66,10.8,24.2,0.578,9.5,0.9,3.0751,117.694,27.8696,3.62077,3.19261,13.4348,3,0.47825,0.84,92.5656,3.71526,160.882,6.81338,48.28713574982232,50.156336209635285,1.8692004598129657
13914,C,2010,ekpe udoh,110.5,49.1,52.99,12.8,17.6,0.497,11.0,1.4,4.21518,120.227,35.4571,4.87541,3.96362,13.9143,2,1.11631598,0.7156,93.4571,4.70314,273.986,8.83903,23.89481165600569,33.40715010125817,9.512338445252478
16104,C,2013,gorgui dieng,112.6,53.4,56.23,12.9,22.1,0.534,9.4,2.6,3.38553,117.22,31.0909,4.59809,5.83893,9.7879,2,1.11863081,0.6827,81.001,5.26508,252.025,10.437,43.4683724235963,45.874644959715425,2.4062725361191255
16105,C,2012,gorgui dieng,104.3,52.7,55.61,11.7,18.5,0.526,10.4,2.1,2.01259,103.605,32.8,0.940436,5.93672,9.1,3,0.52499998,0.7339,84.6546,5.28259,310.302,6.87716,43.4683724235963,41.01622271111577,-2.4521497124805265
16106,C,2011,gorgui dieng,113.0,61.8,60.88,13.4,18.3,0.624,13.7,1.7,1.52568,114.777,15.5517,1.73786,5.16395,5.6552,4,0.70375941,0.7385,88.3349,2.2925,105.295,6.90181,43.4683724235963,53.63230945686446,10.163937033268162
16573,C,2010,hassan whiteside,101.7,51.0,53.55,12.0,24.0,0.504,18.3,1.2,2.15312,109.378,26.5484,2.06156,4.68207,12.7742,4,0.11864228,0.7196,88.111,3.62789,231.982,6.74362,61.26510305614784,51.221027390722526,-10.04407566542531
16650,C,2012,henry sims,100.4,45.7,52.24,8.3,17.3,0.459,5.5,1.3,2.90914,116.247,27.875,2.29764,3.54327,11.7188,1,1.15057468,0.597,90.3295,3.87632,174.463,5.84092,23.695806680881315,21.541412759811408,-2.1543939210699072
16651,C,2011,henry sims,100.1,57.8,56.9,8.0,18.9,0.585,4.8,1.2,0.752559,101.779,14.0312,-0.888444,3.23712,3.5938,2,1.08566471,0.7442,99.3397,1.66305,85.6712,2.34867,23.695806680881315,29.370235829892252,5.674429149010937
16652,C,2010,henry sims,84.0,50.0,52.81,7.2,17.2,0.565,7.0,1.0,-0.0594076,83.173,6.7143,-3.62133,2.64003,1.3929,3,0.41179377,0.6923,98.1582,0.802346,35.8202,-0.981295,23.695806680881315,34.84036234147375,11.144555660592435
18152,C,2015,jahlil okafor,116.4,66.4,64.14,14.8,18.2,0.664,4.5,1.5,4.86364,134.278,30.0789,7.26684,2.26927,17.2895,4,0.5158,0.7889,94.5347,4.1073,226.642,9.53611,26.79459843638949,55.26479342267467,28.470194986285183
18262,C,2013,jakarr sampson,94.7,44.9,47.71,7.3,14.9,0.457,3.5,2.1,2.39299,107.376,31.5152,1.4529,1.39816,14.8788,4,0.53030002,0.6446,96.0357,3.73378,204.051,2.85106,48.74200426439232,40.98152744113517,-7.76047682325715
18263,C,2014,jakarr sampson,101.6,49.6,50.8,8.0,15.5,0.499,3.6,1.3,2.13386,109.916,29.0,0.890922,0.846334,12.8485,3,0.7499683,0.6667,99.6889,3.42566,169.44,1.73726,48.74200426439232,35.48435259717377,-13.257651667218553
18453,C,2015,jakob poeltl,109.9,67.9,62.66,15.8,20.1,0.683,8.9,1.0,2.42778,117.472,23.2941,2.82118,3.65303,9.1471,4,0.41821219,0.7481,87.4236,3.5658,161.036,6.4742,76.01990049751244,53.29907454124971,-22.72082595626273
18454,C,2016,jakob poeltl,124.0,64.0,66.23,11.9,22.0,0.64,4.8,1.2,5.42835,139.774,30.6,7.31247,2.4461,17.2857,3,0.95714998,0.7007,98.0085,3.73308,225.884,9.75857,76.01990049751244,54.20726477397605,-21.81263572353639
19095,C,2011,james anderson,76.1,32.5,31.52,7.2,11.5,0.325,7.3,1.2,-0.412191,70.7093,7.7333,-6.21937,2.16974,1.1,2,0.85726533,0.5714,94.6968,0.943727,46.6915,-4.04963,21.03766879886283,13.098292005541765,-7.939376793321063
19472,C,2012,jamychal green,105.5,55.0,58.5,10.5,19.1,0.561,6.0,1.6,3.44988,120.04,29.2308,3.91347,3.66617,13.9615,1,0.65713327,0.7172,88.3598,4.36969,155.633,7.57965,36.03411513859275,29.874481135390653,-6.1596340032021
19473,C,2010,jamychal green,101.7,49.5,54.09,11.9,18.5,0.503,6.8,2.0,2.9825,117.557,27.0,2.2648,1.72935,14.129,3,0.41771308,0.596,94.4698,3.4303,175.499,3.99415,36.03411513859275,40.120408141319174,4.086293002726421
19815,C,2017,jarrett allen,101.9,56.6,57.14,11.0,18.8,0.579,5.0,1.0,2.65605,111.598,32.1515,2.13467,2.01551,13.3939,4,0.3095266,0.7101,99.0269,4.198,209.689,4.15017,70.22032693674485,50.691513102940306,-19.52881383380455
20724,C,2012,jeff withey,117.9,53.6,61.38,10.2,18.4,0.536,15.3,1.5,3.00826,120.741,24.8205,3.42545,6.81454,8.9744,2,0.59184974,0.6587,84.7272,4.02171,239.938,10.24,51.96872778962332,39.55535837842541,-12.413369411197912
20726,C,2011,jeff withey,109.0,64.7,61.4,15.4,17.2,0.647,12.5,1.8,0.539919,111.234,6.2308,0.100703,4.76035,2.3462,3,0.41668475,0.625,86.8141,0.950334,39.9367,4.86106,51.96872778962332,41.79337063720729,-10.175357152416034
20831,C,2014,jerami grant,115.6,49.6,54.74,9.1,17.2,0.506,2.5,1.7,3.74525,122.944,31.4062,3.38554,1.83139,12.0625,3,1.18924056,0.6822,97.8648,4.02905,166.665,5.21693,41.53518123667378,45.89618872198443,4.361007485310651
21802,C,2014,joel embiid,112.0,62.9,65.5,12.7,27.3,0.639,11.7,2.3,2.92867,124.998,23.1071,4.24577,6.35075,11.1786,4,0.57574986,0.8081,90.0859,3.6851,176.276,10.5965,100.0,66.43277318743873,-33.56722681256127
21955,C,2017,john collins,124.8,62.2,65.76,16.4,25.7,0.624,6.6,1.3,5.34367,145.671,26.6061,9.03017,0.214696,19.1515,3,0.27871248,0.7534,103.87,2.94366,198.91,9.24487,57.22814498933902,55.97841996223306,-1.24972502710596
21956,C,2016,john collins,110.3,54.7,58.92,12.6,16.7,0.547,5.0,1.1,1.56539,119.529,14.3871,1.35353,0.649195,7.3226,4,0.22579999,0.6627,107.265,1.46039,86.4562,2.00272,57.22814498933902,47.176300038742255,-10.051844950596767
22052,C,2011,john henson,98.1,50.1,50.18,12.7,25.3,0.506,11.6,1.2,1.95458,107.406,26.7297,2.6459,4.67848,11.7027,3,0.39472275,0.7361,85.5676,4.36888,277.396,7.32438,36.16204690831557,45.97432166071344,9.812274752397876
22053,C,2012,john henson,107.4,50.0,50.51,9.1,25.1,0.5,9.6,1.1,2.86245,114.136,29.1143,3.96186,4.48594,13.6857,2,0.97775533,0.7217,85.5966,4.51549,270.434,8.4478,36.16204690831557,43.74674760019627,7.584700691880705
22054,C,2010,john henson,95.7,49.7,49.15,10.7,17.8,0.515,9.4,2.5,0.851313,101.291,15.8649,2.36556,4.81963,5.7297,4,0.75555009,0.8548,92.0505,2.16987,149.79,7.1852,36.16204690831557,44.177821133721366,8.0157742254058
