,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,score
37542,Wing G,2014,royce o'neale,115.6,58.6,59.47,60,2.44994,114.287,98.331,3.73308,2.8333,7.0278,1.75861224,0.641,6.09475,64.42075337597727
37543,Wing G,2012,royce o'neale,111.6,58.9,65.09,69,2.56786,113.44,92.7187,2.84213,2.129,9.9355,1.0,0.6897,4.75967,64.42075337597727
37544,Wing G,2013,royce o'neale,105.4,51.6,56.86,75,2.67984,107.22,92.4043,1.68453,3.4688,11.1562,1.50002165,0.5678,3.03064,64.42075337597727
37644,Wing G,2010,ryan anderson,108.7,55.8,58.91,63,2.87701,115.676,92.0187,4.75286,2.1935,11.3226,1.17236771,0.7647,7.74597,56.38948116560057
38081,Wing G,2013,sam dekker,116.7,57.9,59.67,68,3.06724,125.475,85.5384,6.8034,1.3429,9.5714,1.27036228,0.7105,10.423,23.681592039801
38577,Wing G,2011,sean kilpatrick,113.2,52.5,55.8,68,2.58393,122.589,91.4846,5.67783,1.4857,9.6857,1.20926256,0.6375,7.24341,2.899786780383798
38578,Wing G,2013,sean kilpatrick,108.5,48.2,51.81,112,4.24702,121.235,88.7645,5.74919,1.8529,16.9706,0.94027201,0.6737,7.40697,2.899786780383798
39443,Wing G,2013,solomon hill,113.7,54.1,57.94,101,4.10206,121.227,91.6638,5.44116,2.7143,13.3714,1.23377266,0.6463,7.56824,39.317697228145
39445,Wing G,2010,solomon hill,97.2,50.3,55.04,70,1.07081,98.2041,98.5153,-0.462597,1.6774,6.6774,0.82537027,0.6714,0.155969,39.317697228145
39488,Wing G,2012,spencer dinwiddie,110.6,49.6,57.39,52,2.58132,112.621,95.9274,2.34027,1.6176,10.0294,1.17013883,0.4848,4.09537,60.41222459132908
39787,Wing G,2017,sterling brown,117.6,54.6,58.28,100,4.13724,124.301,89.5314,4.48903,3.0,13.4286,1.54408363,0.5269,8.01945,31.15849324804549
39789,Wing G,2015,sterling brown,126.0,61.2,63.58,44,2.31476,114.926,92.9705,3.30248,2.0588,5.2059,2.25795122,0.6923,6.14885,31.15849324804549
39790,Wing G,2016,sterling brown,120.4,68.5,71.59,79,3.08999,120.262,94.7209,3.44681,2.6333,10.0667,1.1791072,0.716,6.39827,31.15849324804549
40194,Wing G,2019,talen horton tucker,98.4,47.0,48.84,106,2.14948,110.256,92.0915,1.2391,2.3429,11.8286,1.36668027,0.6942,3.15774,
40614,Wing G,2017,terance mann,120.1,59.3,61.18,107,2.60113,117.741,94.8349,2.93924,1.6571,8.4,1.38091658,0.6917,5.27278,
40615,Wing G,2018,terance mann,117.4,59.0,60.48,158,3.59767,123.559,97.2355,4.42056,2.5588,12.6176,1.44999144,0.7651,5.83051,
40626,Wing G,2019,terence davis,106.3,52.5,55.55,114,3.50704,120.184,93.7756,4.21004,3.4545,15.1818,1.25271971,0.6316,6.32534,62.31698649609099
40627,Wing G,2017,terence davis,109.4,54.1,56.73,151,3.13316,123.72,96.1286,4.70257,1.75,14.8611,0.85133297,0.764,6.96837,62.31698649609099
40628,Wing G,2018,terence davis,99.7,48.3,51.2,98,2.41884,113.719,100.477,2.9435,2.0938,13.7812,0.93057781,0.6098,3.33731,62.31698649609099
40629,Wing G,2016,terence davis,95.1,48.3,46.12,10,0.155386,94.4083,98.9654,-2.61878,0.3158,1.8947,1.199848,0.625,-1.01523,62.31698649609099
41141,Wing G,2011,tim hardaway jr,109.8,52.4,56.04,80,3.75257,121.503,92.5654,5.17239,1.7353,14.0294,1.34093183,0.7213,7.23695,47.86069651741295
41142,Wing G,2013,tim hardaway jr,104.9,50.4,52.71,125,3.56531,114.944,93.4428,3.15549,2.4324,14.2432,1.30430586,0.7412,4.30914,47.86069651741295
41143,Wing G,2012,tim hardaway jr,103.4,48.6,52.69,112,3.54768,115.871,97.1034,2.6705,2.1212,14.6364,1.07691532,0.6437,2.74858,47.86069651741295
41666,Wing G,2012,tony snell,116.0,58.5,61.57,44,2.8017,117.298,93.0512,4.95675,2.3235,10.5,1.51922318,0.6842,6.57342,28.258706467661693
41668,Wing G,2011,tony snell,101.2,48.0,51.34,18,0.567422,95.7064,100.077,0.8701,0.8788,4.4848,1.03571003,0.44,0.939072,28.258706467661693
42639,Wing G,2010,tristan thompson,113.5,52.0,58.69,79,3.03275,114.431,105.175,3.34008,1.7742,14.9032,0.93221939,0.5556,3.04944,43.2409381663113
42640,Wing G,2011,tristan thompson,118.2,56.2,64.06,85,3.97023,121.838,111.065,5.31581,1.7419,17.6452,0.77140071,0.5895,3.56634,43.2409381663113
42679,Wing G,2012,troy daniels,111.6,53.2,55.84,18,2.24563,112.389,93.0803,4.44255,0.4722,10.0278,0.47220001,0.3333,5.61665,29.921819474058285
42680,Wing G,2013,troy daniels,121.9,59.1,59.62,25,3.28074,121.474,93.5939,5.76383,0.6389,12.25,0.71875351,0.5,5.99091,29.921819474058285
42681,Wing G,2010,troy daniels,122.7,52.0,54.0,3,0.611269,115.036,103.254,1.83025,0.2308,2.1538,3.00130051,1.0,0.652448,29.921819474058285
42970,Wing G,2016,tyler dorsey,110.4,53.1,56.67,82,3.19822,118.665,98.4078,3.73626,1.8857,13.1143,0.9705595,0.598,3.93227,
42971,Wing G,2017,tyler dorsey,117.7,57.4,60.49,99,3.86769,124.743,96.0324,4.84311,1.7179,14.641,1.13557646,0.6325,5.55197,
43016,Wing G,2019,tyler herro,118.2,53.6,58.03,126,4.19748,124.79,90.7113,4.61711,2.4865,14.027,1.5333621,0.6667,8.0741,49.12579957356078
43037,Wing G,2013,tyler johnson,107.1,50.0,52.99,87,2.93545,114.096,95.8071,3.47992,1.9259,11.6667,1.4444611,0.6042,4.81655,38.86282871357499
43038,Wing G,2014,tyler johnson,119.7,53.8,57.94,125,4.77504,128.854,103.199,6.09866,2.9091,15.8485,2.1818796,0.5981,6.48336,38.86282871357499
43453,Wing G,2015,tyrone wallace,95.0,45.4,48.37,180,2.75759,110.391,93.526,2.37474,3.9697,17.0909,1.3936107,0.5638,4.34428,
43454,Wing G,2013,tyrone wallace,86.9,38.5,40.63,66,0.567505,91.0639,93.8479,-1.16666,2.6364,7.1818,1.55356508,0.5238,0.431542,
43703,Wing G,2013,victor oladipo,122.7,64.8,67.12,152,4.76925,134.043,81.39,8.76043,2.0556,13.6389,0.90244967,0.6978,14.3486,60.35536602700783
43704,Wing G,2012,victor oladipo,106.8,48.8,54.56,126,2.87866,116.778,90.8953,3.31839,2.0278,10.8333,0.96054196,0.5989,5.78797,60.35536602700783
43705,Wing G,2011,victor oladipo,107.3,57.1,58.6,80,1.80293,115.24,93.8384,3.56299,0.875,7.375,0.63636364,0.6293,5.37399,60.35536602700783
44119,Wing G,2011,will barton,98.8,47.8,50.18,128,1.86938,104.072,95.1807,1.41282,2.8286,12.3143,1.11235197,0.6286,2.833,43.18407960199006
44913,Wing G,2014,zach lavine,107.3,52.4,54.48,79,1.84098,110.171,98.8807,1.46349,1.7838,9.4324,1.57149149,0.5667,1.99942,46.766169154228855
