,pos,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,score
27296,Wing G,2015,kyle anderson,95.9,23.8,45.7,48.88,1.7,11.3,14.3,14.5,0.821,62,143,0.434,54,170,0.318,1.1,1.3,17.9,Sr,1.35938,98.9945,2.6,,110.302,34.2609,0.00558164,-1.98274,0.5217,3.4783,4.0,2.0,0.7391,0.3478,14.4348,13.0238,1,1.02223355,0.614,0.314,109.864,2.00042,123.94,-1.39112,0.717282,-2.1084,-1.97716,53.61762615493959
27297,Wing F,2013,kyle anderson,100.2,21.2,43.0,48.48,8.0,23.0,20.8,18.9,0.735,114,255,0.447,8,38,0.211,2.8,3.4,39.9,Fr,2.25417,107.292,2.8,99.6,86.789,29.8857,2.63314,3.87285,2.1143,6.5143,8.6286,3.4857,1.7714,0.8857,9.6571,2.08456,4,1.67123739,0.5926,0.3401,90.5974,3.99921,263.563,8.05055,2.39874,5.65181,6.50598,53.61762615493959
27298,Wing F,2014,kyle anderson,110.6,26.0,51.7,56.62,4.5,25.5,34.3,20.2,0.737,153,319,0.48,28,58,0.483,2.7,3.1,49.3,So,4.05962,123.524,2.0,99.6,90.2755,33.2222,6.03776,3.96129,1.25,7.5,8.75,6.4722,1.7778,0.75,14.6389,2.7613,3,2.11814376,0.6364,0.4236,94.3457,4.543,282.93,9.78061,4.28947,5.49115,9.99905,53.61762615493959
27423,PF/C,2015,kyle kuzma,102.4,23.9,52.0,53.46,5.0,20.9,16.8,18.3,0.581,23,42,0.548,11,34,0.324,2.2,0.3,40.8,Fr,0.669359,110.996,5.0,62.8,88.3311,8.129,0.128655,1.74312,0.3226,1.4516,1.7742,0.6129,0.0323,0.1613,3.3226,8.77845,4,1.05563209,0.8,0.3333,92.0979,1.10713,43.1138,2.79757,1.04838,1.74919,1.87177,29.90760483297797
27424,PF/C,2017,kyle kuzma,112.8,26.7,53.9,56.34,11.2,22.7,15.0,14.7,0.669,142,255,0.557,25,78,0.321,1.6,1.1,36.3,Jr,3.99948,125.093,2.1,62.8,96.7197,30.8276,5.16579,0.303122,2.7931,6.5517,9.3448,2.4483,0.6207,0.4828,16.4138,5.28202,2,1.14518909,0.6928,0.3564,98.7643,3.45396,163.806,5.35021,4.00991,1.3403,5.46892,29.90760483297797
27425,PF/C,2016,kyle kuzma,103.2,24.6,54.6,55.82,9.6,17.7,12.2,19.6,0.598,135,234,0.577,13,49,0.265,1.8,0.8,36.0,So,2.17031,114.135,3.4,62.8,97.4475,24.2,1.30433,0.205394,1.8,3.9714,5.7714,1.4286,0.3429,0.4571,10.5714,3.42129,3,0.72466264,0.6964,0.2769,102.368,2.60876,150.789,2.34028,1.28792,1.05235,1.50972,29.90760483297797
27456,C,2012,kyle o'quinn,113.8,25.0,59.6,63.0,11.6,25.0,11.2,19.5,0.704,187,301,0.621,6,28,0.214,9.1,1.1,64.7,Sr,3.38124,117.241,4.1,,93.0869,31.2353,3.33678,2.16957,3.0294,7.0882,10.1176,1.4706,0.5882,2.7059,15.9412,1.53767,1,0.56181236,0.7487,0.4123,91.3461,3.56579,255.631,6.66757,1.93795,4.72962,5.50635,45.00355366027009
27457,C,2011,kyle o'quinn,115.8,22.7,57.7,61.49,11.8,26.1,7.4,16.1,0.762,183,293,0.625,15,63,0.238,10.5,1.0,42.4,Jr,3.36962,116.319,4.3,,102.506,32.8125,3.75924,0.581714,3.3438,7.75,11.0938,1.0,0.5625,3.4375,16.4375,3.37962,2,0.47058824,0.7206,0.4045,97.4211,2.73774,252.189,4.10137,1.59477,2.5066,4.34095,45.00355366027009
27458,PF/C,2010,kyle o'quinn,105.2,20.2,58.0,57.66,11.0,21.9,6.8,20.4,0.527,129,197,0.655,16,67,0.239,6.1,1.0,28.0,So,1.71293,103.457,4.4,,103.481,28.3,1.23495,-0.774642,2.6667,6.0333,8.7,0.9,0.5333,1.7,11.5,4.31358,3,0.42188157,0.7206,0.5082,97.9207,2.22393,190.383,0.948115,0.029085,0.91903,0.460307,45.00355366027009
27489,Wing F,2010,kyle singler,117.4,24.0,49.2,54.49,7.0,14.6,13.4,13.8,0.798,143,337,0.424,85,213,0.399,2.2,1.7,37.8,Jr,5.68914,131.328,2.4,99.0,86.7343,35.95,7.24822,2.69598,2.25,4.75,7.0,2.4,1.025,0.8,17.675,8.90271,2,1.21518991,0.6634,0.322,91.8459,4.96123,269.529,9.43424,6.00785,3.42639,9.9442,34.71215351812367
