,pos,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,score
12901,Wing G,2016,donovan mitchell,113.7,20.8,48.9,52.75,6.6,13.5,15.8,14.6,0.754,66,118,0.559,18,72,0.25,0.6,2.5,30.0,Fr,1.99667,118.103,5.3,94.4,86.8733,19.0645,2.00365,3.71049,1.0968,2.2581,3.3548,1.6774,0.8065,0.0968,7.3871,7.27366,4,1.73338843,0.717,0.4308,92.4761,2.78403,111.579,5.59032,3.07372,2.5166,5.71414,69.35323383084577
12902,Stretch 4,2018,donovan mitchell,103.7,12.7,60.2,61.99,4.7,18.3,3.2,25.2,0.769,16,29,0.552,15,35,0.429,2.8,1.5,20.3,So,0.392831,97.8764,7.1,46.4,100.251,11.2333,-1.8673,1.98926,0.4667,1.7667,2.2333,0.2,0.3,0.2667,2.9,5.91496,3,0.3158061,0.6111,0.4167,105.174,1.13807,65.3323,1.40721,-0.335025,1.74224,0.12196,69.35323383084577
12975,Wing G,2017,donte divincenzo,112.0,19.1,55.6,58.15,5.5,12.7,12.0,18.1,0.699,67,119,0.563,42,115,0.365,1.3,2.2,35.5,So,2.48345,115.827,2.5,75.4,91.7019,25.5278,3.05664,2.45266,1.0278,2.7778,3.8056,1.6944,0.9167,0.2778,8.8333,7.64838,3,1.17308225,0.625,0.4783,96.9108,3.29803,163.741,6.06282,3.50077,2.56204,5.5093,46.32551528073917
12976,Wing G,2018,donte divincenzo,119.5,22.8,59.0,60.77,4.9,13.8,20.0,17.0,0.71,103,179,0.575,85,212,0.401,0.7,2.1,27.4,So,4.29565,130.482,2.8,75.4,93.9887,29.275,5.81862,2.2784,1.15,3.6,4.75,3.475,1.05,0.2,13.425,10.3691,3,1.7594936,0.6486,0.4627,100.427,3.56864,215.984,8.81159,6.56506,2.24653,8.09702,46.32551528073917
13044,Stretch 4,2015,dorian finney smith,107.9,25.9,55.7,56.35,11.3,16.3,14.0,16.9,0.587,88,175,0.503,49,115,0.426,3.6,2.6,25.9,Jr,3.34376,122.031,3.8,95.4,86.8288,27.9286,6.11344,3.11668,2.6071,3.6071,6.2143,1.5714,1.1429,0.8571,13.1071,9.32713,2,0.81478797,0.6701,0.3077,92.6028,3.91462,152.022,10.015,5.16374,4.85124,9.23012,61.02345415778252
13045,Stretch 4,2016,dorian finney smith,113.7,22.4,52.8,56.94,7.9,19.4,13.2,15.0,0.733,98,194,0.505,71,193,0.368,2.6,1.6,42.6,Sr,3.79298,122.468,2.7,95.4,90.2357,31.75,6.08556,2.72706,2.4722,5.8611,8.3333,2.0833,0.9167,0.8056,14.7222,9.54111,1,1.10291708,0.71,0.2872,95.9446,4.25132,238.895,8.80714,4.86776,3.93938,8.81262,61.02345415778252
13046,PF/C,2014,dorian finney smith,103.2,23.2,43.8,47.69,12.2,19.3,16.1,17.4,0.643,66,151,0.437,39,133,0.293,1.9,1.1,40.5,So,2.22998,113.292,3.4,95.4,87.6716,25.8108,2.23021,2.12957,2.5405,4.1351,6.6757,2.0541,0.4324,0.4324,8.7297,8.78715,3,1.24596631,0.4639,0.375,92.0517,3.75006,171.234,6.79352,3.14936,3.64416,4.35978,61.02345415778252
13047,Stretch 4,2012,dorian finney smith,92.9,18.1,39.4,42.73,11.4,17.4,13.1,20.9,0.584,43,137,0.314,26,71,0.366,2.7,1.6,37.0,Fr,0.863422,94.3459,3.7,95.4,92.8925,29.0,0.0580196,1.22854,2.7576,4.2727,7.0303,1.8788,0.7273,0.697,6.3333,4.69012,4,1.08770913,0.4194,0.0909,96.1581,3.34138,177.327,3.40077,0.636195,2.76457,1.28655,61.02345415778252
13089,Stretch 4,2013,doug mcdermott,121.3,31.7,62.3,67.19,7.1,20.9,12.4,15.9,0.875,207,361,0.573,77,157,0.49,0.2,0.4,41.7,Jr,6.48425,144.359,2.0,69.2,94.353,31.6111,10.3787,-0.0455893,1.6111,6.0556,7.6667,1.5833,0.2222,0.0556,23.1667,8.49014,2,0.6128982,0.6802,0.4458,97.5417,3.46083,202.421,6.33238,6.75132,-0.418947,10.3331,28.685145700071075
13090,Stretch 4,2011,doug mcdermott,110.1,26.2,58.1,60.67,9.6,20.5,9.8,18.5,0.746,173,303,0.571,47,116,0.405,0.4,0.6,30.1,Fr,3.36637,119.763,2.9,69.2,101.427,29.0513,4.33506,-1.37196,2.1026,5.0769,7.1795,1.1538,0.2821,0.1026,14.8974,6.43906,4,0.51721358,0.7219,0.4238,102.733,2.56243,188.789,1.91937,3.00352,-1.08415,2.96311,28.685145700071075
13091,Stretch 4,2014,doug mcdermott,124.4,32.8,60.3,64.43,6.4,17.8,11.5,9.8,0.864,234,413,0.567,96,214,0.449,0.5,0.4,32.9,Sr,7.36282,151.192,2.3,69.2,100.924,33.7429,11.104,-0.93424,1.6286,5.3429,6.9714,1.5714,0.2286,0.1429,26.6857,11.0615,1,0.88709499,0.6943,0.4098,104.837,3.36736,195.464,6.63964,8.15612,-1.51648,10.1698,28.685145700071075
13092,PF/C,2012,doug mcdermott,123.8,28.5,65.4,67.84,9.9,20.5,8.0,14.7,0.796,253,400,0.632,54,111,0.486,0.3,0.4,32.7,So,6.04273,140.656,2.2,69.2,101.876,31.9143,9.91173,-1.68903,2.4,5.8286,8.2286,1.0571,0.2,0.0857,22.8857,5.86586,3,0.46834434,0.7352,0.4558,103.987,2.69096,188.725,4.75873,6.81598,-2.05725,8.2227,28.685145700071075
13139,Stretch 4,2012,draymond green,107.3,28.2,50.4,54.22,8.2,28.5,24.2,19.7,0.723,160,338,0.473,52,134,0.388,3.4,2.7,36.7,Sr,4.43161,124.279,3.4,86.4,77.9306,33.2162,5.98404,5.04892,2.1351,8.4865,10.6216,3.8108,1.4595,0.973,16.2432,6.63109,1,1.25893629,0.6121,0.341,83.1827,5.56188,304.211,11.3117,4.6544,6.65732,11.033,95.29495380241649
13140,PF/C,2010,draymond green,114.3,21.8,52.8,56.17,10.4,24.6,23.3,18.1,0.672,137,249,0.55,2,16,0.125,4.1,2.9,48.3,So,3.20416,121.999,4.7,86.4,84.3544,25.5405,4.81372,5.30217,2.1892,5.5405,7.7297,3.027,1.2162,0.9189,9.8919,1.01491,3,1.80640929,0.6744,0.4167,89.1542,3.72302,227.649,11.6835,5.11453,6.56898,10.1159,95.29495380241649
13141,Stretch 4,2011,draymond green,107.7,25.8,47.8,51.92,9.6,23.4,31.1,18.0,0.696,107,238,0.45,36,99,0.364,4.1,3.5,40.9,Jr,3.7492,122.686,4.5,86.4,84.4545,30.0,5.85927,5.11413,2.4848,6.1212,8.6061,4.1515,1.7273,1.1515,12.6667,6.04172,2,1.80264884,0.5882,0.3456,91.5449,4.37171,236.783,12.4099,5.84921,6.5607,10.9734,95.29495380241649
13205,C,2017,drew eubanks,102.4,23.7,57.8,60.86,9.1,21.3,9.7,23.6,0.708,167,289,0.578,0,0,0.0,7.6,1.2,47.4,So,2.43256,109.676,3.7,75.6,100.109,32.0938,0.81349,1.23408,2.5312,5.7812,8.3125,1.2188,0.625,2.1562,14.4688,0.0,3,0.40626665,0.7273,0.4135,103.816,3.20387,204.568,2.57105,-1.24498,3.81603,2.04757,
13206,C,2016,drew eubanks,102.5,18.0,57.1,58.41,7.1,16.5,3.7,20.5,0.627,96,168,0.571,0,0,0.0,6.5,1.1,35.1,Fr,1.24266,104.741,5.5,75.6,96.6118,21.2903,-1.4587,1.48615,1.3548,3.0968,4.4516,0.3871,0.4194,1.1935,7.3871,0.0,4,0.28572484,0.7143,0.2982,101.852,2.38962,126.751,1.73153,-1.43576,3.16729,0.0274437,
13207,C,2018,drew eubanks,117.0,19.1,62.4,64.6,7.3,18.7,7.3,17.2,0.701,164,263,0.624,0,0,0.0,6.4,0.9,51.0,Jr,3.15025,117.215,3.5,75.6,98.8734,31.3438,2.25052,1.51637,1.8438,4.9688,6.8125,1.0938,0.4688,1.7188,13.1875,0.0,2,0.62502854,0.7176,0.4516,101.599,3.27421,190.034,3.74809,0.670763,3.07733,3.7669,
13349,Wing F,2018,duncan robinson,121.6,15.8,57.9,61.57,2.2,9.5,7.4,9.3,0.891,43,72,0.597,74,194,0.381,1.7,1.6,24.1,Sr,2.76942,119.083,3.8,,92.1065,25.8293,2.56682,3.02583,0.4634,1.9756,2.439,1.0732,0.6585,0.3902,9.2439,11.4821,1,1.75992132,0.6735,0.4348,98.178,3.30556,169.188,7.38423,4.21005,3.17418,5.59265,57.9815209665956
13350,Wing F,2016,duncan robinson,123.6,17.4,62.2,64.24,2.5,12.2,12.1,11.6,0.886,39,82,0.476,95,210,0.452,0.9,1.3,15.1,So,3.52901,122.771,3.1,,100.492,29.2857,4.94876,0.864287,0.6,2.8857,3.4857,1.8571,0.6286,0.2286,11.4857,12.4555,3,1.91177678,0.6585,0.2927,105.419,2.88239,163.315,5.6169,4.75691,0.859986,5.81304,57.9815209665956
13351,Wing F,2017,duncan robinson,123.2,17.0,61.9,63.21,1.9,9.3,8.3,9.2,0.781,37,64,0.578,64,151,0.424,1.2,1.2,14.9,Jr,2.52451,124.334,3.7,,100.184,20.1053,4.786,0.761927,0.2895,1.4474,1.7368,0.8684,0.3947,0.2368,7.6579,12.4438,2,1.73679996,0.8696,0.4146,106.251,1.98614,110.748,5.56213,5.43506,0.127076,5.54793,57.9815209665956
13448,Wing G,2017,dwayne bacon,108.4,27.4,51.0,54.37,4.0,11.9,11.6,14.1,0.754,164,318,0.516,57,171,0.333,0.4,1.9,28.2,So,3.47475,122.561,2.2,96.8,95.5726,28.8,4.33702,0.416045,1.0,3.2,4.2,1.7429,1.0,0.1143,17.2286,9.30909,3,0.85916397,0.6267,0.4192,102.343,3.33395,177.268,2.95488,3.11112,-0.156242,4.75307,8.869936034115138
13449,Wing F,2016,dwayne bacon,102.8,27.3,48.3,52.12,5.4,17.4,10.4,15.3,0.714,165,327,0.505,32,114,0.281,0.1,1.9,34.9,Fr,2.82123,116.26,3.0,96.8,97.9688,28.7941,2.16594,-0.279809,1.3529,4.4412,5.7941,1.4706,0.9706,0.0294,15.7647,6.44855,4,0.67567193,0.6343,0.351,103.227,3.08491,183.109,0.967929,1.46063,-0.492701,1.88613,8.869936034115138
13515,PF/C,2012,dwight powell,93.4,20.7,45.7,51.0,7.6,23.1,8.4,24.5,0.705,72,144,0.5,1,17,0.059,3.8,2.7,48.4,So,0.662124,96.772,5.2,93.4,83.6211,17.5429,-1.83481,3.68878,1.1429,3.4571,4.6,0.7429,0.8,0.6,5.7714,1.62932,3,0.49058972,0.6949,0.3647,85.7868,2.55535,148.517,3.27145,-1.80407,5.07552,1.85397,57.64036958066809
13516,PF/C,2013,dwight powell,106.2,26.6,48.7,54.72,7.7,24.0,16.0,17.8,0.796,164,350,0.469,15,33,0.455,3.6,1.5,43.6,Jr,3.6922,120.429,4.0,93.4,89.062,30.3529,3.65068,2.53439,2.1176,6.2647,8.3824,2.1176,0.7647,1.1471,14.8824,1.88215,2,0.86744222,0.6,0.3579,93.1085,3.86614,224.985,6.43964,2.60703,3.8326,6.18507,57.64036958066809
13517,Wing F,2014,dwight powell,101.3,26.8,47.5,52.69,7.3,17.3,20.4,19.6,0.687,165,340,0.485,10,39,0.256,2.8,2.4,55.7,Sr,2.93092,114.456,3.9,93.4,93.3368,32.4167,2.29425,2.45625,1.9444,4.9167,6.8611,3.1111,1.3056,0.8333,14.0278,1.97224,1,1.07691506,0.6187,0.393,98.4977,4.07434,236.615,5.40631,1.62738,3.77893,4.7505,57.64036958066809
13518,PF/C,2011,dwight powell,102.6,19.2,48.9,53.62,6.8,19.0,8.6,18.3,0.683,81,162,0.5,7,25,0.28,4.2,1.9,54.0,Fr,1.54492,104.592,4.9,93.4,91.6343,24.3871,-0.14914,3.00689,1.3871,3.7742,5.1613,0.9677,0.7742,0.9032,8.129,1.99958,4,0.68176696,0.7051,0.3095,94.4292,2.97459,160.383,4.0042,0.30265,3.70155,2.85775,57.64036958066809
13713,C,2010,ed davis,112.0,21.5,57.8,60.66,10.8,24.2,6.8,18.3,0.659,111,192,0.578,0,0,0.0,9.5,0.9,68.8,So,3.0751,117.694,2.6,98.2,87.8784,27.8696,3.62077,3.19261,2.8696,6.6957,9.5652,0.9565,0.4348,2.7826,13.4348,0.0,3,0.47825,0.84,0.4621,92.5656,3.71526,160.882,7.56537,1.89527,5.6701,6.81338,48.28713574982232
13914,C,2010,ekpe udoh,110.5,23.0,49.1,52.99,12.8,17.6,14.7,17.9,0.692,178,358,0.497,7,26,0.269,11.0,1.4,41.4,Jr,4.21518,120.227,2.8,47.4,88.0061,35.4571,4.87541,3.96362,3.6,6.1143,9.7143,2.7429,0.8286,3.7429,13.9143,1.24524,2,1.11631598,0.7156,0.4016,93.4571,4.70314,273.986,11.5652,4.36662,7.19855,8.83903,23.894811656005686
13922,Scoring PG,2014,elfrid payton,107.4,29.5,51.6,54.07,7.2,12.0,32.3,19.4,0.59,205,384,0.534,14,54,0.259,1.5,3.6,64.6,Jr,3.95247,119.896,2.6,,102.617,36.9062,5.60237,1.70214,2.4375,3.8125,6.25,5.75,2.3438,0.5625,19.3438,2.54993,2,1.52068129,0.6842,0.2628,102.995,3.38689,234.903,6.78961,4.67287,2.11674,7.30451,34.9680170575693
13923,Scoring PG,2012,elfrid payton,82.6,24.5,44.7,48.68,3.4,13.8,27.7,31.5,0.564,76,162,0.469,0,8,0.0,1.2,2.6,78.2,Fr,-0.0194229,85.45,3.8,,94.9612,22.7742,-3.16082,1.2583,0.6774,2.9032,3.5806,2.9677,1.0323,0.2903,7.3226,0.642183,4,0.95831178,0.62,0.2097,94.4662,2.43142,144.276,-1.99399,-4.10715,2.11316,-1.90252,34.9680170575693
13924,Scoring PG,2013,elfrid payton,103.6,26.9,49.4,53.06,4.2,13.6,33.5,19.5,0.644,167,338,0.494,16,49,0.327,1.9,3.9,53.0,So,3.25382,111.851,2.6,,100.306,35.6562,3.1982,1.72013,1.375,4.3125,5.6875,5.4375,2.4375,0.6562,16.0625,2.41829,3,1.64150943,0.6461,0.3312,98.4787,3.13048,249.859,4.39831,2.86404,1.53427,4.91833,34.9680170575693
14362,Combo G,2010,eric bledsoe,100.4,20.2,54.0,56.56,2.0,8.6,16.8,27.7,0.667,95,184,0.516,49,128,0.383,1.1,2.6,39.4,Fr,2.00502,104.97,2.9,86.6,90.0148,30.3243,0.921529,2.70493,0.5135,2.5676,3.0811,2.8919,1.4054,0.3243,11.3243,6.41899,4,0.95536839,0.6545,0.3088,94.8649,3.80115,201.434,4.2837,1.79336,2.49034,3.62646,68.14498933901919
14510,Wing F,2015,eric paschall,96.5,27.3,47.2,51.89,5.7,14.2,8.2,19.9,0.804,97,201,0.483,41,135,0.304,1.7,1.5,30.4,Fr,2.24291,108.17,2.6,58.2,105.528,31.1852,1.86446,-1.67107,1.6667,3.8148,5.4815,1.0,0.7778,0.4444,15.9259,10.0381,4,0.35526502,0.5833,0.3696,105.036,2.35918,132.478,-2.08513,-0.222871,-1.86226,0.193384,23.894811656005686
14511,Wing F,2018,eric paschall,122.5,17.6,60.0,63.69,7.7,12.8,11.6,18.3,0.813,108,169,0.639,36,101,0.356,2.2,1.8,35.6,Jr,3.77859,124.648,3.3,58.2,94.0474,29.8421,3.85738,2.60933,1.8421,3.4211,5.2632,2.1842,0.9211,0.6316,10.5789,5.10186,2,1.29687685,0.7016,0.4565,100.513,3.62998,208.384,9.01533,5.50623,3.5091,6.46671,23.894811656005686
14512,Wing F,2017,eric paschall,109.7,18.1,56.2,58.29,8.6,12.8,5.2,18.5,0.695,81,127,0.638,19,68,0.279,2.7,1.5,30.3,So,1.80773,111.805,4.7,58.2,92.2096,21.6944,0.285465,1.79199,1.3611,2.3889,3.75,0.6111,0.5278,0.5,7.2222,5.32355,3,0.51163768,0.7021,0.4412,97.4473,2.76456,136.084,4.17211,2.01628,2.15583,2.07745,23.894811656005686
14513,Wing F,2019,eric paschall,109.6,23.8,52.8,57.0,4.2,16.0,12.9,16.2,0.746,125,235,0.532,70,201,0.348,1.6,1.2,41.5,Sr,3.9516,119.323,2.4,58.2,98.2879,36.1111,3.12908,0.560084,1.2778,4.8611,6.1389,2.1389,0.7222,0.4722,16.5278,9.45207,1,0.93902009,0.6942,0.3628,102.961,3.86556,222.983,3.15785,2.35899,0.79886,3.68916,23.894811656005686
14771,Combo G,2010,e'twaun moore,103.9,27.7,49.9,53.13,3.4,10.8,19.8,14.3,0.73,161,330,0.488,51,146,0.349,1.0,2.8,28.8,Jr,3.56931,118.479,2.9,95.0,86.9938,31.5143,4.75739,2.99876,0.9143,2.9143,3.8286,2.6571,1.4571,0.2857,16.4286,7.90072,2,1.27396074,0.6667,0.4457,92.4751,4.30533,204.762,6.81518,3.93199,2.88319,7.75615,42.11798152096661
14772,Combo G,2011,e'twaun moore,112.1,26.8,51.8,54.55,5.1,12.5,20.9,11.9,0.709,151,319,0.473,70,175,0.4,1.6,2.2,28.5,Sr,4.85912,127.743,2.5,95.0,88.3413,33.8824,6.94046,2.42252,1.5,3.6471,5.1471,3.1765,1.2059,0.5294,18.0,9.19112,1,1.77052561,0.5714,0.4421,93.8872,4.51998,210.854,9.05063,6.40941,2.64122,9.36297,42.11798152096661
14920,Wing F,2010,evan turner,108.9,34.5,54.0,58.15,7.4,23.5,37.5,21.7,0.758,217,402,0.54,20,55,0.364,2.9,3.0,39.8,Jr,6.02087,134.66,3.1,90.8,83.7767,35.7419,7.0185,4.32057,2.0,7.1613,9.1613,5.9677,1.7419,0.9032,20.3871,3.02877,2,1.36028349,0.7846,0.4109,87.8032,5.25693,257.401,11.457,5.75189,5.7051,11.3391,34.726368159203986
15089,C,2010,festus ezeli,85.1,18.7,54.7,51.08,9.0,17.9,1.4,26.0,0.379,47,86,0.547,0,0,0.0,9.8,0.9,67.4,So,0.0585285,87.0519,6.9,77.0,89.5696,12.7419,-3.55858,2.97213,0.9355,2.1935,3.129,0.0968,0.1935,1.2903,3.7419,0.0,3,0.08825675,0.7115,0.2941,94.5733,1.62651,89.7536,0.523365,-3.42286,3.94623,-0.586451,
15090,C,2012,festus ezeli,99.2,25.7,53.9,56.7,13.0,17.4,2.9,22.7,0.604,89,165,0.539,0,0,0.0,9.0,1.1,84.2,Sr,2.17699,112.882,5.4,77.0,88.3681,23.1923,-0.116285,2.82777,2.3846,3.5385,5.9231,0.3077,0.4231,2.0,10.0769,0.0,1,0.13793259,0.7358,0.1864,94.3157,3.04194,125.658,3.13961,-0.768399,3.90801,2.71148,
15091,C,2011,festus ezeli,113.1,26.7,58.8,61.46,14.6,15.6,1.8,16.5,0.648,151,257,0.588,0,0,0.0,10.6,1.5,84.0,Jr,3.35061,127.804,5.2,77.0,89.7182,23.5,3.52142,2.55823,2.7941,3.4706,6.2647,0.1765,0.5882,2.5588,13.0,0.0,2,0.10001699,0.7197,0.448,93.6815,3.0011,180.415,5.39809,2.27167,3.12642,6.07965,
15239,Combo G,2017,frank jackson,116.4,20.4,56.4,59.8,3.1,8.2,12.6,15.4,0.755,82,152,0.539,51,129,0.395,0.2,1.3,36.3,Fr,3.14817,124.244,3.8,97.6,97.4997,24.8889,3.37386,0.632511,0.6389,1.8611,2.5,1.6944,0.5556,0.0556,10.9444,8.25089,4,1.24487547,0.6667,0.3548,105.15,2.71476,132.144,4.07002,4.53684,-0.466824,4.00637,25.444207533759773
15242,Stretch 4,2013,frank kaminsky,122.4,21.3,51.0,56.15,7.3,12.6,17.6,8.4,0.767,29,53,0.547,14,45,0.311,5.2,2.8,43.9,So,1.57691,130.136,4.9,51.8,81.2694,10.2812,4.72018,6.2768,0.6562,1.0938,1.75,0.8125,0.4375,0.5312,4.1562,8.89446,3,2.88940265,0.6875,0.3333,86.7192,1.56787,65.7477,11.2662,5.57218,5.69402,10.997,37.72565742714997
15243,PF/C,2015,frank kaminsky,126.2,28.1,59.0,62.78,6.0,25.7,18.4,11.5,0.78,225,387,0.581,42,101,0.416,4.5,1.7,41.0,Sr,7.03978,148.113,2.0,51.8,85.5147,33.6154,10.9093,4.47203,1.4872,6.7179,8.2051,2.641,0.8462,1.4615,18.7692,5.1789,1,1.63488926,0.7611,0.4251,91.4999,4.85492,266.979,13.7607,8.70054,5.06011,15.3813,37.72565742714997
15244,PF/C,2014,frank kaminsky,124.3,25.1,57.8,61.1,10.0,18.4,11.4,9.5,0.765,159,273,0.582,37,98,0.378,6.1,1.6,35.6,Jr,4.95992,141.114,3.7,51.8,90.9544,27.1579,7.61503,3.37535,2.1316,4.1842,6.3158,1.2895,0.6842,1.7368,13.9474,6.01681,2,1.25645528,0.7,0.4144,96.2635,3.63778,208.108,11.2538,6.80729,4.44649,10.9904,37.72565742714997
15245,PF/C,2012,frank kaminsky,106.0,16.3,50.0,50.28,10.3,12.6,7.9,15.5,0.5,13,21,0.619,10,35,0.286,5.0,1.0,25.0,Fr,0.510125,104.755,5.0,51.8,85.5435,7.7429,-0.238786,3.18183,0.6286,0.8,1.4286,0.2857,0.1143,0.3714,1.8,8.84813,4,1.0,0.7059,0.25,90.1626,1.09244,45.5404,5.12295,1.69316,3.42979,2.94304,37.72565742714997
15362,Pure PG,2016,fred vanvleet,112.7,24.7,46.1,52.35,1.3,11.9,39.6,14.6,0.817,76,192,0.396,43,113,0.381,0.4,3.7,39.3,Sr,3.58735,123.817,2.4,,88.1304,29.0323,5.01046,4.72084,0.3548,2.871,3.2258,5.5484,1.7742,0.0968,12.2258,7.5686,1,3.18525749,0.4786,0.2667,87.9979,4.0801,183.233,8.85478,5.1063,3.74848,9.7313,90.44776119402987
15363,Pure PG,2015,fred vanvleet,120.2,25.1,49.0,55.39,4.4,13.2,35.3,13.5,0.796,107,232,0.461,40,109,0.367,0.4,3.9,47.5,Jr,4.87354,131.627,1.8,,89.0901,31.5429,7.39851,4.23178,1.1714,3.2857,4.4571,5.2286,1.8857,0.1143,13.5714,6.48852,2,3.10173806,0.5703,0.3269,90.9709,4.21928,204.574,11.2432,7.79372,3.44948,11.6303,90.44776119402987
15364,Pure PG,2014,fred vanvleet,130.3,19.2,55.0,60.91,2.8,10.6,33.5,13.7,0.829,94,182,0.516,37,90,0.411,0.4,3.6,47.4,So,4.65915,130.532,2.4,,91.1764,31.9143,5.19356,4.39885,0.7429,3.0571,3.8,5.3429,1.8571,0.1143,11.6,4.94668,3,3.89594561,0.625,0.3718,92.5512,4.2492,206.879,10.0799,7.08884,2.99103,9.59242,90.44776119402987
15365,Scoring PG,2013,fred vanvleet,100.4,18.6,45.1,48.55,2.4,10.9,27.3,24.1,0.725,39,104,0.375,20,49,0.408,0.4,3.4,26.1,Fr,0.901155,101.322,2.7,,90.2641,16.1538,0.478386,2.86797,0.3333,1.5128,1.8462,2.2821,0.8974,0.0513,4.2821,4.7736,4,1.93480288,0.4545,0.3167,94.7278,1.99774,114.908,2.85186,1.09838,1.75348,3.34636,90.44776119402987
15467,Combo G,2016,gabe vincent,103.5,22.3,49.5,52.52,2.2,8.4,14.5,14.3,0.831,78,186,0.419,76,202,0.376,0.6,2.2,18.3,So,2.31512,108.709,3.6,,100.824,32.2188,1.64304,1.09383,0.625,2.5,3.125,2.2812,1.2188,0.1562,13.8438,11.465,3,1.30354282,0.5479,0.3363,101.46,3.1331,175.247,3.20068,2.65387,0.546803,2.73687,
15468,Scoring PG,2015,gabe vincent,112.1,20.1,54.3,55.75,2.4,7.5,17.8,12.1,0.66,38,89,0.427,55,133,0.414,0.3,2.1,22.5,Fr,2.43642,114.84,3.6,,104.436,26.1786,3.41899,0.149843,0.5357,1.6071,2.1429,2.1429,0.8571,0.1429,10.1429,12.0383,4,2.14289999,0.5938,0.3333,105.004,2.03724,103.575,3.54264,4.58962,-1.04699,3.56883,
15469,Scoring PG,2018,gabe vincent,116.7,20.8,53.8,57.38,0.4,7.1,20.9,11.9,0.805,82,158,0.519,53,142,0.373,0.7,2.2,27.3,Sr,3.08929,117.238,4.0,,108.244,29.125,2.231,0.578097,0.0938,1.8125,1.9062,3.25,1.0938,0.1875,12.4062,9.22274,1,2.73684211,0.6061,0.4588,104.834,2.22505,151.347,2.31178,3.56529,-1.25351,2.8091,
15470,Combo G,2017,gabe vincent,97.1,25.6,43.3,46.81,2.8,10.5,17.7,11.9,0.754,47,119,0.395,46,149,0.309,0.2,1.5,22.8,Jr,1.9186,105.07,3.6,,109.825,31.95,1.6562,-1.09125,0.9,2.8,3.7,2.35,0.8,0.1,14.75,14.6112,2,1.51612902,0.625,0.2785,110.059,2.12184,94.9054,-0.537304,1.57541,-2.11272,0.564943,
15624,Wing G,2019,garrison mathews,113.9,28.4,55.6,61.58,2.6,17.4,12.9,14.3,0.857,99,202,0.49,112,278,0.403,0.9,1.4,43.8,Sr,4.03519,126.444,2.5,,97.8277,29.2432,6.43014,0.167943,0.6757,4.6486,5.3243,1.8919,0.8108,0.2432,20.3243,14.3122,1,0.85366837,0.567,0.4135,97.241,3.27393,210.111,4.14348,4.54479,-0.401311,6.59808,
15625,Wing G,2018,garrison mathews,115.7,27.5,55.3,61.56,4.7,15.7,12.1,14.1,0.809,105,195,0.538,79,209,0.378,0.8,1.7,55.7,Jr,3.81506,123.972,3.4,,102.725,30.3939,5.59181,0.149472,1.2424,4.2121,5.4545,1.7576,0.9697,0.2727,21.6667,11.7434,2,0.81691841,0.6345,0.1957,101.505,2.81829,187.75,3.53574,4.23228,-0.696543,5.74128,
15626,Wing G,2016,garrison mathews,104.9,25.4,52.0,55.07,5.5,12.7,14.7,15.1,0.732,51,103,0.495,62,174,0.356,1.0,2.2,29.6,Fr,1.46725,108.443,4.4,,109.717,20.9355,2.41989,-1.89107,1.0645,2.4516,3.5161,1.4839,0.8387,0.1935,11.2258,14.4694,4,1.0,0.6053,0.1852,110.031,1.37555,123.397,0.204864,2.15632,-1.95145,0.528814,
15627,Wing G,2017,garrison mathews,113.8,27.6,56.0,59.88,4.5,15.0,15.3,13.6,0.722,111,185,0.6,85,241,0.353,0.7,1.4,50.7,So,3.67169,121.204,3.3,,107.66,31.1875,4.9084,-1.61111,1.2188,4.375,5.5938,2.2812,0.8438,0.1875,20.375,13.2753,3,0.98646484,0.6735,0.3243,106.067,2.3377,179.274,2.04769,4.10245,-2.05475,3.2973,
15657,Combo G,2010,gary clark,112.9,14.7,52.3,53.7,2.9,4.0,4.3,11.9,0.667,15,35,0.429,13,31,0.419,0.4,3.8,18.2,Jr,0.813722,111.502,3.2,79.2,92.3596,9.3333,1.8236,3.69426,0.25,0.375,0.625,0.2083,0.625,0.0417,3.2083,7.78595,2,0.71408979,0.5455,0.375,98.4315,1.07778,39.8223,4.03686,2.59231,1.44455,5.51786,10.291400142146411
15658,Combo G,2011,gary clark,113.5,18.2,62.6,65.52,1.8,7.3,13.5,20.0,0.833,69,141,0.489,52,94,0.553,0.5,2.0,28.1,Sr,2.60462,114.388,3.5,79.2,108.25,26.6875,2.54552,-0.611168,0.4062,1.7812,2.1875,1.5625,0.9375,0.1562,10.9062,6.22417,1,0.90906449,0.5686,0.4444,111.744,1.72957,132.609,0.990526,2.85573,-1.8652,1.93435,10.291400142146411
