,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
15259,2014,frank kaminsky,124.3,25.1,57.8,61.1,10.0,18.4,11.4,9.5,159,273,0.582,37,98,0.378,6.1,1.6,35.6,Jr,4.95992,141.114,51.8,90.9544,27.1579,7.61503,3.37535,2.1316,4.1842,6.3158,1.2895,0.6842,1.7368,13.9474,6.01681,0.7,96.2635,3.63778,208.108,11.2538,6.80729,4.44649,10.9904,33.47
15674,2017,gary clark,124.0,19.7,55.4,58.49,12.3,19.5,14.0,12.4,132,227,0.581,14,49,0.286,4.7,2.1,43.1,Jr,3.8783,127.089,82.2,87.6525,28.6389,5.65921,3.58681,3.0,4.8611,7.8611,2.1111,1.0,1.1667,10.8056,2.90988,0.7545,90.8919,4.07409,215.932,10.1494,4.89257,5.25684,9.24601,13.8
15678,2010,gary clark,112.9,14.7,52.3,53.7,2.9,4.0,4.3,11.9,15,35,0.429,13,31,0.419,0.4,3.8,18.2,Jr,0.813722,111.502,79.2,92.3596,9.3333,1.8236,3.69426,0.25,0.375,0.625,0.2083,0.625,0.0417,3.2083,7.78595,0.5455,98.4315,1.07778,39.8223,4.03686,2.59231,1.44455,5.51786,13.8
15897,2015,georges niang,106.0,26.7,51.7,55.98,4.0,15.2,21.9,18.7,141,291,0.485,46,115,0.4,1.5,0.9,30.8,Jr,3.61191,121.24,86.0,95.7721,30.7353,3.54321,0.689815,1.0294,4.3824,5.4118,3.4412,0.5,0.4706,15.3235,6.29726,0.5789,100.749,3.37344,187.349,4.15235,3.13332,1.01903,4.23303,36.79
16124,2013,gorgui dieng,112.6,18.2,53.4,56.23,12.9,22.1,12.3,18.9,125,234,0.534,0,0,0.0,9.4,2.6,47.9,Jr,3.38553,117.22,91.6,76.177,31.0909,4.59809,5.83893,3.4242,5.9697,9.3939,2.0,1.3333,2.5152,9.7879,0.0,0.6827,81.001,5.26508,252.025,13.4759,3.72605,9.74983,10.437,36.98
16209,2019,grant williams,124.5,27.0,58.3,64.73,8.8,17.4,18.3,15.2,215,361,0.596,14,44,0.318,5.3,2.0,63.7,Jr,6.13572,143.723,62.0,91.5344,31.8919,8.10155,3.69374,2.2162,5.2973,7.5135,3.1622,1.1351,1.4865,18.8108,2.20111,0.7219,96.9792,4.13561,248.894,11.7652,7.35703,4.40819,11.7953,36.95
16215,2017,grayson allen,113.7,25.0,50.8,56.88,2.7,11.3,21.5,16.9,60,135,0.444,81,222,0.365,0.2,1.5,44.5,Jr,4.14882,128.16,95.0,96.1502,29.6176,4.91748,0.287565,0.6765,3.0588,3.7353,3.5,0.7647,0.0588,14.4706,12.6331,0.5294,103.556,3.36924,161.603,5.67693,5.88764,-0.210711,5.20504,39.63
16671,2011,henry sims,100.1,17.5,57.8,56.9,8.0,18.9,16.2,27.4,48,82,0.585,0,1,0.0,4.8,1.2,45.8,Jr,0.752559,101.779,94.2,92.6367,14.0312,-0.888444,3.23712,0.8438,2.3125,3.1562,1.1875,0.2812,0.6562,3.5938,0.137517,0.7442,99.3397,1.66305,85.6712,3.50565,-0.234341,3.73999,2.34867,24.77
16722,2012,hollis thompson,111.0,21.2,55.2,56.79,5.5,15.2,10.6,15.8,95,195,0.487,57,132,0.432,1.6,1.4,24.2,Jr,3.44246,118.007,89.4,88.4387,31.1875,4.20985,1.45558,1.3125,4.2188,5.5312,1.4688,0.6875,0.4375,12.9375,8.36577,0.6311,93.2735,4.03952,173.611,5.12636,3.46936,1.657,5.66543,21.15
16884,2012,ian clark,120.9,19.5,58.6,60.28,1.9,9.1,16.2,13.4,58,107,0.542,89,220,0.405,0.3,2.1,13.8,Jr,3.22854,119.511,36.8,99.8706,27.7273,5.2182,0.510148,0.4242,2.2424,2.6667,2.3636,1.0,0.0909,12.7273,13.934,0.6406,100.477,2.5284,153.574,5.37565,5.51027,-0.13462,5.72835,19.62
17029,2011,iman shumpert,107.1,28.7,45.4,51.72,5.8,16.4,25.7,14.6,135,285,0.474,42,151,0.278,0.7,5.0,40.1,Jr,4.04547,122.988,95.6,88.6926,32.0,5.2283,3.9449,1.7419,4.1935,5.9355,3.4839,2.7419,0.1935,17.3226,8.79213,0.693,91.788,4.21159,225.934,8.39649,5.09881,3.29768,9.1732,43.29
17380,2011,isaiah thomas,114.3,27.2,51.7,56.25,2.5,9.5,32.7,19.0,128,250,0.512,60,172,0.349,0.2,2.3,49.8,Jr,4.84646,130.417,57.6,94.9239,31.8571,5.9993,1.19221,0.7429,2.7714,3.5143,6.0857,1.3429,0.0571,16.7714,8.55836,0.6746,99.5797,3.51267,197.365,6.44643,6.24487,0.201557,7.19152,46.08
18379,2015,jake layman,109.8,22.4,54.4,58.9,5.6,16.2,11.2,17.7,98,185,0.53,45,119,0.378,2.8,1.7,46.4,Jr,3.13767,117.759,86.4,90.8461,29.9714,3.76484,2.12811,1.2857,4.5143,5.8,1.4,0.8,0.7429,12.4857,7.03113,0.6556,95.6522,3.77494,202.85,5.88744,3.20245,2.68499,5.89295,23.55
18548,2018,jalen brunson,128.5,26.1,60.4,63.53,1.2,9.7,26.6,12.3,184,307,0.599,86,211,0.408,0.1,1.7,31.3,Jr,6.37043,146.071,95.8,96.5942,31.8,7.833,1.63484,0.3,2.75,3.05,4.6,0.925,0.025,18.9,9.49512,0.7113,103.211,3.5916,206.633,8.37985,8.13628,0.243567,9.46785,49.58
19119,2011,james anderson,76.1,13.0,32.5,31.52,7.2,11.5,4.1,13.0,13,40,0.325,0,0,0.0,7.3,1.2,65.0,Jr,-0.412191,70.7093,6.2,91.3192,7.7333,-6.21937,2.16974,0.5,0.8333,1.3333,0.2,0.1667,0.5667,1.1,0.0,0.5714,94.6968,0.943727,46.6915,-0.389612,-3.91701,3.5274,-4.04963,21.29
19120,2010,james anderson,117.5,30.7,53.2,59.61,6.7,12.9,16.5,13.1,152,277,0.549,74,217,0.341,2.0,2.4,52.2,Jr,6.29412,139.179,96.0,93.2981,34.0606,9.4241,1.88125,1.9394,3.8788,5.8182,2.4242,1.3939,0.6061,22.2727,11.2083,0.6359,98.1485,3.9099,217.438,10.434,8.45581,1.97822,11.3054,21.29
19499,2011,jamychal green,106.1,30.7,50.9,56.3,13.4,17.7,12.2,19.9,189,373,0.507,1,1,1.0,8.2,3.2,52.9,Jr,3.57069,123.439,97.4,82.2011,27.8824,4.46298,4.06628,3.1176,4.4118,7.5294,1.4412,1.4412,2.0588,15.5,0.0643104,0.6685,84.7129,4.29572,220.679,7.91999,1.92483,5.99516,8.52926,31.78
20752,2012,jeff withey,117.9,17.8,53.6,61.38,10.2,18.4,5.6,16.7,113,211,0.536,0,0,0.0,15.3,1.5,73.9,Jr,3.00826,120.741,94.6,79.504,24.8205,3.42545,6.81454,2.0769,4.2051,6.2821,0.7436,0.641,3.5897,8.9744,0.0,0.6587,84.7272,4.02171,239.938,12.3539,1.99642,10.3575,10.24,41.04
21120,2014,jerian grant,132.3,25.3,59.0,65.46,1.1,7.5,36.5,12.7,52,90,0.578,20,49,0.408,1.0,3.5,53.2,Jr,6.56518,141.48,78.0,105.672,35.5833,7.58097,2.06103,0.3333,2.1667,2.5,6.1667,2.0,0.3333,19.0,7.16751,0.7391,107.628,2.96481,71.7189,8.77328,9.21823,-0.44495,9.642,33.12
21121,2013,jerian grant,103.3,24.3,47.4,51.77,1.2,8.1,30.8,20.8,104,233,0.446,52,151,0.344,0.6,2.2,35.7,Jr,3.59462,114.609,78.0,97.5152,36.2857,2.82817,0.872516,0.3429,2.5429,2.8857,5.5429,1.2571,0.2286,13.2857,7.64791,0.5763,101.676,3.47516,193.857,3.62056,3.15513,0.465435,3.70069,33.12
21410,2017,jevon carter,118.0,19.6,53.3,57.12,3.4,14.9,20.5,16.1,93,192,0.484,72,185,0.389,0.9,4.4,32.9,Jr,3.92707,123.755,40.4,84.1566,32.0,4.9317,5.4236,1.027,3.9459,4.973,3.7027,2.4865,0.2432,13.4595,8.69923,0.5152,88.8976,4.88943,274.564,10.1418,5.41838,4.72344,10.3553,32.8
21469,2010,jimmer fredette,121.0,32.6,53.7,61.53,2.9,8.3,30.7,15.2,148,316,0.468,77,175,0.44,0.5,2.2,51.1,Jr,6.12419,142.803,54.4,94.8385,31.1471,9.48092,0.63428,0.7353,2.3529,3.0882,4.6765,1.2059,0.1471,22.0882,9.36719,0.65,97.4055,3.39751,181.857,7.80668,8.15041,-0.343734,10.1152,29.01
21689,2013,joe harris,111.1,26.3,56.3,59.47,3.5,11.9,16.1,15.2,114,227,0.502,77,181,0.425,1.8,1.8,36.8,Jr,4.34684,123.876,73.8,90.68,32.5429,6.33575,2.1888,0.8571,3.1714,4.0286,2.1714,0.8857,0.4857,16.2857,10.3576,0.5481,92.4279,3.96345,188.453,6.91462,5.42865,1.48596,8.52455,41.05
22079,2012,john henson,107.4,21.9,50.0,50.51,9.1,25.1,8.0,11.0,205,410,0.5,0,0,0.0,9.6,1.1,32.9,Jr,2.86245,114.136,99.2,81.493,29.1143,3.96186,4.48594,2.5429,7.4,9.9429,1.2571,0.5714,2.8857,13.6857,0.0,0.7217,85.5966,4.51549,270.434,9.29592,1.93911,7.35681,8.4478,31.87
22418,2010,jon leuer,119.2,26.9,55.5,58.35,6.4,20.0,14.9,8.6,124,226,0.549,18,46,0.391,5.2,1.3,34.2,Jr,4.78224,133.839,84.0,86.8312,28.7917,8.1198,3.33254,1.4583,4.3333,5.7917,1.625,0.5417,1.3333,15.375,4.43665,0.6271,92.0918,3.94313,126.449,8.90057,5.13257,3.768,11.4523,32.1
22788,2014,jordan clarkson,109.7,27.3,48.1,54.58,2.9,9.3,23.3,16.8,177,354,0.5,32,114,0.281,0.6,1.9,41.7,Jr,4.42955,125.082,59.0,103.088,35.0857,3.71877,-0.0981812,0.8,3.0286,3.8286,3.3714,1.0857,0.1714,17.4857,5.62763,0.6344,106.782,3.20357,194.678,3.34317,3.73257,-0.389393,3.62059,44.77
22956,2017,jordan hill,100.8,9.8,43.5,45.47,2.3,10.8,7.8,16.3,10,19,0.526,9,35,0.257,0.3,1.1,16.7,Jr,0.066734,89.7533,29.6,95.1333,9.9429,-2.70117,1.9492,0.2,0.8857,1.0857,0.4571,0.1714,0.0286,1.5143,6.19953,0.75,100.82,1.14974,51.1006,0.721785,-0.442273,1.16406,-0.751973,31.26
23069,2017,jordan mclaughlin,115.2,20.8,52.5,56.9,2.7,8.9,29.6,17.9,115,236,0.487,47,117,0.402,0.3,2.5,33.7,Jr,3.68122,119.0,91.6,102.083,34.1111,3.42769,0.444924,0.8056,2.75,3.5556,5.4722,1.4722,0.1111,12.9444,5.45222,0.5244,106.935,3.16718,203.084,3.55311,3.91878,-0.365669,3.87261,39.79
23671,2016,josh hart,117.7,23.5,57.5,60.23,7.6,17.1,12.4,13.3,175,294,0.595,55,154,0.357,0.9,2.2,30.6,Jr,4.50345,129.415,84.4,88.0208,31.375,6.00986,2.62252,1.85,4.9,6.75,1.925,1.15,0.25,15.45,7.29359,0.7419,93.4074,4.44295,251.388,8.9696,6.01374,2.95586,8.63239,47.53
23839,2014,josh richardson,118.9,16.3,53.1,56.84,3.0,8.1,9.9,13.0,101,188,0.537,34,98,0.347,2.8,1.6,29.7,Jr,3.14981,118.169,51.0,96.3391,30.6111,2.77055,2.78456,0.7778,2.1111,2.8889,1.5,0.75,0.8333,10.3056,5.61123,0.6163,100.726,3.51743,168.124,6.92366,3.75252,3.17114,5.55511,42.31
23883,2015,josh smith,101.6,16.5,52.0,55.49,11.7,20.8,2.9,22.2,26,50,0.52,0,0,0.0,2.2,1.5,74.0,Jr,0.424566,100.291,57.2,90.5919,9.5484,-0.348933,1.71179,0.9677,1.7419,2.7097,0.129,0.2258,0.1935,2.4194,0.0,0.5806,95.3781,1.20989,57.3555,-0.0602894,-1.62079,1.5605,1.36285,36.73
24434,2015,justin anderson,120.5,22.0,57.2,60.97,3.1,14.5,14.0,13.2,56,117,0.479,47,104,0.452,2.5,1.6,37.1,Jr,3.97668,128.925,90.2,84.0094,27.8462,7.23767,4.34501,0.6538,3.3846,4.0385,1.7308,0.6538,0.5385,12.1923,9.77045,0.6667,88.5752,4.15299,121.798,9.76844,5.49031,4.27813,11.5827,30.61
24601,2012,justin hamilton,110.0,22.6,49.8,55.31,11.8,15.3,7.0,15.4,155,308,0.503,3,12,0.25,4.7,1.5,42.8,Jr,3.21694,117.071,61.4,91.6276,30.0,3.53487,1.85584,3.303,3.9091,7.2121,0.9091,0.7576,1.303,12.9091,0.729903,0.621,94.9102,3.56051,187.441,5.57075,2.12634,3.44442,5.3907,28.01
