,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,score,test_score,diff
38578,Wing G,2013,sean kilpatrick,108.5,48.2,51.81,112,4.24702,121.235,88.7645,5.74919,1.8529,16.9706,0.94027201,0.6737,7.40697,2.899786780383798,44.233174552554416,41.33338777217062
39443,Wing G,2013,solomon hill,113.7,54.1,57.94,101,4.10206,121.227,91.6638,5.44116,2.7143,13.3714,1.23377266,0.6463,7.56824,39.317697228145,49.84190605715108,10.524208829006078
39445,Wing G,2010,solomon hill,97.2,50.3,55.04,70,1.07081,98.2041,98.5153,-0.462597,1.6774,6.6774,0.82537027,0.6714,0.155969,39.317697228145,47.754703601903636,8.437006373758635
39488,Wing G,2012,spencer dinwiddie,110.6,49.6,57.39,52,2.58132,112.621,95.9274,2.34027,1.6176,10.0294,1.17013883,0.4848,4.09537,60.41222459132908,50.98465042342225,-9.427574167906826
39787,Wing G,2017,sterling brown,117.6,54.6,58.28,100,4.13724,124.301,89.5314,4.48903,3.0,13.4286,1.54408363,0.5269,8.01945,31.15849324804549,49.56969683415222,18.411203586106726
39789,Wing G,2015,sterling brown,126.0,61.2,63.58,44,2.31476,114.926,92.9705,3.30248,2.0588,5.2059,2.25795122,0.6923,6.14885,31.15849324804549,49.44970242402263,18.29120917597714
39790,Wing G,2016,sterling brown,120.4,68.5,71.59,79,3.08999,120.262,94.7209,3.44681,2.6333,10.0667,1.1791072,0.716,6.39827,31.15849324804549,48.55270968723612,17.394216439190625
40627,Wing G,2017,terence davis,109.4,54.1,56.73,151,3.13316,123.72,96.1286,4.70257,1.75,14.8611,0.85133297,0.764,6.96837,62.31698649609099,42.15297152287762,-20.16401497321337
40628,Wing G,2018,terence davis,99.7,48.3,51.2,98,2.41884,113.719,100.477,2.9435,2.0938,13.7812,0.93057781,0.6098,3.33731,62.31698649609099,42.79111283290923,-19.525873663181763
40629,Wing G,2016,terence davis,95.1,48.3,46.12,10,0.155386,94.4083,98.9654,-2.61878,0.3158,1.8947,1.199848,0.625,-1.01523,62.31698649609099,33.89560823515292,-28.42137826093807
41141,Wing G,2011,tim hardaway jr,109.8,52.4,56.04,80,3.75257,121.503,92.5654,5.17239,1.7353,14.0294,1.34093183,0.7213,7.23695,47.86069651741295,45.7714404022931,-2.089256115119845
41142,Wing G,2013,tim hardaway jr,104.9,50.4,52.71,125,3.56531,114.944,93.4428,3.15549,2.4324,14.2432,1.30430586,0.7412,4.30914,47.86069651741295,46.13000662422321,-1.7306898931897337
41143,Wing G,2012,tim hardaway jr,103.4,48.6,52.69,112,3.54768,115.871,97.1034,2.6705,2.1212,14.6364,1.07691532,0.6437,2.74858,47.86069651741295,46.51895778780407,-1.3417387296088776
41666,Wing G,2012,tony snell,116.0,58.5,61.57,44,2.8017,117.298,93.0512,4.95675,2.3235,10.5,1.51922318,0.6842,6.57342,28.258706467661693,47.568702831006995,19.309996363345302
41668,Wing G,2011,tony snell,101.2,48.0,51.34,18,0.567422,95.7064,100.077,0.8701,0.8788,4.4848,1.03571003,0.44,0.939072,28.258706467661693,41.941673591567366,13.682967123905673
42639,Wing G,2010,tristan thompson,113.5,52.0,58.69,79,3.03275,114.431,105.175,3.34008,1.7742,14.9032,0.93221939,0.5556,3.04944,43.2409381663113,47.76948978198065,4.52855161566935
42640,Wing G,2011,tristan thompson,118.2,56.2,64.06,85,3.97023,121.838,111.065,5.31581,1.7419,17.6452,0.77140071,0.5895,3.56634,43.2409381663113,49.1096334075702,5.868695241258898
42679,Wing G,2012,troy daniels,111.6,53.2,55.84,18,2.24563,112.389,93.0803,4.44255,0.4722,10.0278,0.47220001,0.3333,5.61665,29.921819474058285,35.6046162433209,5.6827967692626125
42680,Wing G,2013,troy daniels,121.9,59.1,59.62,25,3.28074,121.474,93.5939,5.76383,0.6389,12.25,0.71875351,0.5,5.99091,29.921819474058285,34.4150787172173,4.493259243159013
42681,Wing G,2010,troy daniels,122.7,52.0,54.0,3,0.611269,115.036,103.254,1.83025,0.2308,2.1538,3.00130051,1.0,0.652448,29.921819474058285,46.237581398413894,16.31576192435561
43037,Wing G,2013,tyler johnson,107.1,50.0,52.99,87,2.93545,114.096,95.8071,3.47992,1.9259,11.6667,1.4444611,0.6042,4.81655,38.86282871357499,45.19959013500119,6.336761421426196
43038,Wing G,2014,tyler johnson,119.7,53.8,57.94,125,4.77504,128.854,103.199,6.09866,2.9091,15.8485,2.1818796,0.5981,6.48336,38.86282871357499,51.2846949592259,12.42186624565091
43703,Wing G,2013,victor oladipo,122.7,64.8,67.12,152,4.76925,134.043,81.39,8.76043,2.0556,13.6389,0.90244967,0.6978,14.3486,60.35536602700783,44.50566595635941,-15.849700070648424
43704,Wing G,2012,victor oladipo,106.8,48.8,54.56,126,2.87866,116.778,90.8953,3.31839,2.0278,10.8333,0.96054196,0.5989,5.78797,60.35536602700783,49.56910832904541,-10.78625769796242
43705,Wing G,2011,victor oladipo,107.3,57.1,58.6,80,1.80293,115.24,93.8384,3.56299,0.875,7.375,0.63636364,0.6293,5.37399,60.35536602700783,38.68200300725399,-21.673363019753843
44119,Wing G,2011,will barton,98.8,47.8,50.18,128,1.86938,104.072,95.1807,1.41282,2.8286,12.3143,1.11235197,0.6286,2.833,43.18407960199006,45.286604781335505,2.1025251793454487
44913,Wing G,2014,zach lavine,107.3,52.4,54.48,79,1.84098,110.171,98.8807,1.46349,1.7838,9.4324,1.57149149,0.5667,1.99942,46.766169154228855,42.672022391632666,-4.094146762596189
