,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
12987,2018,donte divincenzo,119.5,22.8,59.0,60.77,4.9,13.8,20.0,17.0,0.71,103,179,0.575,85,212,0.401,0.7,2.1,27.4,So,4.29565,130.482,2.8,75.4,93.9887,29.275,5.81862,2.2784,1.15,3.6,4.75,3.475,1.05,0.2,13.425,10.3691,3,1.7594936,0.6486,0.4627,100.427,3.56864,215.984,8.81159,6.56506,2.24653,8.09702,38.98
12988,2017,donte divincenzo,112.0,19.1,55.6,58.15,5.5,12.7,12.0,18.1,0.699,67,119,0.563,42,115,0.365,1.3,2.2,35.5,So,2.48345,115.827,2.5,75.4,91.7019,25.5278,3.05664,2.45266,1.0278,2.7778,3.8056,1.6944,0.9167,0.2778,8.8333,7.64838,3,1.17308225,0.625,0.4783,96.9108,3.29803,163.741,6.06282,3.50077,2.56204,5.5093,38.98
13058,2014,dorian finney smith,103.2,23.2,43.8,47.69,12.2,19.3,16.1,17.4,0.643,66,151,0.437,39,133,0.293,1.9,1.1,40.5,So,2.22998,113.292,3.4,95.4,87.6716,25.8108,2.23021,2.12957,2.5405,4.1351,6.6757,2.0541,0.4324,0.4324,8.7297,8.78715,3,1.24596631,0.4639,0.375,92.0517,3.75006,171.234,6.79352,3.14936,3.64416,4.35978,49.26
13103,2012,doug mcdermott,123.8,28.5,65.4,67.84,9.9,20.5,8.0,14.7,0.796,253,400,0.632,54,111,0.486,0.3,0.4,32.7,So,6.04273,140.656,2.2,69.2,101.876,31.9143,9.91173,-1.68903,2.4,5.8286,8.2286,1.0571,0.2,0.0857,22.8857,5.86586,3,0.46834434,0.7352,0.4558,103.987,2.69096,188.725,4.75873,6.81598,-2.05725,8.2227,23.94
13153,2010,draymond green,114.3,21.8,52.8,56.17,10.4,24.6,23.3,18.1,0.672,137,249,0.55,2,16,0.125,4.1,2.9,48.3,So,3.20416,121.999,4.7,86.4,84.3544,25.5405,4.81372,5.30217,2.1892,5.5405,7.7297,3.027,1.2162,0.9189,9.8919,1.01491,3,1.80640929,0.6744,0.4167,89.1542,3.72302,227.649,11.6835,5.11453,6.56898,10.1159,73.21
13460,2017,dwayne bacon,108.4,27.4,51.0,54.37,4.0,11.9,11.6,14.1,0.754,164,318,0.516,57,171,0.333,0.4,1.9,28.2,So,3.47475,122.561,2.2,96.8,95.5726,28.8,4.33702,0.416045,1.0,3.2,4.2,1.7429,1.0,0.1143,17.2286,9.30909,3,0.85916397,0.6267,0.4192,102.343,3.33395,177.268,2.95488,3.11112,-0.156242,4.75307,12.8
13529,2012,dwight powell,93.4,20.7,45.7,51.0,7.6,23.1,8.4,24.5,0.705,72,144,0.5,1,17,0.059,3.8,2.7,48.4,So,0.662124,96.772,5.2,93.4,83.6211,17.5429,-1.83481,3.68878,1.1429,3.4571,4.6,0.7429,0.8,0.6,5.7714,1.62932,3,0.49058972,0.6949,0.3647,85.7868,2.55535,148.517,3.27145,-1.80407,5.07552,1.85397,46.86
13725,2010,ed davis,112.0,21.5,57.8,60.66,10.8,24.2,6.8,18.3,0.659,111,192,0.578,0,0,0.0,9.5,0.9,68.8,So,3.0751,117.694,2.6,98.2,87.8784,27.8696,3.62077,3.19261,2.8696,6.6957,9.5652,0.9565,0.4348,2.7826,13.4348,0.0,3,0.47825,0.84,0.4621,92.5656,3.71526,160.882,7.56537,1.89527,5.6701,6.81338,40.34
14524,2017,eric paschall,109.7,18.1,56.2,58.29,8.6,12.8,5.2,18.5,0.695,81,127,0.638,19,68,0.279,2.7,1.5,30.3,So,1.80773,111.805,4.7,58.2,92.2096,21.6944,0.285465,1.79199,1.3611,2.3889,3.75,0.6111,0.5278,0.5,7.2222,5.32355,3,0.51163768,0.7021,0.4412,97.4473,2.76456,136.084,4.17211,2.01628,2.15583,2.07745,23.29
15256,2013,frank kaminsky,122.4,21.3,51.0,56.15,7.3,12.6,17.6,8.4,0.767,29,53,0.547,14,45,0.311,5.2,2.8,43.9,So,1.57691,130.136,4.9,51.8,81.2694,10.2812,4.72018,6.2768,0.6562,1.0938,1.75,0.8125,0.4375,0.5312,4.1562,8.89446,3,2.88940265,0.6875,0.3333,86.7192,1.56787,65.7477,11.2662,5.57218,5.69402,10.997,33.47
15671,2016,gary clark,121.7,18.4,54.5,57.79,12.7,19.6,13.9,13.9,0.687,113,218,0.518,13,25,0.52,5.4,2.5,47.3,So,3.54274,122.436,3.0,82.2,87.6802,30.3636,4.26228,3.812,3.4242,5.3636,8.7879,2.1212,1.2424,1.4848,10.4242,1.52913,3,1.66669299,0.6598,0.405,89.9145,4.23672,221.04,9.66905,3.81398,5.85507,8.07428,13.8
