,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
31469,2012,meyers leonard,112.5,22.0,58.6,61.77,9.1,23.5,9.9,18.7,0.732,169,280,0.604,1,11,0.091,6.9,0.9,43.6,So,3.62588,118.932,3.7,94.2,88.2181,31.8125,3.03494,3.23251,2.2812,5.9062,8.1875,1.3438,0.4688,1.875,13.5625,0.667608,3,0.63237645,0.7569,0.4412,94.6348,4.16046,210.3,6.54568,1.57784,4.96784,6.26746,29.69
31574,2013,michael carter williams,102.6,24.4,43.8,49.13,4.0,11.1,40.2,24.1,0.694,120,274,0.438,35,120,0.292,1.7,4.8,47.2,So,3.57977,114.736,2.6,95.0,82.318,35.2,3.95766,4.86349,1.275,3.6,4.875,7.3,2.775,0.475,11.85,5.16731,3,2.14705882,0.589,0.2698,86.8313,5.29067,299.662,9.12808,4.84479,4.28329,8.82116,45.4
31978,2017,mikal bridges,128.5,15.5,64.4,67.6,5.3,13.4,12.0,16.9,0.911,84,121,0.694,44,112,0.393,3.5,3.4,24.0,So,3.95743,126.055,3.1,84.0,87.6812,29.8056,5.11735,5.08231,1.1389,3.4167,4.5556,1.9722,1.6667,0.8889,9.75,6.37902,3,1.5434341,0.8,0.3871,92.6618,4.26652,224.568,11.7068,5.8698,5.83704,10.1997,57.48
32200,2011,mike muscala,110.6,27.4,52.2,58.0,7.7,22.3,12.2,13.6,0.816,183,351,0.521,4,11,0.364,8.1,0.9,43.6,So,3.04878,118.023,3.8,9.2,91.451,27.7647,3.23992,2.53424,1.6765,5.6176,7.2941,1.3824,0.4118,1.9706,14.9118,0.703706,3,0.81036407,0.6897,0.401,91.0505,3.40537,213.395,5.41271,0.593159,4.81956,5.77416,37.58
32392,2018,miles bridges,116.2,25.0,53.6,57.26,5.2,18.1,16.6,14.7,0.845,138,262,0.527,71,194,0.366,2.5,1.2,24.1,So,4.37194,128.094,2.0,97.8,90.6491,31.3824,5.75657,1.85941,1.2647,5.7059,6.9706,2.6471,0.6176,0.7647,17.1176,10.6639,3,1.34329644,0.6563,0.3942,94.6045,4.20958,212.43,7.37899,4.75891,2.62008,7.61598,46.58
32429,2010,miles plumlee,107.6,17.0,56.4,58.51,11.1,22.2,3.4,23.1,0.661,82,147,0.558,1,1,1.0,3.8,1.8,39.9,So,1.36327,109.606,6.3,89.8,81.8136,16.45,-0.0326636,3.26982,1.625,3.3,4.925,0.3,0.5,0.65,5.15,0.0914241,3,0.27906977,0.7195,0.3538,86.6352,2.55104,150.267,4.74858,0.764148,3.98444,3.23715,28.89
32714,2014,montrezl harrell,117.8,21.9,61.2,59.16,12.1,19.7,8.2,12.8,0.464,221,363,0.609,2,3,0.667,4.8,2.0,41.8,So,3.63237,124.039,3.3,84.0,84.4361,29.2973,5.04803,3.07548,3.2432,5.1622,8.4054,1.2162,1.027,1.3243,14.027,0.158204,3,0.84906451,0.7554,0.3516,86.5667,4.59993,236.658,8.40936,3.23685,5.17251,8.1235,55.19
32744,2017,moritz wagner,117.3,24.0,63.5,65.36,7.6,15.2,4.7,15.6,0.726,123,186,0.661,45,114,0.395,1.6,2.7,35.3,So,3.44307,129.727,4.5,76.4,94.912,23.8947,4.88602,1.43868,1.3421,2.8158,4.1579,0.5263,1.0263,0.3684,12.0526,7.90296,3,0.37034692,0.7667,0.4697,100.66,2.79332,168.799,5.98291,4.93222,1.05069,6.3247,33.26
33810,2019,nickeil alexander walker,109.8,26.4,54.6,58.59,1.8,13.1,24.6,19.6,0.778,132,246,0.537,58,155,0.374,2.3,3.4,35.9,So,4.35834,124.321,2.7,92.2,89.4234,34.3235,4.23851,3.69853,0.4706,3.6176,4.0882,3.9706,1.8824,0.5294,16.1765,8.2774,3,1.39177674,0.6067,0.4271,93.6096,4.73346,237.568,7.45115,3.8025,3.64865,7.93704,26.32
33915,2014,nik stauskas,124.1,23.9,58.6,64.17,1.6,8.8,18.8,14.0,0.824,93,186,0.5,92,208,0.442,0.9,1.0,51.8,So,6.20589,138.919,1.5,78.2,101.814,35.5833,8.06205,0.355509,0.4167,2.5,2.9167,3.2778,0.5556,0.3056,17.5,10.3848,3,1.76121657,0.6092,0.404,107.646,3.41738,171.682,7.59555,7.78089,-0.185343,8.41756,21.33
33969,2010,nikola vucevic,107.2,19.8,52.0,55.27,12.1,23.2,8.9,18.8,0.718,118,214,0.551,8,36,0.222,4.5,1.2,34.0,So,2.71652,110.187,3.4,44.0,82.5209,32.2667,2.62844,3.7254,3.1333,6.3,9.4333,1.2,0.6,1.3,10.7,2.34214,3,0.63157898,0.7128,0.4474,86.6694,4.88396,201.056,7.4177,1.63169,5.78601,6.35383,47.37
34168,2013,norman powell,96.1,14.5,50.8,52.74,0.6,9.8,8.3,19.5,0.675,52,90,0.578,27,92,0.293,2.2,1.9,22.0,So,0.599056,93.1733,3.5,89.6,96.3437,22.0857,-0.890556,1.47292,0.1143,2.0571,2.1714,1.0571,0.7143,0.5143,6.0571,6.83733,3,0.97365757,0.6897,0.375,100.571,2.2335,133.078,2.59829,0.499896,2.09839,0.582363,33.45
34277,2017,og anunoby,115.6,20.5,61.5,61.12,8.5,16.1,11.0,18.0,0.563,54,77,0.701,14,45,0.311,5.5,3.0,39.3,So,2.65134,118.678,3.3,41.4,95.1539,25.125,4.83015,3.0147,1.75,3.6875,5.4375,1.4375,1.3125,1.3125,11.0625,6.38437,3,0.88461538,0.7778,0.3571,98.5464,2.89972,88.5137,8.72022,4.65725,4.06298,7.84486,51.4
34722,2013,pat connaughton,118.6,14.0,56.3,57.88,2.8,14.3,12.8,12.7,0.708,51,91,0.56,58,154,0.377,1.1,0.9,19.6,So,3.12815,114.144,1.9,80.8,97.364,32.0857,3.7499,1.5188,0.7143,3.9714,4.6857,2.1429,0.4571,0.3429,8.8571,8.81984,3,2.41944227,0.7143,0.2222,101.518,3.08928,172.682,6.14174,4.25527,1.88646,5.2687,42.13
34816,2016,patrick mccaw,112.6,20.3,54.6,57.93,3.4,12.7,23.0,16.3,0.769,92,163,0.564,62,176,0.352,1.2,3.8,30.7,So,3.12744,114.942,2.6,60.6,94.5414,34.1613,3.93913,3.46679,1.0968,4.0968,5.1935,3.871,2.4194,0.4194,14.5161,8.98017,3,1.84614646,0.6635,0.3898,96.4163,3.98331,233.53,7.26551,4.22015,3.04537,7.40592,23.07
34914,2010,paul george,105.6,27.3,51.0,57.22,6.8,18.6,22.6,20.8,0.902,92,188,0.489,58,163,0.356,3.0,3.9,34.8,So,3.43996,115.602,3.5,61.6,92.7156,33.1786,4.41774,2.32799,1.9286,5.2857,7.2143,3.0714,2.1429,0.8571,16.7143,10.3973,3,0.96627442,0.6604,0.2683,94.6435,3.89014,210.186,6.68486,3.41633,3.26852,6.74572,72.92
35081,2012,perry jones iii,110.6,22.6,51.0,53.61,10.8,18.6,8.8,14.4,0.696,169,328,0.515,10,33,0.303,2.1,1.7,28.3,So,3.68928,120.236,3.1,98.8,90.4005,30.9062,3.49204,0.758121,2.6875,5.0312,7.7188,1.2812,0.875,0.5938,13.7188,1.98934,3,0.75922966,0.697,0.3929,96.8961,3.84024,188.837,4.93194,3.43733,1.4946,4.25016,21.52
35390,2019,pj washington,116.1,25.4,56.7,59.19,10.2,19.9,13.1,15.8,0.663,157,286,0.549,33,78,0.423,4.8,1.7,48.9,So,4.36954,130.806,3.4,97.2,86.8161,29.2571,6.29404,3.70956,2.3429,5.2286,7.5714,1.8,0.8571,1.2286,15.1714,4.53879,3,0.91305668,0.6569,0.4497,92.7403,4.29843,220.01,10.1556,5.26992,4.88566,10.0036,42.24
35595,2010,quincy acy,124.4,16.5,69.1,70.35,9.5,14.4,2.4,19.3,0.721,130,188,0.691,0,0,0.0,3.4,1.2,45.7,So,3.09071,123.919,4.0,60.8,93.2629,23.4857,4.16268,1.28903,1.7714,3.3143,5.0857,0.2857,0.4571,0.7714,9.2,0.0,3,0.22726911,0.7967,0.4923,99.0395,2.68985,146.535,5.29881,4.35961,0.939201,5.45171,31.31
35640,2013,quinn cook,109.1,21.1,49.2,52.93,1.9,11.0,29.0,18.1,0.877,96,223,0.43,55,140,0.393,0.4,2.5,20.1,So,3.59508,116.12,3.2,93.6,90.278,33.5556,3.41933,2.25417,0.5278,3.3056,3.8333,5.2778,1.4167,0.1389,11.6944,6.77299,3,2.40512209,0.61,0.2846,96.5792,4.14818,218.893,6.78644,4.73838,2.04806,5.6735,14.57
36160,2012,ray mccallum,110.0,24.4,49.1,54.58,3.7,12.8,25.6,16.6,0.763,149,276,0.54,30,119,0.252,0.7,2.6,44.8,So,3.75213,117.538,2.5,95.0,102.307,34.0882,4.51943,0.375011,1.0588,3.5,4.5588,3.9118,1.5,0.2059,15.3824,6.1155,3,1.68358082,0.6768,0.3393,101.972,2.8334,203.175,3.79616,4.2804,-0.484236,4.89444,26.46
36314,2012,reggie bullock,118.0,14.9,55.0,55.75,6.8,13.3,8.8,14.4,0.727,53,104,0.51,71,186,0.382,0.8,1.4,7.6,So,2.46681,113.787,1.9,97.2,90.6043,25.3947,4.24856,2.30126,1.6579,3.4211,5.0789,1.3684,0.6579,0.2105,8.8158,10.5197,3,1.36839998,0.5833,0.4706,95.1993,3.13945,180.368,8.31523,5.49046,2.82477,6.54981,36.92
36343,2010,reggie jackson,106.7,26.2,47.8,51.57,7.5,14.7,30.5,20.0,0.733,113,227,0.498,32,110,0.291,1.5,1.2,31.2,So,3.66328,120.762,2.7,82.4,97.8,30.129,5.21254,0.666129,1.9032,3.7742,5.6774,4.4839,0.6129,0.4516,12.871,7.18687,3,1.73754167,0.6,0.3832,101.051,3.00102,157.694,6.3706,5.19255,1.17805,5.87867,43.82
37074,2010,robert sacre,101.2,22.2,52.2,55.93,9.1,14.8,4.6,20.2,0.629,116,224,0.518,1,1,1.0,7.8,1.6,75.6,So,1.72304,105.428,4.7,65.2,90.8069,25.4848,-0.0525228,2.53214,1.8788,3.5455,5.4242,0.6061,0.697,1.9394,10.3636,0.0679069,3,0.30305001,0.7386,0.3723,94.2778,3.12138,181.333,3.79492,-0.544877,4.3398,2.47962,21.93
37226,2014,rodney hood,119.8,22.3,55.0,59.02,2.9,11.7,13.2,12.8,0.807,120,243,0.494,71,169,0.42,0.8,1.3,32.8,So,4.75453,130.16,3.2,94.4,100.347,32.8571,6.11765,0.524428,0.8286,3.1143,3.9429,2.1429,0.7143,0.2571,16.0571,8.91425,3,1.38887811,0.6351,0.4345,105.837,3.33286,164.685,6.3778,5.83042,0.547379,6.64208,29.99
37240,2011,rodney mcgruder,117.8,16.5,55.1,56.97,7.4,15.4,10.4,16.3,0.701,58,122,0.475,66,163,0.405,0.7,1.3,23.5,So,3.22425,116.531,2.4,79.0,93.1356,30.697,4.94318,1.43566,2.0,3.9394,5.9394,1.5758,0.697,0.2121,10.9394,9.33175,3,1.10644564,0.6111,0.4186,98.2677,3.59941,178.648,7.08564,4.96892,2.11672,6.37884,23.78
37440,2015,rondae hollis jefferson,113.8,20.9,51.3,57.33,9.0,20.1,10.1,15.5,0.707,132,246,0.537,6,29,0.207,3.4,2.4,74.5,So,3.20009,119.63,3.4,97.2,82.7697,28.6842,3.86244,4.38219,2.0263,4.8158,6.8421,1.5526,1.1579,0.8421,11.2368,1.58521,3,1.0,0.7165,0.3445,86.8974,4.42793,234.584,9.57925,3.75175,5.82751,8.24463,43.95
37612,2018,rui hachimura,120.2,23.9,57.7,62.45,7.4,18.0,5.5,13.7,0.795,154,254,0.606,5,26,0.192,2.7,1.4,47.1,So,2.7934,127.208,3.8,70.6,93.5567,20.7027,3.89813,1.95802,1.2703,3.4324,4.7027,0.6216,0.5135,0.5135,11.5676,1.93922,3,0.5227043,0.6805,0.4588,95.5324,2.54398,154.204,2.94623,1.66526,1.28097,5.85615,20.03
37670,2013,ryan anderson,102.7,28.6,48.0,51.17,10.8,20.6,12.8,13.4,0.621,179,368,0.486,3,14,0.214,1.7,1.3,46.3,So,3.60832,118.254,2.1,73.4,99.5109,31.625,3.14111,-1.38092,2.6562,5.3125,7.9688,1.5625,0.6562,0.5,14.9062,0.867401,3,0.80645161,0.6443,0.3121,104.178,2.88506,180.707,0.74646,1.25021,-0.503755,1.76019,46.01
37808,2011,ryan kelly,120.1,14.9,57.6,60.2,6.6,13.4,7.3,15.3,0.805,73,115,0.635,22,69,0.319,6.1,1.9,22.3,So,2.16046,117.266,4.1,97.0,85.8437,20.0811,3.72964,4.60698,1.1351,2.5946,3.7297,0.8378,0.6757,1.3784,6.6216,5.27053,3,1.03330046,0.8246,0.4483,90.2769,2.86274,159.306,9.51621,3.84658,5.66962,8.33662,24.76
38110,2014,sam dekker,114.7,22.4,52.8,55.78,7.3,17.5,10.0,10.2,0.686,126,229,0.55,42,129,0.326,1.9,1.6,38.3,So,3.89296,126.027,1.8,97.8,94.1246,29.8421,5.41182,1.77191,1.7105,4.3684,6.0789,1.3684,0.7632,0.5789,12.4211,7.20685,3,1.26832886,0.66,0.3462,99.6187,3.67013,200.736,7.0007,4.79227,2.20843,7.18373,23.15
38606,2012,sean kilpatrick,115.2,20.4,53.5,55.72,4.5,10.7,13.0,13.3,0.75,93,187,0.497,92,245,0.376,1.0,2.4,20.4,So,4.17038,120.994,1.5,32.0,94.1126,34.5135,5.89626,1.88939,1.4054,3.1622,4.5676,2.1081,1.3243,0.3243,14.2703,11.9094,3,1.3928642,0.5714,0.4024,97.2827,3.80917,206.953,6.96628,5.26265,1.70363,7.78565,8.65
38607,2011,sean kilpatrick,113.2,24.1,52.5,55.8,6.9,11.9,16.2,15.5,0.722,68,139,0.489,46,122,0.377,0.3,2.4,34.5,So,2.58393,122.589,2.5,32.0,91.4846,20.5714,5.67783,1.56558,1.2,1.9714,3.1714,1.4857,0.7714,0.0571,9.6857,10.604,3,1.20926256,0.6375,0.2881,95.419,2.52098,119.069,5.96487,4.82449,1.14039,7.24341,8.65
38763,2011,seth curry,122.9,15.9,55.6,59.6,1.8,6.0,13.5,13.5,0.788,37,92,0.402,64,147,0.435,0.5,3.2,35.6,So,3.08462,121.858,2.7,41.8,89.643,24.973,4.1863,4.09074,0.3784,1.4324,1.8108,2.0,1.4054,0.1351,9.0,9.03321,3,2.11438836,0.5714,0.3718,94.2724,3.23089,167.636,8.14067,5.65594,2.48472,8.27704,39.62
38813,2012,shabazz napier,107.4,23.6,47.3,52.46,2.3,8.5,32.6,20.7,0.743,77,184,0.418,59,166,0.355,0.8,2.9,42.3,So,3.80211,117.325,2.9,83.8,96.1535,35.0294,3.35053,1.33222,0.6765,2.8529,3.5294,5.8235,1.6471,0.2647,12.9706,8.61408,3,2.10637693,0.5714,0.29,101.471,3.63024,195.93,5.42218,4.83618,0.586005,4.68274,43.45
38828,2017,shake milton,121.0,19.3,55.5,58.15,1.5,11.7,24.2,16.3,0.758,70,154,0.455,82,194,0.423,1.2,2.2,26.1,So,4.46704,124.186,1.7,82.2,93.7433,35.3714,4.58212,2.73145,0.4286,3.6857,4.1143,4.5429,1.2571,0.3143,13.0,9.81115,3,2.56458177,0.5741,0.3918,95.5281,4.31919,220.671,7.04664,5.2077,1.83894,7.31357,29.83
38899,2013,shane larkin,117.2,21.8,56.9,59.97,1.6,10.4,26.1,17.9,0.777,114,212,0.538,69,170,0.406,0.3,3.4,29.3,So,4.92257,124.335,1.8,76.8,89.0169,36.4167,5.09768,3.44479,0.4722,3.3611,3.8333,4.5556,1.9722,0.1111,14.5,8.09055,3,2.0,0.5877,0.4796,94.4082,4.64512,239.198,9.1676,6.45891,2.70868,8.54247,32.43
39235,2010,shelvin mack,109.0,24.9,53.9,56.45,2.2,13.0,25.1,16.9,0.734,120,239,0.502,72,184,0.391,0.5,2.8,25.8,So,3.57458,119.205,2.4,41.4,88.2029,30.8684,4.76097,3.13265,0.5263,3.2105,3.7368,3.0263,1.3684,0.1316,14.1053,9.78418,3,1.45572168,0.6262,0.3984,92.5344,4.08919,214.017,7.45849,4.31592,3.14258,7.89362,32.68
39472,2011,solomon hill,110.6,18.4,52.6,57.93,8.7,14.3,13.2,21.8,0.78,87,166,0.524,17,48,0.354,0.7,2.0,46.7,So,2.24738,112.317,3.6,91.8,94.5551,25.1842,2.45928,1.78321,1.7105,3.0,4.7105,1.7368,0.8421,0.1842,7.9737,2.9998,3,1.03123139,0.6867,0.3614,99.5799,2.79222,173.293,6.63775,3.96832,2.66943,4.24248,34.07
39515,2013,spencer dinwiddie,114.7,24.2,49.0,59.13,1.0,9.8,20.2,17.1,0.825,83,174,0.477,47,139,0.338,1.6,2.5,76.7,So,4.59338,126.573,2.4,73.8,91.7968,32.5152,5.36376,3.37393,0.2727,2.9091,3.1818,3.0,1.3333,0.4848,15.303,7.84923,3,1.35617737,0.5857,0.3861,96.7152,3.79077,190.309,7.25466,4.9562,2.29846,8.73769,48.81
