,player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,multiplier,pt_rating,raptor_rating,war_rating,total_score
537,avery bradley,bradlav01,2017,5015,2480,-0.301092932,0.156234866,-0.144858066,0.422193388,-2.614851826,-2.192658439,-0.193555839,-0.400217775,-0.593773614,2.692490511,3.054218499,-0.361727988,0.39552952,-0.189783588,0.205745933,0.197101479,1.0,0.4667177419994968,0.424523169503749,0.2198652350661497,38.92
538,avery bradley,bradlav01,2018,2918,1433,-2.531864916,0.502051127,-2.029813788,-1.574864356,-0.655239283,-2.230103639,-2.47231324,0.279783675,-2.192529565,0.412716422,0.412716422,0.0,-1.705833164,0.555837381,-1.149995783,0.732534197,1.0,0.39353176148392566,0.33373265894151954,0.13426841646060458,30.63
539,avery bradley,bradlav01,2019,4013,1905,-2.51302056,0.805074207,-1.707946353,-1.903206883,-0.040131579,-1.943338462,-2.552819263,0.684727527,-1.868091736,0.860110834,0.860110834,0.0,-2.951932586,0.629651713,-2.322280873,-0.041474624,1.0,0.3302491813708309,0.35215690694646806,0.15106636960599562,29.37
540,avery bradley,bradlav01,2020,2547,1186,-1.86369594,0.247295734,-1.616400207,0.494570329,2.685459837,3.180030166,-1.514310946,0.714423212,-0.799887734,1.18394564,1.18394564,0.0,-1.360575183,1.449922509,0.089347326,0.340763182,1.0,0.5525211407528318,0.49538197770319914,0.19587015718260833,44.19
541,avery bradley,bradlav01,2021,1284,602,-3.865017095,-1.957887251,-5.822904347,-1.684148669,-1.713925024,-3.398073693,-3.621544097,-2.005913977,-5.627458074,-0.887558884,-0.887558884,0.0,-3.545072324,-1.806946684,-5.352019008,0.451850663,1.0,0.18336682893534426,0.1525360874755763,0.0939928438866889,14.95
542,avery bradley,bradlav01,2022,2958,1406,-2.597720448,-1.362437907,-3.960158356,-2.965726692,0.747358035,-2.218368658,-2.816716114,-0.97931697,-3.796033084,-0.748355186,-0.748355186,0.0,-3.02515478,-0.747569895,-3.772724674,-0.267537227,1.0,0.30234116372092396,0.2912070509108987,0.10880952915326667,24.98
547,tony bradley,bradlto01,2022,1184,557,-3.193761795,3.126733661,-0.067028134,1.325676055,4.431185883,5.756861938,-2.437017194,3.627789268,1.190772074,1.097633544,0.948746624,0.14888692,-2.67391135,1.163973173,-1.509938176,-0.380866569,1.0,0.41151138962171135,0.5784507841299101,0.17598288521322641,41.52
566,mikal bridges,bridgmi01,2021,6236,3055,1.122357037,1.441264141,2.563621179,2.618661146,0.828405709,3.447066855,1.479589632,1.368129479,2.847719112,8.749575128,6.91598118,1.833593948,1.488093884,1.52396288,3.012056764,-0.316669574,1.0,0.618208698849424,0.6199594282362357,0.4472856517387538,57.61
567,mikal bridges,bridgmi01,2022,6950,3354,0.283241088,1.130026838,1.413267926,7.527878624,0.084136117,7.612014741,1.790096472,0.942666776,2.732763248,9.382802883,7.836241975,1.546560908,1.603022712,1.505710594,3.108733306,-0.54932621,1.0,0.6234275155573734,0.6134312889175648,0.4710609378700682,58.16
570,miles bridges,bridgmi02,2021,4056,1932,-0.319691673,0.007930255,-0.311761418,1.67055556,0.979200798,2.649756359,0.087895735,0.216716471,0.304612206,3.021381937,3.021381937,0.0,0.114403492,-0.014559415,0.099844077,0.349822199,1.0,0.4610009221374909,0.47554090440484476,0.23221385323321975,40.93
571,miles bridges,bridgmi02,2022,5968,2837,1.055824908,-0.00691809,1.048906818,4.15453472,-0.35024414,3.804290579,1.736542251,-0.049728888,1.686813363,6.431182834,6.431182834,0.0,2.715743288,0.272178907,2.987922195,0.142844686,1.0,0.616905860649684,0.5540336528854628,0.3602388668825147,52.92
581,malcolm brogdon,brogdma01,2019,4412,2030,2.41603502,1.016900338,3.432935358,2.93440979,1.631120374,4.565530164,2.619533592,1.137777918,3.75731151,6.769914198,5.770711037,0.999203161,2.466574395,1.097407642,3.563982037,-0.313511679,1.0,0.7776034365236641,0.8059362777546392,0.4475483246128573,70.57
582,malcolm brogdon,brogdma01,2020,3760,1826,1.816659836,-1.016453199,0.800206637,-1.647339128,2.768816264,1.121477136,1.193023236,-0.314080548,0.878942687,3.369102846,3.027236735,0.341866111,0.359274156,-0.302071599,0.057202556,-0.679928439,1.0,0.5045689408470813,0.558971723451536,0.2697963913077305,46.63
583,malcolm brogdon,brogdma01,2021,4062,1930,2.026364311,-2.055178108,-0.028813797,-0.87314229,2.106854901,1.233712611,1.52699551,-1.301319177,0.225676333,2.89876404,2.89876404,0.0,1.738892465,-0.785764623,0.953127843,-1.080123808,1.0,0.608475713817153,0.5652699316706323,0.27313202285665994,50.84
584,malcolm brogdon,brogdma01,2022,2475,1206,2.748499048,-1.023239111,1.725259936,0.15341171,0.839295319,0.992707028,2.356553988,-0.66015958,1.696394409,2.727875359,2.727875359,0.0,2.277638247,-0.738833509,1.538804738,-0.292290218,1.0,0.5925471728793305,0.6100355178157261,0.24331318120813916,51.18
595,dillon brooks,brookdi01,2021,4611,2172,-0.791496385,0.481235561,-0.310260824,4.503970482,0.863146733,5.367117215,0.258821902,0.58183802,0.840659922,4.072346014,3.022372891,1.049973122,1.095413757,1.409716752,2.505130509,1.142886819,1.0,0.59084368191189,0.5059821020065899,0.271673544390326,47.92
596,dillon brooks,brookdi01,2022,2586,1220,-0.169668701,2.763724274,2.594055573,1.460548498,4.021893291,5.482441788,0.112986616,3.143497444,3.256484059,3.784399996,3.120465354,0.663934641,0.152263694,3.616865922,3.769129616,0.654018049,1.0,0.6590771904960584,0.6431724634808331,0.2608622700671993,55.36
